id	category	canonical_name	formula	synonyms	xrefs	sources
ENVO:00001998	biolink:EnvironmentalMaterial	soil		CR1 Soil|Green House Soil|Vermont Soil	MIM:Cr1_Soil|MIM:Green_House_Soil|MIM:Vermont_Soil	MIM:cbclaw_envo_promotion|MIM:curator=cbclaw_envo_promotion
ENVO:00002149	biolink:EnvironmentalMaterial	sea water		Pasteurized Seawater|Seawater|Seawater (30 ppt)|Seawater(non-sterilized)|Supplemented Seawater	MIM:Pasteurized_Seawater|MIM:Seawater|MIM:Supplemented_Seawater	MIM:cbclaw_envo_promotion|MIM:curator=cbclaw_envo_promotion
FOODON:03301056	biolink:ChemicalMixture	malt extract		Bacto Malt Extract (Difco)|Malt extract|Malt extract (BD--Difco)|Malt extract (BD-Difco)|Malt extract powder|Malt extract(Sigma M-0383)	MIM:Malt_Extract	MIM:cbclaw_foodon_promotion|MIM:curator=audit_extract_complex_media_synonyms
FOODON:03302088	biolink:ChemicalMixture	beef extract		Bacto Beef Extract (Difco)|Bacto beef extract|Beef extract|Beef extract (BBL)|Beef extract (BD-Difco)|Beef extract(Sigma B-4888)|Lab-Lemco beef extract	MIM:Beef_Extract	MIM:cbclaw_foodon_promotion|MIM:curator=foodon_promotion_cbclaw
FOODON:03315306	biolink:ChemicalMixture	protein hydrolyzates		Hipolypepton|Hipolypepton (Nihon seiyaku)|Polypepton|Polypepton (Nihon Pharm. Co.)|Polypeptone|Polypeptone Peptone (BD 211910)|Polypeptone peptone (BD-BBL)|Tripticase peptone|Trypticase Peptone (BBL)|Trypticase Peptone (BD 211921)|Trypticase peptone|Trypticase peptone (BD BBL)|Trypticase peptone (BD-BBL)	MIM:Polypeptone|MIM:Trypticase_Peptone	MIM:cbclaw_foodon_promotion|MIM:curator=audit_extract_complex_media_synonyms|MIM:curator=foodon_promotion_cbclaw
FOODON:03315426	biolink:ChemicalMixture	yeast extract		Bacto Yeast  Extract (Difco)|Bacto Yeast Extract (Difco)|Bacto yeast extract|Bacto-yeast extract|Difco Bacto-yeast extract|Dried yeast extract S (Wako)|Fresh Baker's Yeast Extract|Liquid yeast extract (Flow)|Yeast Extract (BD 211928)|Yeast Extract (BD 212750)|Yeast Extract (BD, 212750)|Yeast Extract (Hardy C7340)|Yeast Extract(Difco)|Yeast extract|Yeast extract (BBL)|Yeast extract (BD Bacto)|Yeast extract (BD--Difco)|Yeast extract (BD-BBL)|Yeast extract (BD-Difco)|Yeast extract (Difco or Oxoid)|Yeast extract (Difco)|Yeast extract (OXOID)|Yeast extract (Oxoid LP0021, BD 212750)|Yeast extract(Bacto, Difco)|Yeast extract(CAS: 8013-01-2)|Yeast extract(Oxoid)|yeast extract (BD Difco)|yeast extract (Nacalai Tesque, Kyoto, Japan)	MIM:Yeast_Extract	MIM:cbclaw_foodon_promotion|MIM:curator=foodon_promotion_cbclaw
FOODON:03315718	biolink:ChemicalMixture	animal protein (hydrolyzed)		Bacteriological peptone|Bacto Peptone (Difco)|Bacto Proteose Peptone No. 3 (Difco)|Bacto Proteose Peptone No.3 (Difco)|Bacto peptone|Bacto peptone (BD--Difco)|Bacto peptone (BD-Difco)|Bacto-Peptone (BD)|Fish peptone|Fish peptone (Fluka)|Gelatin peptone|Meat peptone|Neopeptone|Neopeptone (BD-Difco)|Neopeptone (Difco Laboratories, Detroit, Ml)|Oxoid peptone|Peptone (BBL 11910)|Peptone (BD Bacto)|Peptone (BD--Difco)|Peptone (BD-Difco)|Peptone (Oxoid)|Peptone (meat)|Peptone from meat|Peptone from meat (pepsin-digested)|Peptone mixture|Peptone, Bacto (BD 211677)|Proteose Peptone|Proteose Peptone (Difco no. 3)|Proteose Peptone(BD 211684)|Proteose peptone (BD Difco)|Proteose peptone (BD--Difco)|Proteose peptone (BD-Difco)|Proteose peptone (Difco)|Proteose peptone No 2 (DIFCO 0121-01-3)|Proteose peptone No. 3 (BD--Difco)|Proteose peptone No. 3 (BD-Difco)|Proteose peptone no. 2|Proteose peptone no. 3|Proteose peptone no.3 (Difco)|Universal peptone|Universal peptone (Merck)|peptone	MIM:Bacto_Peptone|MIM:Proteose_Peptone	MIM:cbclaw_foodon_promotion|MIM:curator=foodon_promotion_cbclaw
FOODON:03315719	biolink:ChemicalMixture	mammalian milk protein (hydrolyzed)		Acid-hydrolyzed casein|Bacto Casitone (Difco)|Bacto Tryptone|Bacto Tryptone (Difco)|Bacto tryptone|Bacto-tryptone|Casein enzymic hydrolysate|Casein hydrolysate|Casein hydrolysate (NZ Case TT, Quest International)|Casein peptone|Casein peptone, tryptic digest|Casein peptone, tryptic digested|Caseine peptone|Casitone|Casitone (BD--Difco)|Casitone (BD-BBL)|Casitone (BD-Difco)|Difco Bacto- Tryptone|Enzymatic digest of casein|Pancreatic Digest of Casein|Pancreatic Digest of Casein (Hardy C6530)|Pancreatic digest of casein|Peptone from casein|Proteose tryptone (DIFCO 0123-01)|Trypticase|Tryptone|Tryptone (BD 211705)|Tryptone (BD BBL)|Tryptone (BD Bacto)|Tryptone (BD--Difco)|Tryptone (BD-Difco)|Tryptone (Bacto Trypton 211705)|Tryptone (Difco 0123)|Tryptone (Difco)|Tryptone (Diffico)|Tryptone (Sigma T 9410)|Tryptone (VWR, J859-500G)|Tryptone(CAS: 91079-40-2)|Tryptone(Sigma T 9410)|Tryptone(Sigma T 9410))|casein hydrolyzate acid|tryptone [Difco]	MIM:Bacto-tryptone|MIM:Casein_Peptone|MIM:Casitone|MIM:Trypticase|MIM:Tryptone	MIM:cbclaw_foodon_promotion|MIM:cbclaw_review_fix|MIM:curator=cbclaw_review_fix|MIM:curator=foodon_promotion_cbclaw
FOODON:03315720	biolink:ChemicalMixture	vegetable protein, hydrolyzed		Peptone from soymeal|Phytone peptone|Phytone peptone (BD-BBL)|Soy peptone|Soybean peptone|Soytone (BD-Difco) or Phytone peptone (BD-BBL)	MIM:Soy_Peptone	MIM:cbclaw_foodon_promotion|MIM:curator=foodon_promotion_cbclaw
