file	identifier	preferred_term	mapping_status	ontology_id	ontology_label	review_verdict	reviewer_notes
Calcium(2).yaml	CHEBI:29108	Calcium(2+)	PENDING_REVIEW	CHEBI:29108	calcium(2+)	PENDING	
Capreomycin.yaml	CHEBI:3371	Capreomycin	PENDING_REVIEW	CHEBI:3371	capreomycin	PENDING	
Carbon_Monoxide.yaml	CHEBI:17245	Carbon Monoxide	PENDING_REVIEW	CHEBI:17245	carbon monoxide	PENDING	
Carminomycin.yaml	CHEBI:31359	Carminomycin	PENDING_REVIEW	CHEBI:31359	carminomycin	PENDING	
Carotenoid.yaml	CHEBI:23044	Carotenoid	PENDING_REVIEW	CHEBI:23044	carotenoid	PENDING	
Carrageenan.yaml	CHEBI:3435	Carrageenan	PENDING_REVIEW	CHEBI:3435	carrageenan	PENDING	
Cefadroxil.yaml	CHEBI:3479	Cefadroxil	PENDING_REVIEW	CHEBI:3479	cefadroxil	PENDING	
Cefaloridine.yaml	CHEBI:3537	Cefaloridine	PENDING_REVIEW	CHEBI:3537	cefaloridine	PENDING	
Cefalotin.yaml	CHEBI:124991	Cefalotin	PENDING_REVIEW	CHEBI:124991	cefalotin	PENDING	
Cefamandole.yaml	CHEBI:3480	Cefamandole	PENDING_REVIEW	CHEBI:3480	cefamandole	PENDING	
Cefminox.yaml	CHEBI:135817	Cefminox	PENDING_REVIEW	CHEBI:135817	cefminox	PENDING	
Cefoperazone.yaml	CHEBI:3493	Cefoperazone	PENDING_REVIEW	CHEBI:3493	cefoperazone	PENDING	
Cefotaxime.yaml	CHEBI:204928	Cefotaxime	PENDING_REVIEW	CHEBI:204928	cefotaxime	PENDING	
Cefotetan.yaml	CHEBI:3499	Cefotetan	PENDING_REVIEW	CHEBI:3499	cefotetan	PENDING	
Cefoxitin.yaml	CHEBI:209807	Cefoxitin	PENDING_REVIEW	CHEBI:209807	cefoxitin	PENDING	
Cefpodoxime.yaml	CHEBI:3504	Cefpodoxime	PENDING_REVIEW	CHEBI:3504	cefpodoxime	PENDING	
Cefprozil.yaml	CHEBI:3506	Cefprozil	PENDING_REVIEW	CHEBI:3506	cefprozil	PENDING	
Ceftazidime.yaml	CHEBI:3508	Ceftazidime	PENDING_REVIEW	CHEBI:3508	ceftazidime	PENDING	
Ceftriaxone.yaml	CHEBI:29007	Ceftriaxone	PENDING_REVIEW	CHEBI:29007	ceftriaxone	PENDING	
Cefuroxime.yaml	CHEBI:3515	Cefuroxime	PENDING_REVIEW	CHEBI:3515	cefuroxime	PENDING	
Cefuroxime_Sodium.yaml	CHEBI:3517	Cefuroxime Sodium	PENDING_REVIEW	CHEBI:3517	Cefuroxime sodium	PENDING	
Celesticetin.yaml	CHEBI:156421	Celesticetin	PENDING_REVIEW	CHEBI:156421	celesticetin	PENDING	
Cephalosporin.yaml	CHEBI:23066	Cephalosporin	PENDING_REVIEW	CHEBI:23066	cephalosporin	PENDING	
Cephalothin.yaml	NCIT:C62021	Cephalothin	PENDING_REVIEW	NCIT:C62021	Cephalothin	PENDING	
Chartreusin.yaml	CHEBI:3580	Chartreusin	PENDING_REVIEW	CHEBI:3580	Chartreusin	PENDING	
Chloridazon.yaml	CHEBI:81838	Chloridazon	PENDING_REVIEW	CHEBI:81838	chloridazon	PENDING	
Chlortetracycline.yaml	CHEBI:27644	Chlortetracycline	PENDING_REVIEW	CHEBI:27644	chlortetracycline	PENDING	
Cinerubin_R.yaml	CHEBI:214436	Cinerubin R	PENDING_REVIEW	CHEBI:214436	Cinerubin R	PENDING	
Cinnamycin.yaml	CHEBI:141991	Cinnamycin	PENDING_REVIEW	CHEBI:141991	cinnamycin	PENDING	
Cinoxacin.yaml	CHEBI:3716	Cinoxacin	PENDING_REVIEW	CHEBI:3716	cinoxacin	PENDING	
Ciprofloxacin.yaml	CHEBI:100241	Ciprofloxacin	PENDING_REVIEW	CHEBI:100241	ciprofloxacin	PENDING	
Clavulanic_Acid.yaml	CHEBI:48947	Clavulanic Acid	PENDING_REVIEW	CHEBI:48947	clavulanic acid	PENDING	
Clindamycin.yaml	CHEBI:3745	Clindamycin	PENDING_REVIEW	CHEBI:3745	clindamycin	PENDING	
Cloxacillin.yaml	CHEBI:49566	Cloxacillin	PENDING_REVIEW	CHEBI:49566	cloxacillin	PENDING	
Co-trimoxazole.yaml	CHEBI:3770	Co-trimoxazole	PENDING_REVIEW	CHEBI:3770	co-trimoxazole	PENDING	
Collagen.yaml	CHEBI:3815	Collagen	PENDING_REVIEW	CHEBI:3815	Collagen	PENDING	
Corn_Oil.yaml	CHEBI:195250	Corn Oil	PENDING_REVIEW	CHEBI:195250	corn oil	PENDING	
Coumarate.yaml	CHEBI:23399	Coumarate	PENDING_REVIEW	CHEBI:23399	coumarate	PENDING	
Crystalline_Cellulose.yaml	CHEBI:62968	Crystalline Cellulose	PENDING_REVIEW	CHEBI:62968	crystalline cellulose	PENDING	
Curamycin_A.yaml	CHEBI:71987	Curamycin A	PENDING_REVIEW	CHEBI:71987	curamycin A	PENDING	
Cyclodextrin.yaml	CHEBI:23456	Cyclodextrin	PENDING_REVIEW	CHEBI:23456	cyclodextrin	PENDING	
Cycloviracin_B1.yaml	CHEBI:200226	Cycloviracin B1	PENDING_REVIEW	CHEBI:200226	Cycloviracin B1	PENDING	
Cycloviracin_B2.yaml	CHEBI:202116	Cycloviracin B2	PENDING_REVIEW	CHEBI:202116	Cycloviracin B2	PENDING	
Cystine.yaml	CHEBI:17376	Cystine	PENDING_REVIEW	CHEBI:17376	cystine	PENDING	
