identifier	file	preferred_term	category	query	match_type	ontology_id	ontology	ontology_label	matched_term	standard_label_needed	missing_exact_synonyms	confidence	recommended_action
UNMAPPED_0313	data/ingredients/unmapped/ATCC_Wolfes_Mineral_Mix_Minus_Iron.yaml	ATCC Wolfe's mineral mix minus iron	SIMPLE_CHEMICAL	ATCC Wolfe's mineral mix minus iron|ATCC Wolfes Mineral Mix Minus Iron	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0259	data/ingredients/unmapped/ATCC_Wolfes_Vitamin_Mix.yaml	ATCC Wolfe's vitamin mix	COMPLEX_MIXTURE	ATCC Wolfe's vitamin mix|ATCC Wolfes Vitamin Mix	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0091	data/ingredients/unmapped/A_Trace_Components.yaml	A+ Trace Components	UNKNOWN	A+ Trace Components|A Trace Components|A+ Trace Components (sterilize before adding)	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0197	data/ingredients/unmapped/Acetyl-Dihydro-7-Epikhivorin.yaml	Acetyl-Dihydro-7-Epikhivorin	UNKNOWN	Acetyl-Dihydro-7-Epikhivorin	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0226	data/ingredients/unmapped/Acetylated_Xylan.yaml	Acetylated xylan	UNKNOWN	Acetylated xylan	SYNONYM_EXACT	CHEBI:134431	chebi	acetyl xylan	acetylated xylan	true	acetyl xylan|Acetylated xylan	medium	candidate_map_exact_synonym
UNMAPPED_0224	data/ingredients/unmapped/Actilight.yaml	Actilight	UNKNOWN	Actilight	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0181	data/ingredients/unmapped/Adeninyl_Cobamide.yaml	adeninyl cobamide	UNKNOWN	adeninyl cobamide|Adeninyl Cobamide	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0198	data/ingredients/unmapped/Agelasine.yaml	Agelasine	UNKNOWN	Agelasine	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0070	data/ingredients/unmapped/Allen_Medium.yaml	Allen Medium	COMPLEX_MIXTURE	Allen Medium	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0323	data/ingredients/unmapped/Alpha-ketoglutamate.yaml	alpha-ketoglutamate	UNKNOWN	alpha-ketoglutamate	SYNONYM_EXACT	mesh:C088956	mesh	alpha-ketoglutamic acid	alpha-ketoglutamate	true	alpha-ketoglutamic acid|alpha-ketoglutamate	medium	candidate_map_exact_synonym
UNMAPPED_0157	data/ingredients/unmapped/Aluminum-NTA.yaml	Aluminum-NTA	SIMPLE_CHEMICAL	Aluminum-NTA	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0324	data/ingredients/unmapped/Aminoacids.yaml	Aminoacids	UNKNOWN	Aminoacids	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0325	data/ingredients/unmapped/Amphotericin.yaml	Amphotericin	UNKNOWN	Amphotericin	SYNONYM_EXACT	mesh:D000666	mesh	Amphotericin B	Amphotericin	true	Amphotericin B|Amphotericin	medium	candidate_map_exact_synonym
UNMAPPED_0327	data/ingredients/unmapped/Anaerobe_Basal_Broth_CM0957.yaml	Anaerobe Basal Broth CM0957	SIMPLE_CHEMICAL	Anaerobe Basal Broth CM0957	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0173	data/ingredients/unmapped/Apidaecin_IB.yaml	Apidaecin IB	SIMPLE_CHEMICAL	Apidaecin IB	SYNONYM_EXACT	mesh:C061361	mesh	apidaecin	apidaecin Ib	true	apidaecin|Apidaecin IB	medium	candidate_map_exact_synonym
UNMAPPED_0239	data/ingredients/unmapped/Apo-yersiniabactin.yaml	apo-yersiniabactin	UNKNOWN	apo-yersiniabactin|Apo-yersiniabactin	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0307	data/ingredients/unmapped/Ar.yaml	#Ar	UNKNOWN	Ar	SYNONYM_EXACT	CHEBI:49475	chebi	argon atom	Ar	true	argon atom|Ar|#Ar	medium	candidate_map_exact_synonym
UNMAPPED_0307	data/ingredients/unmapped/Ar.yaml	#Ar	UNKNOWN	Ar	SYNONYM_EXACT	CHEBI:137238	chebi	Ala-Arg	AR	true	Ala-Arg|AR|#Ar	medium	candidate_map_exact_synonym
UNMAPPED_0307	data/ingredients/unmapped/Ar.yaml	#Ar	UNKNOWN	Ar	SYNONYM_EXACT	NCIT:C172738	ncit	Augmented Reality	AR	true	Augmented Reality|AR|#Ar	medium	candidate_map_exact_synonym
UNMAPPED_0307	data/ingredients/unmapped/Ar.yaml	#Ar	UNKNOWN	Ar	SYNONYM_EXACT	NCIT:C43495	ncit	Arkansas	AR	true	Arkansas|AR|#Ar	medium	candidate_map_exact_synonym
UNMAPPED_0307	data/ingredients/unmapped/Ar.yaml	#Ar	UNKNOWN	Ar	SYNONYM_EXACT	NCIT:C50861	ncit	Aortic Valve Regurgitation	AR	true	Aortic Valve Regurgitation|AR|#Ar	medium	candidate_map_exact_synonym
UNMAPPED_0232	data/ingredients/unmapped/Asolectin_From_Soybean.yaml	Asolectin from soybean	UNKNOWN	Asolectin from soybean|Asolectin From Soybean|Soy phospholipids	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0591	data/ingredients/unmapped/Atrop-abyssomicin_C.yaml	atrop-abyssomicin C	UNKNOWN	atrop-abyssomicin C	SYNONYM_EXACT	mesh:C509797	mesh	abyssomicin C	atrop-abyssomicin C	true	abyssomicin C|atrop-abyssomicin C	medium	candidate_map_exact_synonym
UNMAPPED_0221	data/ingredients/unmapped/Avantafiber.yaml	Avantafiber	UNKNOWN	Avantafiber	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0187	data/ingredients/unmapped/Avocatin_A.yaml	Avocatin A	UNKNOWN	Avocatin A	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0237	data/ingredients/unmapped/B-Glucan_From_Beet_(12-b-Glucan).yaml	b-Glucan from Beet (1,2-b-Glucan)	UNKNOWN	b-Glucan from Beet (1,2-b-Glucan)|B-Glucan From Beet (12-b-Glucan)|b-Glucan from Beet|filtered	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0247	data/ingredients/unmapped/B-glucan_From_Barley.yaml	b-glucan from Barley	UNKNOWN	b-glucan from Barley|B-glucan From Barley|boiled in 10% ethanol	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0235	data/ingredients/unmapped/B-glucan_From_Yeast.yaml	B-glucan from yeast	UNKNOWN	B-glucan from yeast|B-glucan From Yeast|autoclaved	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0113	data/ingredients/unmapped/BCYE_Agar.yaml	BCYE agar	SIMPLE_CHEMICAL	BCYE agar|BCYE Agar	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
