bucket	label	occurrences	recipes	folded	mim_identifier	mim_label	culturemech_reason	verdict	curie	term_label	matched_query	holder
RESIDUAL	Horse blood	68	68	horse blood			label not found in pinned MIM index and no usable local identity	NEW_RECORD	MICRO:0001234	horse blood	Horse blood	
RESIDUAL	[1,1′-Biphenyl]-2-ol	60	60	1 1 biphenyl 2 ol			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:17043	biphenyl-2-ol	[1,1'-biphenyl]-2-ol	
RESIDUAL	Potato	29	29	potato			label not found in pinned MIM index and no usable local identity	MULTIPLE_EXACT	FOODON:03301449|FOODON:03315354	potato (raw)	potato	
RESIDUAL	Skim milk	24	24	skim milk			label not found in pinned MIM index and no usable local identity	SYNONYM_ONTO_EXISTING	FOODON:03301484	skim milk food product	skim milk	Skimmed milk
RESIDUAL	Sheep blood	20	19	sheep blood			label not found in pinned MIM index and no usable local identity	NEW_RECORD	MICRO:0001230	sheep blood	Sheep blood	
RESIDUAL	Artificial seawater	19	19	artificial seawater			label not found in pinned MIM index and no usable local identity	NEW_RECORD	MICRO:0001715	artificial seawater	Artificial seawater	
RESIDUAL	Air	12	12	air			label not found in pinned MIM index and no usable local identity	NEW_RECORD	ENVO:00002005	air	air	
RESIDUAL	Oat flakes	11	11	oat flakes			label not found in pinned MIM index and no usable local identity	NEW_RECORD	FOODON:03306272	oat flakes	oat flakes	
RESIDUAL	Ammonium phosphate	8	8	ammonium phosphate			label not found in pinned MIM index and no usable local identity	SYNONYM_ONTO_EXISTING	CHEBI:63051	diammonium hydrogen phosphate	Ammonium phosphate	(NH4)2HPO4
RESIDUAL	Nickel Sulfate	8	8	nickel sulfate			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:53001	nickel sulfate	nickel sulfate	
RESIDUAL	Sodium borate	8	8	sodium borate			label not found in pinned MIM index and no usable local identity	MULTIPLE_EXACT	CHEBI:131366|CHEBI:75227	disodium tetraborate decahydrate	Sodium borate	
RESIDUAL	Artificial seawater (see below)	7	7	artificial seawater			label not found in pinned MIM index and no usable local identity	NEW_RECORD	MICRO:0001715	artificial seawater	artificial seawater	
RESIDUAL	Olive oil	7	7	olive oil			label not found in pinned MIM index and no usable local identity	NEW_RECORD	FOODON:03301826	olive oil	olive oil	
RESIDUAL	Zinc Acetate	7	7	zinc acetate			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:62984	zinc acetate	zinc acetate	
RESIDUAL	Clarified rumen fluid	6	6	clarified rumen fluid			label not found in pinned MIM index and no usable local identity	NEW_RECORD	MICRO:0000520	clarified rumen fluid	Clarified rumen fluid	
RESIDUAL	Ferrous ammonium sulfate	6	6	ferrous ammonium sulfate			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:76243	ferrous ammonium sulfate (anhydrous)	Ferrous ammonium sulfate	
RESIDUAL	sheep blood	6	6	sheep blood			label not found in pinned MIM index and no usable local identity	NEW_RECORD	MICRO:0001230	sheep blood	sheep blood	
RESIDUAL	2,4-Dihydroxybenzoic acid	5	5	2 4 dihydroxybenzoic acid			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:42094	2,4-dihydroxybenzoic acid	2,4-dihydroxybenzoic acid	
RESIDUAL	Cl-	5	5	cl			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:17996	chloride	Cl-	
RESIDUAL	Fe-citrate	5	5	fe citrate			label not found in pinned MIM index and no usable local identity	MULTIPLE_EXACT	MICRO:0000735|MICRO:0001190	citric acid assimilation assay	fe citrate	
RESIDUAL	Na-caseinate	5	5	na caseinate			label not found in pinned MIM index and no usable local identity	NEW_RECORD	MICRO:0001611	sodium caseinate	Na-caseinate	
RESIDUAL	air	5	5	air			label not found in pinned MIM index and no usable local identity	NEW_RECORD	ENVO:00002005	air	air	
RESIDUAL	1-Butanol	4	4	1 butanol			label not found in pinned MIM index and no usable local identity	SYNONYM_ONTO_EXISTING	CHEBI:28885	butan-1-ol	1-Butanol	Butanol
RESIDUAL	3,4,5-Trimethoxycinnamic acid	4	4	3 4 5 trimethoxycinnamic acid			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:566519	3,4,5-trimethoxycinnamic acid	3,4,5-trimethoxycinnamic acid	
RESIDUAL	5-Hydroxyectoine	4	4	5 hydroxyectoine			label not found in pinned MIM index and no usable local identity	MULTIPLE_EXACT	CHEBI:49432|CHEBI:85413	5-hydroxyectoine zwitterion	5-hydroxyectoine	
RESIDUAL	Bicarbonate	4	4	bicarbonate			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:17544	hydrogencarbonate	Bicarbonate	
RESIDUAL	D-Gluconic acid	4	4	d gluconic acid			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:33198	D-gluconic acid	D-Gluconic acid	
RESIDUAL	Propenoate	4	4	propenoate			label not found in pinned MIM index and no usable local identity	MULTIPLE_EXACT	CHEBI:18308|CHEBI:37080	acrylic acid	Propenoate	
RESIDUAL	Yeastolate (BD; 2%, autoclaved)	4	4	yeastolate			label not found in pinned MIM index and no usable local identity	NEW_RECORD	MICRO:0000522	Yeastolate	yeastolate	
RESIDUAL	3,5-Dihydroxybenzoic acid	3	3	3 5 dihydroxybenzoic acid			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:39912	3,5-dihydroxybenzoic acid	3,5-dihydroxybenzoic acid	
RESIDUAL	Calcium malate	3	3	calcium malate			label not found in pinned MIM index and no usable local identity	NEW_RECORD	FOODON:03413045	calcium malate	calcium malate	
RESIDUAL	Cresol	3	3	cresol			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:25399	cresol	cresol	
RESIDUAL	Fe2+	3	3	fe2			label not found in pinned MIM index and no usable local identity	SYNONYM_ONTO_EXISTING	CHEBI:29033	iron(2+)	Fe2+	Ferrous Ion
RESIDUAL	Magnesium	3	3	magnesium			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:25107	magnesium atom	Magnesium	
RESIDUAL	Maize meal	3	3	maize meal			label not found in pinned MIM index and no usable local identity	SYNONYM_ONTO_EXISTING	FOODON:03310257	cornmeal	maize meal	Corn meal
RESIDUAL	MgO	3	3	mgo			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:31794	magnesium oxide	MgO	
RESIDUAL	NH4+	3	3	nh4			label not found in pinned MIM index and no usable local identity	SYNONYM_ONTO_EXISTING	CHEBI:28938	ammonium	NH4+	Ammonium
RESIDUAL	Orotate	3	3	orotate			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:30839	orotate	orotate	
RESIDUAL	Orthophosphate	3	3	orthophosphate			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:18367	phosphate(3-)	Orthophosphate	
RESIDUAL	Potassium Aspartate	3	3	potassium aspartate			label not found in pinned MIM index and no usable local identity	NEW_RECORD	NCIT:C87343	Potassium Aspartate	Potassium Aspartate	
RESIDUAL	Sake	3	3	sake			label not found in pinned MIM index and no usable local identity	NEW_RECORD	FOODON:03301670	sake	sake	
RESIDUAL	Vitamins	3	3	vitamins			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:33229	vitamin (role)	vitamins	
RESIDUAL	Yeast	3	3	yeast			label not found in pinned MIM index and no usable local identity	NEW_RECORD	FOODON:03411345	yeast	yeast	
RESIDUAL	clarified rumen fluid	3	3	clarified rumen fluid			label not found in pinned MIM index and no usable local identity	NEW_RECORD	MICRO:0000520	clarified rumen fluid	clarified rumen fluid	
RESIDUAL	4-Amino-5-hydroxymethyl-2-methylpyrimidine	2	2	4 amino 5 hydroxymethyl 2 methylpyrimidine			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:16892	4-amino-5-hydroxymethyl-2-methylpyrimidine	4-Amino-5-hydroxymethyl-2-methylpyrimidine	
RESIDUAL	4-Cresol	2	2	4 cresol			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:17847	p-cresol	4-Cresol	
RESIDUAL	Anaerobic water	2	2	anaerobic water			label not found in pinned MIM index and no usable local identity	NEW_RECORD	ENVO:01000173	anoxic water	anaerobic water	
RESIDUAL	Benzaldehyde	2	2	benzaldehyde			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:17169	benzaldehyde	Benzaldehyde	
RESIDUAL	Borate	2	2	borate			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:22908	borate	borate	
RESIDUAL	Calcium	2	2	calcium			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:22984	calcium atom	Calcium	
RESIDUAL	Copper	2	2	copper			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:28694	copper atom	Copper	
RESIDUAL	Diethyl phosphonate	2	2	diethyl phosphonate			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:41962	diethyl phosphonate	diethyl phosphonate	
RESIDUAL	Dried Bovine Hemoglobin (BD 212392)	2	2	dried bovine hemoglobin			label not found in pinned MIM index and no usable local identity	NEW_RECORD	MICRO:0001599	dried bovine hemoglobin	dried bovine hemoglobin	
RESIDUAL	Ferric nitrilotriacetate	2	2	ferric nitrilotriacetate			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:132238	iron(III) nitrilotriacetate	ferric nitrilotriacetate	
RESIDUAL	H3PO4	2	2	h3po4			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:26078	phosphoric acid	H3PO4	
RESIDUAL	Molybdenum	2	2	molybdenum			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:28685	molybdenum atom	Molybdenum	
RESIDUAL	PPLO medium	2	2	pplo medium			label not found in pinned MIM index and no usable local identity	NEW_RECORD	MICRO:0000094	PPLO medium	PPLO medium	
RESIDUAL	Polyvinyl alcohol	2	2	polyvinyl alcohol			label not found in pinned MIM index and no usable local identity	NEW_RECORD	CHEBI:17246	poly(vinyl alcohol) macromolecule	Polyvinyl alcohol	
RESIDUAL	Potassium dibasic phosphate trihydrate	2	2	potassium dibasic phosphate trihydrate			label not found in pinned MIM index and no usable local identity	SYNONYM_ONTO_EXISTING	CHEBI:131527	dipotassium hydrogen phosphate	potassium dibasic phosphate trihydrate	K2HPO4
