# source=ingredient_occurrences.tsv culturemech_rev=8c79a66fec edges=191616 recipes=15254 mim_records=800
mim_identifier	recipe_id	occurrences
CHEBI:114954	CultureMech:005184	1
CHEBI:114954	CultureMech:014485	1
CHEBI:115156	CultureMech:000464	1
CHEBI:115156	CultureMech:000495	1
CHEBI:115156	CultureMech:000528	1
CHEBI:115156	CultureMech:000540	1
CHEBI:115156	CultureMech:000650	1
CHEBI:115156	CultureMech:000785	1
CHEBI:115156	CultureMech:001001	1
CHEBI:115156	CultureMech:001054	1
CHEBI:115156	CultureMech:001059	1
CHEBI:115156	CultureMech:001149	1
CHEBI:115156	CultureMech:001292	1
CHEBI:115156	CultureMech:001438	1
CHEBI:115156	CultureMech:001522	1
CHEBI:115156	CultureMech:001674	1
CHEBI:115156	CultureMech:001788	1
CHEBI:115156	CultureMech:001821	1
CHEBI:115156	CultureMech:001822	1
CHEBI:115156	CultureMech:001855	1
CHEBI:115156	CultureMech:001913	1
CHEBI:115156	CultureMech:001929	1
CHEBI:115156	CultureMech:001975	1
CHEBI:115156	CultureMech:001992	1
CHEBI:115156	CultureMech:001994	1
CHEBI:115156	CultureMech:002041	1
CHEBI:115156	CultureMech:002059	1
CHEBI:115156	CultureMech:002143	1
CHEBI:115156	CultureMech:002243	1
CHEBI:115156	CultureMech:002402	1
CHEBI:115156	CultureMech:002418	1
CHEBI:115156	CultureMech:002420	1
CHEBI:115156	CultureMech:002443	1
CHEBI:115156	CultureMech:002444	1
CHEBI:115156	CultureMech:002490	1
CHEBI:115156	CultureMech:002755	1
CHEBI:115156	CultureMech:002902	1
CHEBI:115156	CultureMech:003096	1
CHEBI:115156	CultureMech:003099	1
CHEBI:115156	CultureMech:003114	1
CHEBI:115156	CultureMech:003181	1
CHEBI:115156	CultureMech:003189	1
CHEBI:115156	CultureMech:003265	1
CHEBI:115156	CultureMech:003343	1
CHEBI:115156	CultureMech:003599	1
CHEBI:115156	CultureMech:003645	1
CHEBI:115156	CultureMech:003749	1
CHEBI:115156	CultureMech:003807	1
CHEBI:115156	CultureMech:003948	1
CHEBI:115156	CultureMech:004084	1
CHEBI:115156	CultureMech:004180	1
CHEBI:115156	CultureMech:005035	1
CHEBI:115156	CultureMech:005237	1
CHEBI:115156	CultureMech:005238	1
CHEBI:115156	CultureMech:005239	1
CHEBI:115156	CultureMech:005240	1
CHEBI:115156	CultureMech:005969	1
CHEBI:115156	CultureMech:005970	1
CHEBI:115156	CultureMech:006196	1
CHEBI:115156	CultureMech:006285	1
CHEBI:115156	CultureMech:006286	1
CHEBI:115156	CultureMech:006287	1
CHEBI:115156	CultureMech:006288	1
CHEBI:115156	CultureMech:006289	1
CHEBI:115156	CultureMech:006290	1
CHEBI:115156	CultureMech:006354	1
CHEBI:115156	CultureMech:006556	1
CHEBI:115156	CultureMech:006627	1
CHEBI:115156	CultureMech:006630	1
CHEBI:115156	CultureMech:006731	1
CHEBI:115156	CultureMech:006751	1
CHEBI:115156	CultureMech:007107	1
CHEBI:115156	CultureMech:007113	1
CHEBI:115156	CultureMech:007653	1
CHEBI:115156	CultureMech:007863	1
CHEBI:115156	CultureMech:007882	1
CHEBI:115156	CultureMech:007883	1
CHEBI:115156	CultureMech:007885	1
CHEBI:115156	CultureMech:007887	1
CHEBI:115156	CultureMech:007913	1
CHEBI:115156	CultureMech:008479	1
CHEBI:115156	CultureMech:008561	1
CHEBI:115156	CultureMech:008593	1
CHEBI:115156	CultureMech:008729	1
CHEBI:115156	CultureMech:008761	1
CHEBI:115156	CultureMech:008866	1
CHEBI:115156	CultureMech:009184	1
CHEBI:115156	CultureMech:009554	1
CHEBI:115156	CultureMech:009555	1
CHEBI:115156	CultureMech:009768	1
CHEBI:115156	CultureMech:009772	1
CHEBI:115156	CultureMech:009777	1
CHEBI:115156	CultureMech:010389	1
CHEBI:115156	CultureMech:010692	1
CHEBI:115156	CultureMech:010823	1
CHEBI:115156	CultureMech:010861	1
CHEBI:115156	CultureMech:010908	1
CHEBI:115156	CultureMech:010909	1
CHEBI:115156	CultureMech:010940	1
CHEBI:115156	CultureMech:011041	1
CHEBI:115156	CultureMech:011131	1
CHEBI:115156	CultureMech:011151	1
CHEBI:115156	CultureMech:011158	1
CHEBI:115156	CultureMech:011166	1
CHEBI:115156	CultureMech:011249	1
CHEBI:115156	CultureMech:011268	1
CHEBI:115156	CultureMech:011387	1
CHEBI:115156	CultureMech:011509	1
CHEBI:115156	CultureMech:011547	1
CHEBI:115156	CultureMech:011604	1
CHEBI:115156	CultureMech:011773	1
