subject_id	subject_label	object_id	object_label	object_prefix	predicate_id	classification	repair_confidence	recommended_action	evidence	ingredient_yaml	yaml_identifier	yaml_cas_rn	yaml_ontology_id	yaml_mapping_quality	ingredient_type	kg_microbe_node_id	companion_non_identity_count	companion_registry_count	review_notes	external_ols_status	external_ols_label	external_ols_label_match
MIM:Benzylhydrazine_Hydrochloride	Benzylhydrazine Hydrochloride	cas:3287-99-8	Benzylhydrazine Hydrochloride	cas	skos:closeMatch	expected_registry_identifier	none	keep; no mapping repair needed	CAS object_id matches YAML identifier or chemical_properties.cas_rn; CAS registry CURIEs are not OAK/OLS ontology terms.	data/ingredients/mapped/Benzylhydrazine_Hydrochloride.yaml	cas:3287-99-8	3287-99-8	cas:3287-99-8	FALLBACK_REGISTRY	SINGLE_INGREDIENT		1	1	none|UNKNOWN_TERM|2026-05-06			
MIM:Beta-Glycerophosphate_Disodium_Salt_Hydrate	Beta-Glycerophosphate disodium salt hydrate	cas:154804-51-0	Beta-Glycerophosphate disodium salt hydrate	cas	skos:closeMatch	expected_registry_identifier	none	keep; no mapping repair needed	CAS object_id matches YAML identifier or chemical_properties.cas_rn; CAS registry CURIEs are not OAK/OLS ontology terms.	data/ingredients/mapped/Beta-Glycerophosphate_Disodium_Salt_Hydrate.yaml	cas:154804-51-0	154804-51-0	cas:154804-51-0	FALLBACK_REGISTRY	SINGLE_INGREDIENT		1	1	none|UNKNOWN_TERM|2026-05-06			
MIM:Beta-Lipomycin	beta-Lipomycin	mesh:C000601869	beta-lipomycin	mesh	skos:exactMatch	missing_prefix_validator_coverage_issue	none	keep mapping; extend synonym-review OLS prefix dispatch if this should validate green in future	Prefix-specific EBI OLS query resolves this exact CURIE; UNKNOWN_TERM came from synonym-review dispatcher lacking full prefix coverage.	data/ingredients/mapped/Beta-Lipomycin.yaml	mesh:C000601869		mesh:C000601869	EXACT_MATCH			0	0	none|UNKNOWN_TERM|2026-05-06	RESOLVED_EXACT_CURIE	beta-lipomycin	true
MIM:Betaine_Hydrochloride	Betaine hydrochloride	cas:590-46-5	Betaine hydrochloride	cas	skos:exactMatch	expected_registry_identifier	none	keep; no mapping repair needed	CAS object_id matches YAML identifier or chemical_properties.cas_rn; CAS registry CURIEs are not OAK/OLS ontology terms.	data/ingredients/mapped/Betaine_Hydrochloride.yaml	cas:590-46-5	590-46-5	CHEBI:17750	NARROW_MATCH	SINGLE_INGREDIENT		1	2	none|UNKNOWN_TERM|2026-05-06			
MIM:Betaine_Hydrochloride	Betaine hydrochloride	kgmicrobe.compound:betaine_hydrochloride	Betaine hydrochloride	kgmicrobe.compound	skos:exactMatch	expected_registry_identifier	none	keep; no mapping repair needed	kg-microbe registry CURIE is an expected local identity/companion row and is not an OAK/OLS ontology term.	data/ingredients/mapped/Betaine_Hydrochloride.yaml	cas:590-46-5	590-46-5	CHEBI:17750	NARROW_MATCH	SINGLE_INGREDIENT		1	2	none|UNKNOWN_TERM|2026-05-06			
MIM:Biochanin_A_Diacetate	Biochanin a diacetate	cas:54443-59-3	Biochanin a diacetate	cas	skos:closeMatch	expected_registry_identifier	none	keep; no mapping repair needed	CAS object_id matches YAML identifier or chemical_properties.cas_rn; CAS registry CURIEs are not OAK/OLS ontology terms.	data/ingredients/mapped/Biochanin_A_Diacetate.yaml	cas:54443-59-3	54443-59-3	cas:54443-59-3	FALLBACK_REGISTRY	SINGLE_INGREDIENT		1	1	none|UNKNOWN_TERM|2026-05-06			
MIM:Biotin_Vitamin_Solution	Biotin Vitamin Solution	MICRO:0000460	vitamin solution	MICRO	skos:closeMatch	missing_prefix_validator_coverage_issue	none	keep mapping; extend synonym-review OLS prefix dispatch if this should validate green in future	Prefix-specific EBI OLS query resolves this exact CURIE; UNKNOWN_TERM came from synonym-review dispatcher lacking full prefix coverage.	data/ingredients/mapped/Biotin_Vitamin_Solution.yaml	kgmicrobe.ingredient:biotin_vitamin_solution		MICRO:0000460	CLOSE_MATCH	STOCK_SOLUTION	kgmicrobe.ingredient:biotin_vitamin_solution	1	1	none|UNKNOWN_TERM|2026-05-06	RESOLVED_EXACT_CURIE	vitamin solution	true
MIM:Biotin_Vitamin_Solution	Biotin Vitamin Solution	kgmicrobe.ingredient:biotin_vitamin_solution	Biotin Vitamin Solution	kgmicrobe.ingredient	skos:exactMatch	expected_registry_identifier	none	keep; no mapping repair needed	kg-microbe registry CURIE is an expected local identity/companion row and is not an OAK/OLS ontology term.	data/ingredients/mapped/Biotin_Vitamin_Solution.yaml	kgmicrobe.ingredient:biotin_vitamin_solution		MICRO:0000460	CLOSE_MATCH	STOCK_SOLUTION	kgmicrobe.ingredient:biotin_vitamin_solution	1	1	none|UNKNOWN_TERM|2026-05-06			
MIM:Bismuth~28III~29_Chloride	bismuth(III) chloride	cas:7787-60-2	bismuth(III) chloride	cas	skos:closeMatch	expected_registry_identifier	none	keep; no mapping repair needed	CAS object_id matches YAML identifier or chemical_properties.cas_rn; CAS registry CURIEs are not OAK/OLS ontology terms.								1	1	none|UNKNOWN_TERM|2026-05-06			
MIM:Bovine_Albumin	Bovine albumin	MICRO:0000307	bovine albumin	MICRO	skos:exactMatch	missing_prefix_validator_coverage_issue	none	keep mapping; extend synonym-review OLS prefix dispatch if this should validate green in future	Prefix-specific EBI OLS query resolves this exact CURIE; UNKNOWN_TERM came from synonym-review dispatcher lacking full prefix coverage.	data/ingredients/mapped/Bovine_Albumin.yaml	MICRO:0000307		MICRO:0000307	EXACT_MATCH			0	0	none|UNKNOWN_TERM|2026-05-06	RESOLVED_EXACT_CURIE	bovine albumin	true
MIM:Bovine_Calf_Serum	Bovine calf serum	MICRO:0001709	calf serum	MICRO	skos:closeMatch	missing_prefix_validator_coverage_issue	none	keep mapping; extend synonym-review OLS prefix dispatch if this should validate green in future	Prefix-specific EBI OLS query resolves this exact CURIE; UNKNOWN_TERM came from synonym-review dispatcher lacking full prefix coverage.	data/ingredients/mapped/Bovine_Calf_Serum.yaml	MICRO:0001709		MICRO:0001709	LEXICAL_MATCH			1	0	none|UNKNOWN_TERM|2026-05-06	RESOLVED_EXACT_CURIE	calf serum	true
MIM:Bovine_Serum_Albumin	bovine serum albumin	NCIT:C85253	Bovine Serum Albumin	NCIT	skos:narrowMatch	missing_prefix_validator_coverage_issue	none	keep mapping; extend synonym-review OLS prefix dispatch if this should validate green in future	Prefix-specific EBI OLS query resolves this exact CURIE; UNKNOWN_TERM came from synonym-review dispatcher lacking full prefix coverage.	data/ingredients/mapped/Bovine_Serum_Albumin.yaml	cas:9048-46-8	9048-46-8	NCIT:C85253	NARROW_MATCH	SINGLE_INGREDIENT		1	2	none|UNKNOWN_TERM|2026-05-06	RESOLVED_EXACT_CURIE	Bovine Serum Albumin	true
MIM:Bovine_Serum_Albumin	bovine serum albumin	cas:9048-46-8	bovine serum albumin	cas	skos:exactMatch	expected_registry_identifier	none	keep; no mapping repair needed	CAS object_id matches YAML identifier or chemical_properties.cas_rn; CAS registry CURIEs are not OAK/OLS ontology terms.	data/ingredients/mapped/Bovine_Serum_Albumin.yaml	cas:9048-46-8	9048-46-8	NCIT:C85253	NARROW_MATCH	SINGLE_INGREDIENT		1	2	none|UNKNOWN_TERM|2026-05-06			
MIM:Bovine_Serum_Albumin	bovine serum albumin	kgmicrobe.compound:bovine_serum_albumin	bovine serum albumin	kgmicrobe.compound	skos:exactMatch	expected_registry_identifier	none	keep; no mapping repair needed	kg-microbe registry CURIE is an expected local identity/companion row and is not an OAK/OLS ontology term.	data/ingredients/mapped/Bovine_Serum_Albumin.yaml	cas:9048-46-8	9048-46-8	NCIT:C85253	NARROW_MATCH	SINGLE_INGREDIENT		1	2	none|UNKNOWN_TERM|2026-05-06			
MIM:Brain_Heart_Infusion	Brain heart infusion	MICRO:0000193	brain heart infusion	MICRO	skos:exactMatch	missing_prefix_validator_coverage_issue	none	keep mapping; extend synonym-review OLS prefix dispatch if this should validate green in future	Prefix-specific EBI OLS query resolves this exact CURIE; UNKNOWN_TERM came from synonym-review dispatcher lacking full prefix coverage.	data/ingredients/mapped/Brain_Heart_Infusion.yaml	MICRO:0000193		MICRO:0000193	EXACT_MATCH	UNDEFINED_MIXTURE		0	0	none|UNKNOWN_TERM|2026-05-06	RESOLVED_EXACT_CURIE	brain heart infusion	true
MIM:Brain_Heart_Infusion_Broth	Brain heart infusion broth	MICRO:0000193	brain heart infusion	MICRO	skos:closeMatch	missing_prefix_validator_coverage_issue	none	keep mapping; extend synonym-review OLS prefix dispatch if this should validate green in future	Prefix-specific EBI OLS query resolves this exact CURIE; UNKNOWN_TERM came from synonym-review dispatcher lacking full prefix coverage.	data/ingredients/mapped/Brain_Heart_Infusion_Broth.yaml	MICRO:0000193		MICRO:0000193	LEXICAL_MATCH	UNDEFINED_MIXTURE		1	0	none|UNKNOWN_TERM|2026-05-06	RESOLVED_EXACT_CURIE	brain heart infusion	true
MIM:Brucella_Agar	Brucella agar	MICRO:0000595	Brucella agar	MICRO	skos:exactMatch	missing_prefix_validator_coverage_issue	none	keep mapping; extend synonym-review OLS prefix dispatch if this should validate green in future	Prefix-specific EBI OLS query resolves this exact CURIE; UNKNOWN_TERM came from synonym-review dispatcher lacking full prefix coverage.	data/ingredients/mapped/Brucella_Agar.yaml	MICRO:0000595		MICRO:0000595	EXACT_MATCH			0	0	none|UNKNOWN_TERM|2026-05-06	RESOLVED_EXACT_CURIE	Brucella agar	true
MIM:Butyl_Vinyl_Ether	Butyl vinyl ether	mesh:C521980	butyl vinyl ether	mesh	skos:exactMatch	missing_prefix_validator_coverage_issue	none	keep mapping; extend synonym-review OLS prefix dispatch if this should validate green in future	Prefix-specific EBI OLS query resolves this exact CURIE; UNKNOWN_TERM came from synonym-review dispatcher lacking full prefix coverage.	data/ingredients/mapped/Butyl_Vinyl_Ether.yaml	mesh:C521980		mesh:C521980	EXACT_MATCH			0	0	none|UNKNOWN_TERM|2026-05-06	RESOLVED_EXACT_CURIE	butyl vinyl ether	true
