subject_id	subject_label	object_id	object_label	new_candidates	ingredient_yaml	review_status	missing_candidates_after_review	review_notes
MIM:2-methyl-4-isothizaolin-3-one	2-methyl-4-isothizaolin-3-one	CHEBI:53620	methylisothiazolinone	2-methyl-4-isothizaolin-3-one	data/ingredients/mapped/2-methyl-4-isothizaolin-3-one.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:2-n-Heptyl-4-hydroxyquinoline_N-oxide	2-n-Heptyl-4-hydroxyquinoline N-oxide	CHEBI:28362	2-heptyl-4-hydroxyquinoline N-oxide	2-n-Heptyl-4-hydroxyquinoline N-oxide	data/ingredients/mapped/2-n-Heptyl-4-hydroxyquinoline_N-oxide.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:2-oxobutyric_Acid_Sodium_Salt	2-oxobutyric acid sodium salt	CHEBI:26714	sodium salt	2-oxobutyric acid sodium salt|Sodium 2-oxobutyrate	data/ingredients/mapped/2-oxobutyric_Acid_Sodium_Salt.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:3-Aminopropionitrile_Fumarate	3-Aminopropionitrile Fumarate	CHEBI:91084	beta-aminopropionitrile hemifumarate	3-Aminopropionitrile Fumarate	data/ingredients/mapped/3-Aminopropionitrile_Fumarate.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:3-Methyl-2-oxobutanoic_Acid_Sodium_Salt	3-Methyl-2-oxobutanoic acid sodium salt	CHEBI:189431	Sodium-3-methyl-2-oxobutyrate	3-Methyl-2-oxobutanoic acid sodium salt	data/ingredients/mapped/3-Methyl-2-oxobutanoic_Acid_Sodium_Salt.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:3-O-methyl-glucose	3-O-methyl-glucose	CHEBI:73918	3-O-methyl-D-glucose	3-O-methyl-glucose	data/ingredients/mapped/3-O-methyl-glucose.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:3-O-methylgallate	3-O-methylgallate	CHEBI:28647	3-O-methylgallic acid	3-O-methylgallate	data/ingredients/mapped/3-O-methylgallate.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:3-fucosyllactose	3'-fucosyllactose	CHEBI:90065	3-fucosyllactose	3'-fucosyllactose	data/ingredients/mapped/3-fucosyllactose.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:3-indolyl_Acetic_Acid	3-Indolyl acetic acid	CHEBI:16411	indole-3-acetic acid	3-Indolyl acetic acid|ethyl 2-hexenoate|ethyl hex-2-enoate	data/ingredients/mapped/3-indolyl_Acetic_Acid.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:3-methyl-2-butenol	3-methyl-2-butenol	CHEBI:16019	prenol	3-methyl-2-butenol	data/ingredients/mapped/3-methyl-2-butenol.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:3-sialyllactose_Sodium_Salt	3'-sialyllactose sodium salt	CHEBI:26714	sodium salt	3'-sialyllactose sodium salt	data/ingredients/mapped/3-sialyllactose_Sodium_Salt.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:34-Dimethoxyflavone	3,4'-Dimethoxyflavone	CHEBI:232299	3',4'-dimethoxyflavone	3,4'-Dimethoxyflavone	data/ingredients/mapped/34-Dimethoxyflavone.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:36-Dihydroxyflavone	3',6-Dihydroxyflavone	CHEBI:107657	6-methoxy-2-(3-methoxyphenyl)-1-benzopyran-4-one	3',6-Dihydroxyflavone	data/ingredients/mapped/36-Dihydroxyflavone.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:3_N_morpholinopropanesulfonic_acid	3-(N-morpholino)propanesulfonic acid	CHEBI:44115	3-(N-morpholino)propanesulfonic acid	MOPS (3-(N-morpholino) propane-sulfonic acid)|MOPS buffer	data/ingredients/mapped/3_N_morpholinopropanesulfonic_acid.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:4-Hydroxymandelic_Acid_Monohydrate	4-Hydroxymandelic acid monohydrate	CHEBI:16388	4-hydroxymandelic acid	4-Hydroxymandelic acid monohydrate	data/ingredients/mapped/4-Hydroxymandelic_Acid_Monohydrate.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:4-Methoxyflavone	4'-Methoxyflavone	CHEBI:114194	2-(4-methoxyphenyl)-1-benzopyran-4-one	4'-Methoxyflavone	data/ingredients/mapped/4-Methoxyflavone.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:4-Methyl-2-oxopentanoic_Acid_Sodium_Salt	4-Methyl-2-oxopentanoic acid sodium salt	CHEBI:48430	4-methyl-2-oxopentanoic acid	4-Methyl-2-oxopentanoic acid sodium salt|Sodium 4-methyl-2-oxovalerate	data/ingredients/mapped/4-Methyl-2-oxopentanoic_Acid_Sodium_Salt.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:4-hydroxyphenyl_Acetic_Acid	4-Hydroxyphenyl acetic acid	CHEBI:18101	4-hydroxyphenylacetic acid	4-Hydroxyphenyl acetic acid|(5S,6R)-5-hydroxy-6-methyl-3-[(2S,3S)-3-methyloxiran-2-yl]-5,6-dihydro-2H-pyran-2-one|aspyrone	data/ingredients/mapped/4-hydroxyphenyl_Acetic_Acid.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:4-nitrophenyl_Beta-D-galactopyranoside	4-nitrophenyl beta-D-galactopyranoside	CHEBI:355715	4-nitrophenyl-beta-D-galactoside	4-nitrophenyl beta-D-galactopyranoside	data/ingredients/mapped/4-nitrophenyl_Beta-D-galactopyranoside.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:5-Fluorodihydropyrimidine-24-dione	5-Fluorodihydropyrimidine-2,4-dione	CHEBI:80624	5,6-Dihydro-5-fluorouracil	5-Fluorodihydropyrimidine-2,4-dione	data/ingredients/mapped/5-Fluorodihydropyrimidine-24-dione.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:5-Fluoroorotic_Acid_Hydrate	5-Fluoroorotic acid hydrate	CHEBI:74498	5-fluoroorotic acid	5-Fluoroorotic acid hydrate	data/ingredients/mapped/5-Fluoroorotic_Acid_Hydrate.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:5-Hydroxyoctanoate	5-Hydroxyoctanoate	CHEBI:180039	5-hydroxy-octanoic acid	5-Hydroxyoctanoate	data/ingredients/mapped/5-Hydroxyoctanoate.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
