old_curie	current_curie	first_seen	retired_at	chain_length
MIM:Menadione_solution	MIM:Menadione_Solution	2026-08-21	2026-08-21	2
MIM:Mercury_~28II~29_Chloride	MIM:Mercury_Ii_Chloride	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Metall_salt_sol_44	MIM:Metall_Salt_Sol_44	2026-08-21	2026-08-21	2
MIM:Methyl_(R)-lactate	MIM:Methyl_~28R~29-lactate	2026-08-21	2026-08-21	2
MIM:Methyl_3-~284-hydroxyphenyl~29propionate	MIM:Methyl_3-_4-hydroxyphenylpropionate	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Mgco	MIM:Mgco3	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Mgso47h2o_3	MIM:Mgso47h2o_2	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Micronutrient_solution	MIM:Micronutrient_Solution	2026-08-21	2026-08-21	2
MIM:Mineral_3B_solution	MIM:Mineral_3B_Solution	2026-08-21	2026-08-21	2
MIM:Mineral_3B_solution_minus_Nitrogen	MIM:Mineral_3B_Solution_Minus_Nitrogen	2026-08-21	2026-08-21	2
MIM:Mineral_3B_solution_minus_phosphorus	MIM:Mineral_3B_Solution_Minus_Phosphorus	2026-08-21	2026-08-21	2
MIM:Mineral_salts_base	MIM:Mineral_Salts_Base	2026-08-21	2026-08-21	2
MIM:Mncl2_anhydrous	MIM:Mncl2	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Modified_P-IV_chelated_Micronutrient_Solution	MIM:Modified_P-iv_Chelated_Micronutrient_Solution	2026-08-21	2026-08-21	2
MIM:Modified_trace_vitamins	MIM:Modified_Trace_Vitamins	2026-08-21	2026-08-21	2
MIM:Murashige-Skoog_basal_salts	MIM:Murashige-Skoog_Basal_Salts	2026-08-21	2026-08-21	2
MIM:N-~283-oxohexanoyl~29-DL-homoserine_Lactone	MIM:N-_3-oxohexanoyl-dl-homoserine_Lactone	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:NH42CO3	MIM:Nh42co3	2026-06-17T19:32:00-07:00	2026-06-17T19:32:00-07:00	2
MIM:NNNN-Tetrakis~282-pyridylmethyl~29ethylenediamine	MIM:Nnnn-tetrakis_2-pyridylmethylethylenediamine	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:N_Acetyl_glutamic_acid	MIM:N-acetyl-glutamic_Acid	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Na-phosphate_buffer	MIM:Na-phosphate_Buffer	2026-08-21	2026-08-21	2
MIM:Na2HPO4-KH2PO4_buffer	MIM:Na2HPO4-KH2PO4_Buffer	2026-08-21	2026-08-21	2
MIM:Na2HPO4-NaH2PO4_buffer	MIM:Na2HPO4-NaH2PO4_Buffer	2026-08-21	2026-08-21	2
MIM:P-II_Metal_Solution	MIM:P-ii_Metal_Solution	2026-08-21	2026-08-21	2
MIM:P-IV_Metal_Solution	MIM:P-iv_Metal_Solution	2026-08-21	2026-08-21	2
MIM:PIPES_buffer	MIM:PIPES_Buffer	2026-08-21	2026-08-21	2
MIM:Palladium~28II~29_Chloride	MIM:Palladium_Ii_Chloride	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Perillic_Acid_~28-~29	MIM:Perillic_Acid	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Platinum_~28IV~29_Chloride	MIM:Platinum_Iv_Chloride	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Poly_ethylene_Terephthalate	MIM:Poly~28ethylene_Terephthalate~29	2026-08-21	2026-08-21	2
MIM:Poly~283-hydroxybutyric_Acid~29	MIM:Poly_3-hydroxybutyric_Acid	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
