id	category	name	description	xref	provided_by	synonym	deprecated	same_as
MICRO:0000167	biolink:OntologyClass	undefined organic chemical mixture			micro.json			
MICRO:0000180	biolink:OntologyClass	proteose peptone			micro.json	Bacto(TM) Proteose Peptone|Peptic digest of animal tissue		
MICRO:0001236	biolink:OntologyClass	serum medium ingredient			micro.json			
OBO:MicrO.owl/MICRO_0002250	biolink:OntologyClass	V-8 juice			micro.json			
OBO:MicrO.owl/MICRO_0002392	biolink:OntologyClass	rabbit serum			micro.json			
OBO:MicrO.owl/MICRO_0002393	biolink:OntologyClass	Proteose Peptone No. 2			micro.json			
