identifier,ontology_id,preferred_term,mapping_status,ontology_label,ontology_source,mapping_quality,total_occurrences,media_count,synonyms
MICRO:0000610,MICRO:0000610,Ox-bile,MAPPED,ox bile,MICRO,SYNONYM_MATCH,0,0,
MICRO:0001348,MICRO:0001348,BG-11 Medium,MAPPED,BG 11 medium,MICRO,SYNONYM_MATCH,2,2,
kgmicrobe.ingredient:marine_broth_2216,kgmicrobe.ingredient:marine_broth_2216,Marine broth 2216,MAPPED,Marine broth 2216,kgmicrobe.ingredient,FALLBACK_REGISTRY,19,19,Marine broth 2216 (BD-Difco)|Marine Broth  (MB) 2216  (Difco)|Marine Broth 2216 (BD 279110)|Marine Broth 2216 (BD--Difco)
kgmicrobe.ingredient:marine_agar_2216,kgmicrobe.ingredient:marine_agar_2216,Marine agar 2216,MAPPED,Marine agar 2216,kgmicrobe.ingredient,FALLBACK_REGISTRY,32,32,Marine agar 2216 (BD-Difco)
MICRO:0000543,MICRO:0000543,R2A agar,MAPPED,R2A agar,MICRO,EXACT_MATCH,16,16,R2A agar (BD-Difco)|R2A agar (DB-Difco)|R2A agar (BD--Difco)
MICRO:0001572,MICRO:0001572,Defibrinated horse blood,MAPPED,defibrinated horse blood,MICRO,EXACT_MATCH,5,5,defibrinated horse blood (TCS Biologicals)
MICRO:0001570,MICRO:0001570,Defibrinated sheep blood,MAPPED,defibrinated sheep blood,MICRO,EXACT_MATCH,25,25,
CHEBI:18186,CHEBI:18186,DL-Tyrosine,MAPPED,tyrosine,CHEBI,CLOSE_MATCH,18,18,
CHEBI:189426,CHEBI:189426,Pyridoxine dihydrochloride,MAPPED,Pyridoxine dihydrochloride,CHEBI,EXACT_MATCH,2,2,
CHEBI:86370,CHEBI:86370,Neutral red,MAPPED,neutral red,CHEBI,EXACT_MATCH,4,4,
kgmicrobe.ingredient:mineral_solution_see_medium_no_976,kgmicrobe.ingredient:mineral_solution_see_medium_no_976,Mineral solution see Medium No. 976,MAPPED,Mineral solution see Medium No. 976,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,Mineral solution (see Medium No. 976
kgmicrobe.ingredient:1_butanol_co2,kgmicrobe.ingredient:1_butanol_co2,1-butanol+CO2,MAPPED,1-butanol+CO2,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:1_propanol_co2,kgmicrobe.ingredient:1_propanol_co2,1-propanol+CO2,MAPPED,1-propanol+CO2,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:2_butanol_co2,kgmicrobe.ingredient:2_butanol_co2,2-butanol+CO2,MAPPED,2-butanol+CO2,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:2_propanol_co2,kgmicrobe.ingredient:2_propanol_co2,2-propanol+CO2,MAPPED,2-propanol+CO2,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
CHEBI:36026,CHEBI:36026,"1,1,2,2-Tetrachloroethane",MAPPED,"1,1,2,2-tetrachloroethane",CHEBI,EXACT_MATCH,0,0,2-tetrachloroethane
kgmicrobe.ingredient:bhi,kgmicrobe.ingredient:bhi,BHI,MAPPED,BHI,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
CHEBI:41189,CHEBI:41189,"Butane-1,4-diol",REJECTED,"butane-1,4-diol",CHEBI,EXACT_MATCH,0,0,Butane-1|4-diol
kgmicrobe.ingredient:cmc_py_horse_serum,kgmicrobe.ingredient:cmc_py_horse_serum,CMC + PY + Horse Serum,MAPPED,CMC + PY + Horse Serum,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:casitone_yeast_extract_rumen_fluid,kgmicrobe.ingredient:casitone_yeast_extract_rumen_fluid,Casitone + Yeast Extract + Rumen Fluid,MAPPED,Casitone + Yeast Extract + Rumen Fluid,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:corn_steep_liquor_glucose_fumarate,kgmicrobe.ingredient:corn_steep_liquor_glucose_fumarate,Corn Steep Liquor + Glucose + Fumarate,MAPPED,Corn Steep Liquor + Glucose + Fumarate,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:cyclopentanol_co2,kgmicrobe.ingredient:cyclopentanol_co2,Cyclopentanol+CO2,MAPPED,Cyclopentanol+CO2,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:esculin_ferric_citrate,kgmicrobe.ingredient:esculin_ferric_citrate,Esculin Ferric Citrate,MAPPED,Esculin Ferric Citrate,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.compound:ethylenediamine_n_n_disuccinic_acid,kgmicrobe.compound:ethylenediamine_n_n_disuccinic_acid,"Ethylenediamine-N,N'-disuccinic acid (EDDS)",MAPPED,"Ethylenediamine-N,N'-disuccinic acid (EDDS)",kgmicrobe.compound,FALLBACK_REGISTRY,0,0,Ethylenediamine-N|N'-disuccinic Acid (EDDS)
kgmicrobe.ingredient:fastidious_anaerobe_broth_with_meat_granules,kgmicrobe.ingredient:fastidious_anaerobe_broth_with_meat_granules,Fastidious Anaerobe Broth With Meat Granules,MAPPED,Fastidious Anaerobe Broth With Meat Granules,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:fermented_rumen_extract,kgmicrobe.ingredient:fermented_rumen_extract,Fermented Rumen Extract,MAPPED,Fermented Rumen Extract,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:formate_3_methyl_mercaptopropionate,kgmicrobe.ingredient:formate_3_methyl_mercaptopropionate,Formate+3-methyl Mercaptopropionate,MAPPED,Formate+3-methyl Mercaptopropionate,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:formate_dimethylsulfide,kgmicrobe.ingredient:formate_dimethylsulfide,Formate+dimethylsulfide,MAPPED,Formate+dimethylsulfide,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:formate_methanol,kgmicrobe.ingredient:formate_methanol,Formate+methanol,MAPPED,Formate+methanol,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:formate_tetramethylammonium,kgmicrobe.ingredient:formate_tetramethylammonium,Formate+tetramethylammonium,MAPPED,Formate+tetramethylammonium,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:formate_trimethylamine,kgmicrobe.ingredient:formate_trimethylamine,Formate+trimethylamine,MAPPED,Formate+trimethylamine,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:gyps,kgmicrobe.ingredient:gyps,GYPS,MAPPED,GYPS,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:gallate_formate,kgmicrobe.ingredient:gallate_formate,Gallate + Formate,MAPPED,Gallate + Formate,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:glucose_acetate,kgmicrobe.ingredient:glucose_acetate,Glucose + Acetate,MAPPED,Glucose + Acetate,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:glucose_cellobiose_starch_trypticase_yeast_extract,kgmicrobe.ingredient:glucose_cellobiose_starch_trypticase_yeast_extract,Glucose + Cellobiose + Starch + Trypticase + Yeast Extract,MAPPED,Glucose + Cellobiose + Starch + Trypticase + Yeast Extract,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:glucose_formate,kgmicrobe.ingredient:glucose_formate,Glucose + Formate,MAPPED,Glucose + Formate,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:glucose_lactate,kgmicrobe.ingredient:glucose_lactate,Glucose + Lactate,MAPPED,Glucose + Lactate,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:glucose_maltose_cellobiose_starch_glycerol,kgmicrobe.ingredient:glucose_maltose_cellobiose_starch_glycerol,Glucose + Maltose + Cellobiose + Starch + Glycerol,MAPPED,Glucose + Maltose + Cellobiose + Starch + Glycerol,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:glucose_peptone_yeast_extract,kgmicrobe.ingredient:glucose_peptone_yeast_extract,Glucose Peptone-yeast Extract,MAPPED,Glucose Peptone-yeast Extract,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:glucose_xylose,kgmicrobe.ingredient:glucose_xylose,Glucose + Xylose,MAPPED,Glucose + Xylose,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:glucose_yeast_extract,kgmicrobe.ingredient:glucose_yeast_extract,Glucose + Yeast Extract,MAPPED,Glucose + Yeast Extract,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:h2_3_methyl_mercaptopropionate,kgmicrobe.ingredient:h2_3_methyl_mercaptopropionate,H2+3-methyl Mercaptopropionate,MAPPED,H2+3-methyl Mercaptopropionate,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:h2_co2,kgmicrobe.ingredient:h2_co2,H2 + CO2,MAPPED,H2 + CO2,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:h2_dimethylsulfide,kgmicrobe.ingredient:h2_dimethylsulfide,H2+dimethylsulfide,MAPPED,H2+dimethylsulfide,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:h2_methanol,kgmicrobe.ingredient:h2_methanol,H2+methanol,MAPPED,H2+methanol,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:h2_tetramethylammonium,kgmicrobe.ingredient:h2_tetramethylammonium,H2+tetramethylammonium,MAPPED,H2+tetramethylammonium,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:h2_trimethylamine,kgmicrobe.ingredient:h2_trimethylamine,H2+trimethylamine,MAPPED,H2+trimethylamine,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:modified_cooked_meat_medium,kgmicrobe.ingredient:modified_cooked_meat_medium,Modified Cooked Meat Medium,MAPPED,Modified Cooked Meat Medium,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:mono_and_disaccharides,kgmicrobe.ingredient:mono_and_disaccharides,Mono- And Disaccharides,MAPPED,Mono- And Disaccharides,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:py_cellobiose,kgmicrobe.ingredient:py_cellobiose,PY-cellobiose,MAPPED,PY-cellobiose,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:py_fructose,kgmicrobe.ingredient:py_fructose,PY-fructose,MAPPED,PY-fructose,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:py_glucose_rumen_fluid,kgmicrobe.ingredient:py_glucose_rumen_fluid,PY-glucose-rumen Fluid,MAPPED,PY-glucose-rumen Fluid,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:py_maltose,kgmicrobe.ingredient:py_maltose,PY-maltose,MAPPED,PY-maltose,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:py_pectin,kgmicrobe.ingredient:py_pectin,PY-pectin,MAPPED,PY-pectin,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:pyeg,kgmicrobe.ingredient:pyeg,PYEG,MAPPED,PYEG,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:pyg_0_02_tween_80,kgmicrobe.ingredient:pyg_0_02_tween_80,PYG-0.02% Tween 80,MAPPED,PYG-0.02% Tween 80,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:pyg,kgmicrobe.ingredient:pyg,PYG,MAPPED,PYG,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:pygs,kgmicrobe.ingredient:pygs,PYGS,MAPPED,PYGS,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:pyg_rumen_fluid,kgmicrobe.ingredient:pyg_rumen_fluid,PYG + Rumen Fluid,MAPPED,PYG + Rumen Fluid,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:peptone_yeast_extract_glucose,kgmicrobe.ingredient:peptone_yeast_extract_glucose,Peptone-yeast Extract-glucose,MAPPED,Peptone-yeast Extract-glucose,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:peptone_beef_extract_yeast_extract,kgmicrobe.ingredient:peptone_beef_extract_yeast_extract,Peptone + Beef Extract + Yeast Extract,MAPPED,Peptone + Beef Extract + Yeast Extract,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:peptone_yeast_extract,kgmicrobe.ingredient:peptone_yeast_extract,Peptone + Yeast Extract,MAPPED,Peptone + Yeast Extract,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
CHEBI:78037,CHEBI:78037,Poly-beta-hydroxyalkanoate,MAPPED,polyhydroxyalkanoate,CHEBI,SYNONYM_MATCH,0,0,
kgmicrobe.ingredient:sucrose_yeast_extract,kgmicrobe.ingredient:sucrose_yeast_extract,Sucrose + Yeast Extract,MAPPED,Sucrose + Yeast Extract,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.compound:sugars,CHEBI:16646,Sugars,MAPPED,carbohydrate,CHEBI,NARROW_MATCH,0,0,
kgmicrobe.ingredient:tygvs_glucose,kgmicrobe.ingredient:tygvs_glucose,TYGVS + Glucose,MAPPED,TYGVS + Glucose,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:trypticase_glucose_yeast_extract,kgmicrobe.ingredient:trypticase_glucose_yeast_extract,Trypticase-glucose-yeast Extract,MAPPED,Trypticase-glucose-yeast Extract,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:tryptone_yeast_beef_tyb,kgmicrobe.ingredient:tryptone_yeast_beef_tyb,Tryptone/yeast/beef (tyb),MAPPED,Tryptone/yeast/beef (tyb),kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:yeast_extract_gluconate,kgmicrobe.ingredient:yeast_extract_gluconate,Yeast Extract + Gluconate,MAPPED,Yeast Extract + Gluconate,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:yeast_extract_glucose,kgmicrobe.ingredient:yeast_extract_glucose,Yeast Extract + Glucose,MAPPED,Yeast Extract + Glucose,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:yeast_extract_peptone,kgmicrobe.ingredient:yeast_extract_peptone,Yeast Extract + Peptone,MAPPED,Yeast Extract + Peptone,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:yeast_extract_sulfur,kgmicrobe.ingredient:yeast_extract_sulfur,Yeast Extract + Sulfur,MAPPED,Yeast Extract + Sulfur,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:yeast_meat_extract_h2,kgmicrobe.ingredient:yeast_meat_extract_h2,Yeast + Meat Extract + H2,MAPPED,Yeast + Meat Extract + H2,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
cas:68399-81-5,cas:68399-81-5,TAPSO,MAPPED,TAPSO,CAS,FALLBACK_REGISTRY,12,12,"3-[[1,3-dihydroxy-2-(hydroxymethyl)propan-2-yl]amino]-2-hydroxypropane-1-sulfonic acid|N-[tris(hydroxymethyl)methyl]-3-amino-2-hydroxypropanesulfonic acid"
cas:7705-07-9,cas:7705-07-9,TitaniumIII chloride,MAPPED,TitaniumIII chloride,CAS,FALLBACK_REGISTRY,0,0,
cas:13977-65-6,CHEBI:44976,KH2PO3,MAPPED,phosphonic acid,CHEBI,NARROW_MATCH,3,3,
cas:7788-99-0,CHEBI:53471,CrKSO42 x 12 H2O,MAPPED,chromium(III) sulfate,CHEBI,CLOSE_MATCH,0,0,
cas:145224-94-8,CHEBI:39005,MES Hydrat,MAPPED,2-(N-morpholino)ethanesulfonic acid,CHEBI,NARROW_MATCH,4,4,
cas:13408-09-8,CHEBI:15978,Na2glycerophosphate•5H2O,MAPPED,sn-glycerol 3-phosphate,CHEBI,NARROW_MATCH,4,4,Na2glycerophosphate•5H2O(CAS: 13408-09-8)|Na2glycerophosphate•5H2O(CAS:  13408-09-8)
cas:10049-21-5,CHEBI:37585,NaH2PO4•H2O,MAPPED,sodium dihydrogenphosphate,CHEBI,NARROW_MATCH,4,4,NaH2PO4•H2O(MCIB 742)
kgmicrobe.ingredient:hans_100x_vitamins,kgmicrobe.ingredient:hans_100x_vitamins,Hans 100x vitamins,MAPPED,Hans 100x vitamins,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:hans_1000x_minerals,kgmicrobe.ingredient:hans_1000x_minerals,Hans 1000x minerals,MAPPED,Hans 1000x minerals,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:glycine-naoh_buffer,kgmicrobe.ingredient:glycine-naoh_buffer,Glycine-NaOH buffer,MAPPED,Glycine-NaOH buffer,kgmicrobe.ingredient,FALLBACK_REGISTRY,2,2,
kgmicrobe.ingredient:carbon_source_solution,kgmicrobe.ingredient:carbon_source_solution,Carbon source solution,MAPPED,Carbon source solution,kgmicrobe.ingredient,FALLBACK_REGISTRY,1,1,
kgmicrobe.ingredient:aminoacids,kgmicrobe.ingredient:aminoacids,Aminoacids,MAPPED,Aminoacids,kgmicrobe.ingredient,FALLBACK_REGISTRY,6,6,
kgmicrobe.ingredient:pbs,NCIT:C178908,PBS,MAPPED,Dulbecco's Phosphate-Buffered Saline,NCIT,NARROW_MATCH,0,0,Phosphate-buffered saline
kgmicrobe.ingredient:84_gl_nahco3_solution,CHEBI:32139,84 g/L NaHCO3 solution,MAPPED,sodium hydrogencarbonate,CHEBI,NARROW_MATCH,1,1,
kgmicrobe.ingredient:l-cysteine_x_hcl_x_h2o_solution,CHEBI:91247,L-Cysteine x HCl x H2O solution,MAPPED,L-cysteine hydrochloride,CHEBI,CLOSE_MATCH,1,1,
kgmicrobe.ingredient:cholesterol_lipid_concentrate,CHEBI:16113,cholesterol lipid concentrate,MAPPED,cholesterol,CHEBI,NARROW_MATCH,2,2,
kgmicrobe.ingredient:menadione_solution,CHEBI:28869,Menadione solution,MAPPED,menadione,CHEBI,NARROW_MATCH,1,1,
kgmicrobe.ingredient:wolfes_mineral_mix_minus_nitrilotriacetic_acid,kgmicrobe.ingredient:wolfes_mineral_mix_minus_nitrilotriacetic_acid,Wolfe's mineral mix_minus_Nitrilotriacetic_acid,MAPPED,Wolfe's mineral mix_minus_Nitrilotriacetic_acid,kgmicrobe.ingredient,FALLBACK_REGISTRY,1,1,
kgmicrobe.ingredient:uw_concentrated_base_no_sulfur,kgmicrobe.ingredient:uw_concentrated_base_no_sulfur,UW concentrated base no sulfur,MAPPED,UW concentrated base no sulfur,kgmicrobe.ingredient,FALLBACK_REGISTRY,1,1,
kgmicrobe.ingredient:thauers_vitamin_mix_no_biotin,kgmicrobe.ingredient:thauers_vitamin_mix_no_biotin,Thauer's vitamin mix no Biotin,MAPPED,Thauer's vitamin mix no Biotin,kgmicrobe.ingredient,FALLBACK_REGISTRY,1,1,
kgmicrobe.ingredient:sulfur_free_mineral_mix,kgmicrobe.ingredient:sulfur_free_mineral_mix,Sulfur free mineral mix,MAPPED,Sulfur free mineral mix,kgmicrobe.ingredient,FALLBACK_REGISTRY,1,1,
kgmicrobe.ingredient:planctomyces_vitamin_mix,kgmicrobe.ingredient:planctomyces_vitamin_mix,Planctomyces_vitamin_mix,MAPPED,Planctomyces_vitamin_mix,kgmicrobe.ingredient,FALLBACK_REGISTRY,1,1,
kgmicrobe.ingredient:planctomyces_trace_element_solution,kgmicrobe.ingredient:planctomyces_trace_element_solution,Planctomyces_trace_element_solution,MAPPED,Planctomyces_trace_element_solution,kgmicrobe.ingredient,FALLBACK_REGISTRY,1,1,
kgmicrobe.ingredient:planctomyces_mineral_salts,kgmicrobe.ingredient:planctomyces_mineral_salts,Planctomyces_mineral_salts,MAPPED,Planctomyces_mineral_salts,kgmicrobe.ingredient,FALLBACK_REGISTRY,1,1,
kgmicrobe.ingredient:p-ii_metal_solution,kgmicrobe.ingredient:p-ii_metal_solution,P-II Metal Solution,MAPPED,P-II Metal Solution,kgmicrobe.ingredient,FALLBACK_REGISTRY,1,1,
kgmicrobe.ingredient:modified_p-iv_chelated_micronutrient_solution,kgmicrobe.ingredient:modified_p-iv_chelated_micronutrient_solution,Modified P-IV chelated Micronutrient Solution,MAPPED,Modified P-IV chelated Micronutrient Solution,kgmicrobe.ingredient,FALLBACK_REGISTRY,1,1,
kgmicrobe.ingredient:minor_nutrients,kgmicrobe.ingredient:minor_nutrients,Minor Nutrients,MAPPED,Minor Nutrients,kgmicrobe.ingredient,FALLBACK_REGISTRY,1,1,
kgmicrobe.ingredient:mineral_3b_solution_minus_phosphorus,kgmicrobe.ingredient:mineral_3b_solution_minus_phosphorus,Mineral 3B solution minus phosphorus,MAPPED,Mineral 3B solution minus phosphorus,kgmicrobe.ingredient,FALLBACK_REGISTRY,1,1,
kgmicrobe.ingredient:macro_component_2_for_j_medium,kgmicrobe.ingredient:macro_component_2_for_j_medium,Macro Component 2 for J medium,MAPPED,Macro Component 2 for J medium,kgmicrobe.ingredient,FALLBACK_REGISTRY,1,1,
kgmicrobe.ingredient:macro_component_1_for_j_medium,kgmicrobe.ingredient:macro_component_1_for_j_medium,Macro Component 1 for J Medium,MAPPED,Macro Component 1 for J Medium,kgmicrobe.ingredient,FALLBACK_REGISTRY,1,1,
kgmicrobe.ingredient:iron_stock,kgmicrobe.ingredient:iron_stock,Iron Stock,MAPPED,Iron Stock,kgmicrobe.ingredient,FALLBACK_REGISTRY,1,1,
kgmicrobe.ingredient:hunters_trace_stock_solution,kgmicrobe.ingredient:hunters_trace_stock_solution,Hunter's Trace Stock Solution,MAPPED,Hunter's Trace Stock Solution,kgmicrobe.ingredient,FALLBACK_REGISTRY,1,1,
kgmicrobe.ingredient:g9_trace_metals_for_j_medium,kgmicrobe.ingredient:g9_trace_metals_for_j_medium,G9 Trace Metals for J medium,MAPPED,G9 Trace Metals for J medium,kgmicrobe.ingredient,FALLBACK_REGISTRY,1,1,
kgmicrobe.ingredient:edta_stock,kgmicrobe.ingredient:edta_stock,EDTA Stock,MAPPED,EDTA Stock,kgmicrobe.ingredient,FALLBACK_REGISTRY,1,1,
kgmicrobe.ingredient:das_macro_solution,kgmicrobe.ingredient:das_macro_solution,DAS Macro Solution,MAPPED,DAS Macro Solution,kgmicrobe.ingredient,FALLBACK_REGISTRY,1,1,
kgmicrobe.ingredient:chu_stock_solution,kgmicrobe.ingredient:chu_stock_solution,Chu Stock Solution,MAPPED,Chu Stock Solution,kgmicrobe.ingredient,FALLBACK_REGISTRY,1,1,
kgmicrobe.ingredient:chelated_iron_solution,kgmicrobe.ingredient:chelated_iron_solution,Chelated Iron Solution,MAPPED,Chelated Iron Solution,kgmicrobe.ingredient,FALLBACK_REGISTRY,1,1,
kgmicrobe.ingredient:caso42h2osaturated_solution,kgmicrobe.ingredient:caso42h2osaturated_solution,CaSO4•2H2Osaturated solution,MAPPED,CaSO4•2H2Osaturated solution,kgmicrobe.ingredient,FALLBACK_REGISTRY,1,1,CaSO4•2H2Osaturated solution (Mallinckroft 4300)
kgmicrobe.ingredient:boron_stock,kgmicrobe.ingredient:boron_stock,Boron Stock,MAPPED,Boron Stock,kgmicrobe.ingredient,FALLBACK_REGISTRY,1,1,
kgmicrobe.ingredient:bold_trace_stock,kgmicrobe.ingredient:bold_trace_stock,Bold Trace Stock,MAPPED,Bold Trace Stock,kgmicrobe.ingredient,FALLBACK_REGISTRY,1,1,
kgmicrobe.ingredient:beijerincks_solution,kgmicrobe.ingredient:beijerincks_solution,Beijerinck's Solution,MAPPED,Beijerinck's Solution,kgmicrobe.ingredient,FALLBACK_REGISTRY,1,1,
kgmicrobe.ingredient:a_trace_components,kgmicrobe.ingredient:a_trace_components,A+ Trace Components,MAPPED,A+ Trace Components,kgmicrobe.ingredient,FALLBACK_REGISTRY,1,1,A+ Trace Components (sterilize before adding)
kgmicrobe.ingredient:atcc_wolfes_mineral_mix_minus_iron,kgmicrobe.ingredient:atcc_wolfes_mineral_mix_minus_iron,ATCC Wolfe's mineral mix minus iron,MAPPED,ATCC Wolfe's mineral mix minus iron,kgmicrobe.ingredient,FALLBACK_REGISTRY,1,1,
kgmicrobe.ingredient:20aa_mix,kgmicrobe.ingredient:20aa_mix,20AA_mix,MAPPED,20AA_mix,kgmicrobe.ingredient,FALLBACK_REGISTRY,1,1,
kgmicrobe.ingredient:uw_concentrated_base_no_mo,kgmicrobe.ingredient:uw_concentrated_base_no_mo,UW concentrated base no Mo,MAPPED,UW concentrated base no Mo,kgmicrobe.ingredient,FALLBACK_REGISTRY,2,2,
kgmicrobe.ingredient:tyg_salts_solution,kgmicrobe.ingredient:tyg_salts_solution,TYG salts solution,MAPPED,TYG salts solution,kgmicrobe.ingredient,FALLBACK_REGISTRY,2,2,
kgmicrobe.ingredient:spir_solution,kgmicrobe.ingredient:spir_solution,Spir solution,MAPPED,Spir solution,kgmicrobe.ingredient,FALLBACK_REGISTRY,2,2,Spir solution 1|Spir solution 2
kgmicrobe.ingredient:lcfm_carbon_mix,kgmicrobe.ingredient:lcfm_carbon_mix,LCFM Carbon mix,MAPPED,LCFM Carbon mix,kgmicrobe.ingredient,FALLBACK_REGISTRY,2,2,
kgmicrobe.ingredient:ferric_malate_solution,kgmicrobe.ingredient:ferric_malate_solution,ferric malate solution,MAPPED,ferric malate solution,kgmicrobe.ingredient,FALLBACK_REGISTRY,2,2,
kgmicrobe.ingredient:dyv_metal_solution,kgmicrobe.ingredient:dyv_metal_solution,DYV Metal Solution,MAPPED,DYV Metal Solution,kgmicrobe.ingredient,FALLBACK_REGISTRY,2,2,
kgmicrobe.ingredient:das_vitamin_cocktail,kgmicrobe.ingredient:das_vitamin_cocktail,DAS Vitamin Cocktail,MAPPED,DAS Vitamin Cocktail,kgmicrobe.ingredient,FALLBACK_REGISTRY,2,2,
kgmicrobe.ingredient:bg-11_trace_metals_solution,kgmicrobe.ingredient:bg-11_trace_metals_solution,BG-11 Trace Metals Solution,MAPPED,BG-11 Trace Metals Solution,kgmicrobe.ingredient,FALLBACK_REGISTRY,2,2,
kgmicrobe.ingredient:northen_exometabolite_mix_1,kgmicrobe.ingredient:northen_exometabolite_mix_1,Northen_Exometabolite_mix_1,MAPPED,Northen_Exometabolite_mix_1,kgmicrobe.ingredient,FALLBACK_REGISTRY,3,3,
kgmicrobe.ingredient:mwc_metal_solution,kgmicrobe.ingredient:mwc_metal_solution,MWC Metal Solution,MAPPED,MWC Metal Solution,kgmicrobe.ingredient,FALLBACK_REGISTRY,3,3,
kgmicrobe.ingredient:modified_wolfes_minerals,kgmicrobe.ingredient:modified_wolfes_minerals,Modified Wolfe's Minerals,MAPPED,Modified Wolfe's Minerals,kgmicrobe.ingredient,FALLBACK_REGISTRY,3,3,
