identifier,ontology_id,preferred_term,mapping_status,ontology_label,ontology_source,mapping_quality,total_occurrences,media_count,synonyms
NCIT:C61062,NCIT:C61062,Catalase,MAPPED,Catalase,NCIT,EXACT_MATCH,34,34,Catalase (Sigma C--10)
CHEBI:86156,CHEBI:86156,Cd(NO3)2 x 4 H2O,MAPPED,cadmium nitrate tetrahydrate,CHEBI,EXACT_MATCH,2,2,Cadmium dinitrate tetrahydrate|Cadmium(II) nitrate tetrahydrate (1:2:4)|Cd(NO3)2.4H2O|cadmium nitrate tetrahydrate|cadmium nitrate--water (1/4)
CHEBI:35458,CHEBI:35458,CeCl3,MAPPED,cerium trichloride,CHEBI,EXACT_MATCH,4,4,[CeCl3]|cerium chloride|cerium trichloride|cerium(3+) chloride|cerium(III) chloride|cerous chloride|cerous(III) chloride|trichloridocerium
kgmicrobe.compound:cecl3_x_7_h2o,CHEBI:35458,CeCl3 x 7 H2O,MAPPED,cerium trichloride,CHEBI,CLOSE_MATCH,4,4,cerium(3+) chloride|cerium(III) chloride|trichloridocerium
CHEBI:201428,CHEBI:201428,Cecropin A,MAPPED,Cecropin A,CHEBI,EXACT_MATCH,0,0,"(4S)-5-[[(2S)-6-amino-1-[[(2S)-1-[[2-[[(2S)-5-amino-1-[[(2S)-4-amino-1-[[(2S,3S)-1-[[(2S)-1-[[(2S)-1-[[2-[[(2S,3S)-1-[[(2S,3S)-1-[[(2S)-6-amino-1-[[(2S)-1-[[2-[(2S)-2-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[2-[[(2S)-5-amino-1-[[(2S)-1-[[(2S,3R)-1-[[(2S)-5-amino-1-[[(2S,3S)-1-[[(2S)-1-[[(2S)-1,6-diamino-1-oxohexan-2-yl]amino]-1-oxopropan-2-yl]amino]-3-methyl-1-oxopentan-2-yl]amino]-1,5-dioxopentan-2-yl]amino]-3-hydroxy-1-oxobutan-2-yl]amino]-1-oxopropan-2-yl]amino]-1,5-dioxopentan-2-yl]amino]-2-oxoethyl]amino]-3-methyl-1-oxobutan-2-yl]amino]-3-methyl-1-oxobutan-2-yl]amino]-1-oxopropan-2-yl]amino]-3-methyl-1-oxobutan-2-yl]amino]-1-oxopropan-2-yl]carbamoyl]pyrrolidin-1-yl]-2-oxoethyl]amino]-1-oxopropan-2-yl]amino]-1-oxohexan-2-yl]amino]-3-methyl-1-oxopentan-2-yl]amino]-3-methyl-1-oxopentan-2-yl]amino]-2-oxoethyl]amino]-3-carboxy-1-oxopropan-2-yl]amino]-5-carbamimidamido-1-oxopentan-2-yl]amino]-3-methyl-1-oxopentan-2-yl]amino]-1,4-dioxobutan-2-yl]amino]-1,5-dioxopentan-2-yl]amino]-2-oxoethyl]amino]-3-methyl-1-oxobutan-2-yl]amino]-1-oxohexan-2-yl]amino]-4-[[(2S,3S)-2-[[(2S)-6-amino-2-[[(2S)-6-amino-2-[[(2S)-2-[[(2S)-2-[[(2S)-6-amino-2-[[(2S)-2-[[(2S)-2,6-diaminohexanoyl]amino]-3-(1H-indol-3-yl)propanoyl]amino]hexanoyl]amino]-4-methylpentanoyl]amino]-3-phenylpropanoyl]amino]hexanoyl]amino]hexanoyl]amino]-3-methylpentanoyl]amino]-5-oxopentanoic acid"
CHEBI:201469,CHEBI:201469,Cecropin B,MAPPED,Cecropin B,CHEBI,EXACT_MATCH,0,0,"(4S)-4-[[2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S,3S)-2-[[(2S)-2-[[(2S)-1-[2-[[(2S)-2-[[(2S)-6-amino-2-[[(2S)-2-[[(2S,3S)-2-[[2-[[(2S)-4-amino-2-[[(2S)-2-[[(2S,3S)-2-[[(2S)-4-amino-2-[[(2S)-2-[[2-[[(2S)-2-[[(2S)-6-amino-2-[[(2S)-2-[[(2S,3S)-2-[[(2S)-6-amino-2-[[(2S)-6-amino-2-[[(2S)-2-[[(2S)-2-[[(2S)-6-amino-2-[[(2S)-2-[[(2S)-2,6-diaminohexanoyl]amino]-3-(1H-indol-3-yl)propanoyl]amino]hexanoyl]amino]-3-methylbutanoyl]amino]-3-phenylpropanoyl]amino]hexanoyl]amino]hexanoyl]amino]-3-methylpentanoyl]amino]-4-carboxybutanoyl]amino]hexanoyl]amino]-4-methylsulanylbutanoyl]amino]acetyl]amino]-5-carbamimidamidopentanoyl]amino]-4-oxobutanoyl]amino]-3-methylpentanoyl]amino]-5-carbamimidamidopentanoyl]amino]-4-oxobutanoyl]amino]acetyl]amino]-3-methylpentanoyl]amino]-3-methylbutanoyl]amino]hexanoyl]amino]propanoyl]amino]acetyl]pyrrolidine-2-carbonyl]amino]propanoyl]amino]-3-methylpentanoyl]amino]propanoyl]amino]-3-methylbutanoyl]amino]-4-methylpentanoyl]amino]acetyl]amino]-5-[[(2S)-1-[[(2S)-6-amino-1-[[(2S)-1-[[(2S)-1-amino-4-methyl-1-oxopentan-2-yl]amino]-1-oxopropan-2-yl]amino]-1-oxohexan-2-yl]amino]-1-oxopropan-2-yl]amino]-5-oxopentanoic acid"
CHEBI:197237,CHEBI:197237,Cedrelone,MAPPED,CEDRELONE,CHEBI,EXACT_MATCH,0,0,"(1R,2R,4R,6S,7S,10R,11R)-6-(uran-3-yl)-17-hydroxy-1,7,11,15,15-pentamethyl-3-oxapentacyclo[8.8.0.02,4.02,7.011,16]octadeca-12,16-diene-14,18-dione"
CHEBI:3478,CHEBI:3478,Cefaclor,MAPPED,cefaclor,CHEBI,EXACT_MATCH,0,0,"(6R,7R)-7-{[(2R)-2-amino-2-phenylacetyl]amino}-3-chloro-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid|7beta-{[(2R)-2-amino-2-phenylacetyl]amino}-3-chloro-3,4-didehydrocepham-4-carboxylic acid"
CHEBI:3483,CHEBI:3483,Cefazolin sodium salt,MAPPED,cefazolin sodium,CHEBI,CAS_RN_LOOKUP,0,0,"sodium 3-{[(5-methyl-1,3,4-thiadiazol-2-yl)sulfanyl]methyl}-7beta-[(1H-tetrazol-1-ylacetyl)amino]-3,4-didehydrocepham-4-carboxylate"
CHEBI:3489,CHEBI:3489,Cefmetazole,MAPPED,cefmetazole,CHEBI,EXACT_MATCH,0,0,7beta-{[(cyanomethyl)sulfanyl]acetamido}-7alpha-methoxy-3-{[(1-methyl-1H-tetrazol-5-yl)sulfanyl]methyl}ceph-3-em-4-carboxylic acid
