identifier,ontology_id,preferred_term,mapping_status,ontology_label,ontology_source,mapping_quality,total_occurrences,media_count
cas:0303-07-1,cas:0303-07-1,2-6-dihydroxybenzoic acid,MAPPED,2-6-dihydroxybenzoic acid,CAS,FALLBACK_REGISTRY,0,0
CHEBI:59981,CHEBI:59981,2-Acetylpyrrole,MAPPED,2-acetylpyrrole,CHEBI,EXACT_MATCH,0,0
CHEBI:327119,CHEBI:327119,2-Azetidinone,MAPPED,azetidin-2-one,CHEBI,EXACT_MATCH,0,0
CHEBI:28816,CHEBI:28816,2-Deoxy-D-Ribose,MAPPED,2-deoxy-D-ribose,CHEBI,EXACT_MATCH,0,0
CHEBI:15866,CHEBI:15866,2-Deoxy-D-glucose,MAPPED,2-deoxy-D-glucose,CHEBI,EXACT_MATCH,0,0
cas:7284-15-3,CHEBI:86350,2-Deoxy-D-ribonic acid lithium salt,MAPPED,2-deoxy-D-ribonic acid,CHEBI,NARROW_MATCH,0,0
CHEBI:17713,CHEBI:17713,2-Deoxyadenosine 5-monophosphate,MAPPED,2'-deoxyadenosine 5'-monophosphate,CHEBI,EXACT_MATCH,0,0
cas:16373-93-6,cas:16373-93-6,2-Deoxyadenosine monohydrate,MAPPED,2-Deoxyadenosine monohydrate,CAS,FALLBACK_REGISTRY,0,0
CHEBI:15698,CHEBI:15698,2'-Deoxycytidine,MAPPED,2'-deoxycytidine,CHEBI,EXACT_MATCH,0,0
CHEBI:15918,CHEBI:15918,2-Deoxycytidine 5-monophosphate,MAPPED,2'-deoxycytosine 5'-monophosphate,CHEBI,EXACT_MATCH,0,0
CHEBI:16011,CHEBI:16011,2-Ethylhexanol,MAPPED,2-ethylhexan-1-ol,CHEBI,EXACT_MATCH,0,0
CHEBI:34768,CHEBI:34768,2-Furfuraldehyde,MAPPED,furfural,CHEBI,EXACT_MATCH,0,0
CHEBI:184501,CHEBI:184501,"2-Hydroxy-3,4-Dimethoxybenzoic Acid",MAPPED,"2-HYDROXY-3,4-DIMETHOXYBENZOIC ACID",CHEBI,EXACT_MATCH,0,0
cas:5094-24-6,CHEBI:1148,2-Hydroxybutyric acid sodium salt,MAPPED,2-hydroxybutyric acid,CHEBI,NARROW_MATCH,0,0
CHEBI:16540,CHEBI:16540,2-Hydroxypyridine,MAPPED,pyridin-2-ol,CHEBI,EXACT_MATCH,0,0
cas:1040352-40-6,cas:1040352-40-6,2-Keto-D-gluconic acid hemicalcium salt hydrate,MAPPED,2-Keto-D-gluconic acid hemicalcium salt hydrate,CAS,FALLBACK_REGISTRY,0,0
cas:3470-37-9,cas:3470-37-9,2-Keto-D-gluconic acid hemicalcium salt monohydrate,MAPPED,2-Keto-D-gluconic acid hemicalcium salt monohydrate,CAS,FALLBACK_REGISTRY,0,0
CHEBI:201738,CHEBI:201738,2-Mercaptopyridine N-oxide sodium salt,MAPPED,2-Mercaptopyridine N-oxide sodium salt,CHEBI,EXACT_MATCH,0,0
CHEBI:77761,CHEBI:77761,2-Piperidinone,MAPPED,piperidin-2-one,CHEBI,EXACT_MATCH,0,0
mesh:C028805,mesh:C028805,2-Sulfobenzoic acid,MAPPED,2-sulfobenzoic acid,MESH,EXACT_MATCH,0,0
CHEBI:31306,CHEBI:31306,"2-bromo-2-nitro-1,3-propanediol",MAPPED,Bronopol,CHEBI,EXACT_MATCH,0,0
CHEBI:15930,CHEBI:15930,"2-chloro-4ethylamino-6-isopropylamino-1,3,5-triazine",MAPPED,atrazine,CHEBI,EXACT_MATCH,0,0
CHEBI:147155,CHEBI:147155,2'-fucosyllactose,MAPPED,2'-fucosyllactose,CHEBI,EXACT_MATCH,0,0
CHEBI:30845,CHEBI:30845,2-Furoic acid,MAPPED,2-furoic acid,CHEBI,EXACT_MATCH,1,1
CHEBI:17905,CHEBI:17905,2-Mercaptoethanesulfonate,MAPPED,coenzyme M,CHEBI,EXACT_MATCH,52,52
CHEBI:41218,CHEBI:41218,2-Mercaptoethanol,MAPPED,mercaptoethanol,CHEBI,EXACT_MATCH,2,2
CHEBI:48945,CHEBI:48945,2-methyl-1-butanol,MAPPED,2-methylbutan-1-ol,CHEBI,EXACT_MATCH,0,0
CHEBI:53620,CHEBI:53620,2-methyl-4-isothizaolin-3-one,MAPPED,methylisothiazolinone,CHEBI,EXACT_MATCH,0,0
CHEBI:28362,CHEBI:28362,2-n-Heptyl-4-hydroxyquinoline N-oxide,MAPPED,2-heptyl-4-hydroxyquinoline N-oxide,CHEBI,EXACT_MATCH,0,0
cas:2013-26-5,CHEBI:26714,2-oxobutyric acid sodium salt,MAPPED,sodium salt,CHEBI,NARROW_MATCH,0,0
CHEBI:89197,CHEBI:89197,2-pentyl-furan,MAPPED,2-pentylfuran,CHEBI,EXACT_MATCH,0,0
CHEBI:77930,CHEBI:77930,2-undecanol,MAPPED,undecan-2-ol,CHEBI,EXACT_MATCH,0,0
