label,match_type,identifier,preferred_term,ontology_id,mapping_status
"(1aR,4E,7aS,10aS,10bR)-1a,5-dimethyl-8-methylidene-2,3,6,7,7a,8,10a,10b-octahydrooxireno[9,10]cyclodeca[1,2-b]furan-9(1aH)-one",synonym,CHEBI:7939,Parthenolide,CHEBI:7939,MAPPED
"(1E)-prop-1-ene-1,2,3-tricarboxylic acid",synonym,CHEBI:32806,trans-aconitic acid,CHEBI:32806,MAPPED
"(1E,6E)-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione",synonym,CHEBI:3962,Curcumin,CHEBI:3962,MAPPED
(1R)-1-carboxy-2-sulfanylethan-1-aminium chloride,synonym,CHEBI:91247,L-Cysteine HCl,CHEBI:91247,MAPPED
(1R)-1-carboxy-2-sulfanylethan-1-aminium chloride--water (1/1),synonym,CHEBI:91248,L-Cysteine HCl x H2O,CHEBI:91248,MAPPED
(1R)-1-carboxy-2-sulfanylethan-1-aminium chloride--water (1/1),synonym,CHEBI:91248,L-Cysteine hydrochloride monohydrate,CHEBI:91248,MAPPED
"(1r,2r,3r,4r,5r,6r)-cyclohexane-1,2,3,4,5,6-hexol",synonym,CHEBI:10642,m-Inositol,CHEBI:10642,MAPPED
"(1R,2R,3S,4R,6S)-4,6-diamino-2-{[3-O-(2,6-diamino-2,6-dideoxy-beta-L-idopyranosyl)-beta-D-ribofuranosyl]oxy}-3-hydroxycyclohexyl 2-amino-2-deoxy-alpha-D-glucopyranoside sulfate",synonym,CHEBI:7935,Paromomycin sulfate salt,CHEBI:7935,MAPPED
"(1r,2R,3S,4s,5R,6S)-cyclohexane-1,2,3,4,5,6-hexol",synonym,CHEBI:17268,myo-Inositol,CHEBI:17268,MAPPED
"(1R,2R,4R,6S,7S,10R,11R)-6-(uran-3-yl)-17-hydroxy-1,7,11,15,15-pentamethyl-3-oxapentacyclo[8.8.0.02,4.02,7.011,16]octadeca-12,16-diene-14,18-dione",synonym,CHEBI:197237,Cedrelone,CHEBI:197237,MAPPED
"(1R,2S)-1-(6-bromo-2-methoxyquinolin-3-yl)-4-(dimethylamino)-2-(1-naphthyl)-1-phenylbutan-2-ol",synonym,CHEBI:72292,Bedaquiline,CHEBI:72292,MAPPED
"(1R,2S,3R,5S,6R)-3-amino-2,6-dihydroxy-5-(methylamino)cyclohexyl O-6-amino-6-deoxy-L-glycero-D-galacto-heptopyranosylidene-(1->2-3)-beta-D-talopyranoside",synonym,CHEBI:16976,Hygromycin B,CHEBI:16976,MAPPED
