label,match_type,identifier,preferred_term,ontology_id,mapping_status
Arabinose,preferred_term,CHEBI:22599,Arabinose,CHEBI:22599,MAPPED
Arabinotriose,preferred_term,cas:89315-59-3,Arabinotriose,CHEBI:62799,MAPPED
Arabinoxylan (Rye Flour),preferred_term,FOODON:03302492,Arabinoxylan (Rye Flour),FOODON:03302492,MAPPED
Arabitol,preferred_term,CHEBI:18403,Arabitol,CHEBI:18403,MAPPED
Arbutin,preferred_term,NCIT:C87429,Arbutin,NCIT:C87429,MAPPED
Arcrane,synonym,CHEBI:53311,Sodium alginate,CHEBI:53311,MAPPED
Ardacin A,preferred_term,kgmicrobe.compound:ardacin_a,Ardacin A,NCIT:C169786,MAPPED
Ardacin B,preferred_term,kgmicrobe.compound:ardacin_b,Ardacin B,NCIT:C169786,MAPPED
Ardacin C,preferred_term,kgmicrobe.compound:ardacin_c,Ardacin C,NCIT:C169786,MAPPED
Arecoline Hydrobromide,preferred_term,CHEBI:233150,Arecoline Hydrobromide,CHEBI:233150,MAPPED
Arginin,synonym,CHEBI:29016,Arginine,CHEBI:29016,MAPPED
Arginine,preferred_term,CHEBI:29016,Arginine,CHEBI:29016,MAPPED
Arginine hydrochloride,synonym,CHEBI:31235,L-Arginine x HCl,CHEBI:31235,MAPPED
argon,preferred_term,CHEBI:49474,argon,CHEBI:49474,MAPPED
Aristolochic Acid,preferred_term,CHEBI:2825,Aristolochic Acid,CHEBI:2825,MAPPED
Aromatic compound,preferred_term,CHEBI:33655,Aromatic compound,CHEBI:33655,MAPPED
aromatic compounds,synonym,CHEBI:33655,Aromatic compound,CHEBI:33655,MAPPED
Aromatic hydrocarbon,preferred_term,CHEBI:33848,Aromatic hydrocarbon,CHEBI:33848,MAPPED
aromatic molecular entity,synonym,CHEBI:33655,Aromatic compound,CHEBI:33655,MAPPED
Arsenate,preferred_term,CHEBI:29125,Arsenate,CHEBI:29125,MAPPED
Arsenate ion,synonym,CHEBI:29125,Arsenate,CHEBI:29125,MAPPED
arsorate,synonym,CHEBI:29125,Arsenate,CHEBI:29125,MAPPED
Artepaulin,preferred_term,cas:13902-54-0,Artepaulin,cas:13902-54-0,MAPPED
Artificial Sea Salt,preferred_term,MICRO:0001647,Artificial Sea Salt,MICRO:0001647,MAPPED
Ascoltin,synonym,CHEBI:29073,L-Ascorbic acid,CHEBI:29073,MAPPED
Ascomycin,preferred_term,CHEBI:29582,Ascomycin,CHEBI:29582,MAPPED
Ascophyllum,synonym,CHEBI:53311,Sodium alginate,CHEBI:53311,MAPPED
Ascorbate,preferred_term,CHEBI:22651,Ascorbate,CHEBI:22651,MAPPED
ascorbate de sodium,synonym,CHEBI:113451,Na-ascorbate,CHEBI:113451,MAPPED
Ascorbic acid,preferred_term,CHEBI:22652,Ascorbic acid,CHEBI:22652,MAPPED
ascorbic acid sodium salt,synonym,CHEBI:113451,Na-ascorbate,CHEBI:113451,MAPPED
Ascorbicap,synonym,CHEBI:29073,L-Ascorbic acid,CHEBI:29073,MAPPED
Ascorbinsaeure,synonym,CHEBI:29073,L-Ascorbic acid,CHEBI:29073,MAPPED
Ascosin,preferred_term,kgmicrobe.compound:ascosin,Ascosin,kgmicrobe.compound:ascosin,MAPPED
Asialofetuin,preferred_term,mesh:C017029,Asialofetuin,mesh:C017029,MAPPED
Asiaticoside,preferred_term,CHEBI:79928,Asiaticoside,CHEBI:79928,MAPPED
Asolectin from soybean,preferred_term,UNMAPPED_0232,Asolectin from soybean,,UNMAPPED
Asparagin,synonym,CHEBI:22653,Asparagine,CHEBI:22653,MAPPED
asparagina,synonym,CHEBI:22653,Asparagine,CHEBI:22653,MAPPED
ASPARAGINE,synonym,CHEBI:17196,L-Asparagine,CHEBI:17196,MAPPED
Asparagine,preferred_term,CHEBI:22653,Asparagine,CHEBI:22653,MAPPED
Aspartamic acid,synonym,CHEBI:17196,L-Asparagine,CHEBI:17196,MAPPED
Aspartate,preferred_term,CHEBI:132943,Aspartate,CHEBI:132943,MAPPED
ASPARTIC ACID,synonym,CHEBI:17053,L-Aspartic acid,CHEBI:17053,MAPPED
ASPARTIC ACID,synonym,cas:1115-63-5,L-Aspartic acid potassium salt,CHEBI:17053,MAPPED
ASPARTIC ACID,synonym,cas:323194-76-9,L-Aspartic acid sodium salt monohydrate,CHEBI:17053,MAPPED
aspyrone,synonym,CHEBI:18101,4-Hydroxyphenyl acetic acid,CHEBI:18101,MAPPED
Astaxanthin,preferred_term,CHEBI:40968,Astaxanthin,CHEBI:40968,MAPPED
Astromicin,preferred_term,CHEBI:37923,Astromicin,CHEBI:37923,MAPPED
asuccin,synonym,CHEBI:15741,Succinic acid,CHEBI:15741,MAPPED
ATCC Wolfe's mineral mix,preferred_term,UNMAPPED_0298,ATCC Wolfe's mineral mix,,UNMAPPED
ATCC Wolfe's mineral mix minus iron,preferred_term,UNMAPPED_0313,ATCC Wolfe's mineral mix minus iron,,UNMAPPED
ATCC Wolfe's vitamin mix,preferred_term,UNMAPPED_0259,ATCC Wolfe's vitamin mix,,UNMAPPED
Atorvastatin calcium salt trihydrate,preferred_term,CHEBI:2911,Atorvastatin calcium salt trihydrate,CHEBI:2911,MAPPED
Atrazin,preferred_term,cas:1924-24-9,Atrazin,cas:1924-24-9,MAPPED
atrazine,synonym,CHEBI:15930,"2-chloro-4ethylamino-6-isopropylamino-1,3,5-triazine",CHEBI:15930,MAPPED
Atrop Abyssomicin C,preferred_term,mesh:C509797,Atrop Abyssomicin C,mesh:C509797,MAPPED
atrop-abyssomicin C,synonym,mesh:C509797,Atrop Abyssomicin C,mesh:C509797,MAPPED
Auraptene,preferred_term,CHEBI:134355,Auraptene,CHEBI:134355,MAPPED
Aureothricin,preferred_term,CHEBI:156452,Aureothricin,CHEBI:156452,MAPPED
Auryxia,synonym,CHEBI:144421,Fe(III) citrate,CHEBI:144421,MAPPED
Austrapen,synonym,CHEBI:34535,Na-ampicillin,CHEBI:34535,MAPPED
"autoclaved, Galactan from Potato",synonym,UNMAPPED_0238,Galactan from Potato,,UNMAPPED
"autoclaved, Glucomannan (konjac)",synonym,cas:11078-31-2,Glucomannan (konjac),CHEBI:17020,MAPPED
"autoclaved, Glycogen",synonym,CHEBI:28087,Glycogen,CHEBI:28087,MAPPED
"autoclaved, Mucin from porcine stomach type II",synonym,cas:84082-64-4,"Mucin from porcine stomach,Type II",cas:84082-64-4,MAPPED
"autoclaved, polygalacturonic acid",synonym,CHEBI:62969,polygalacturonic acid,CHEBI:62969,MAPPED
Avantafiber,preferred_term,UNMAPPED_0221,Avantafiber,,UNMAPPED
Avermectin,preferred_term,CHEBI:50344,Avermectin,CHEBI:50344,MAPPED
Avidin,preferred_term,cas:1405-69-2,Avidin,mesh:D001360,MAPPED
Avocadene,preferred_term,CHEBI:172520,Avocadene,CHEBI:172520,MAPPED
Avocadyne,preferred_term,CHEBI:168507,Avocadyne,CHEBI:168507,MAPPED
Avocatin A,preferred_term,UNMAPPED_0187,Avocatin A,,UNMAPPED
Avocatin B,preferred_term,mesh:C000709627,Avocatin B,mesh:C000709627,MAPPED
Avoparcin,preferred_term,NCIT:C169798,Avoparcin,NCIT:C169798,MAPPED
Azacolutin,preferred_term,kgmicrobe.compound:azacolutin,Azacolutin,kgmicrobe.compound:azacolutin,MAPPED
Azadirachtin,preferred_term,CHEBI:38473,Azadirachtin,CHEBI:38473,MAPPED
azanium acetate,synonym,CHEBI:62947,Ammonium acetate,CHEBI:62947,MAPPED
azanium chloride,synonym,CHEBI:31206,NH4Cl,CHEBI:31206,MAPPED
azanium;hydrogen carbonate,synonym,CHEBI:184335,NH4HCO3,CHEBI:184335,MAPPED
Azaserine,preferred_term,CHEBI:74846,Azaserine,CHEBI:74846,MAPPED
Azelaate,preferred_term,CHEBI:132955,Azelaate,CHEBI:132955,MAPPED
Azelaic acid,preferred_term,CHEBI:48131,Azelaic acid,CHEBI:48131,MAPPED
azepan-2-one,synonym,CHEBI:28579,Caprolactam,CHEBI:28579,MAPPED
Azetat,synonym,CHEBI:30089,Acetate,CHEBI:30089,MAPPED
Azithromycin,preferred_term,CHEBI:2955,Azithromycin,CHEBI:2955,MAPPED
Azlocillin sodium salt,preferred_term,CHEBI:51864,Azlocillin sodium salt,CHEBI:51864,MAPPED
Azomycin,preferred_term,CHEBI:67135,Azomycin,CHEBI:67135,MAPPED
azoperoxoite,synonym,CHEBI:25941,peroxynitrite,CHEBI:25941,MAPPED
Aztreonam,preferred_term,CHEBI:161680,Aztreonam,CHEBI:161680,MAPPED
azufre,synonym,CHEBI:26833,Sulfur,CHEBI:26833,MAPPED
azul de metileno,synonym,CHEBI:6872,Methylene blue,CHEBI:6872,MAPPED
Azureomycin,preferred_term,kgmicrobe.compound:azureomycin,Azureomycin,kgmicrobe.compound:azureomycin,MAPPED
B(OH)3,synonym,CHEBI:33118,H3BO3,CHEBI:33118,MAPPED
B-alanine,synonym,CHEBI:16958,Beta-alanine,CHEBI:16958,MAPPED
b-glucan from Barley,preferred_term,UNMAPPED_0247,b-glucan from Barley,,UNMAPPED
"b-Glucan from Beet (1,2-b-Glucan)",preferred_term,UNMAPPED_0237,"b-Glucan from Beet (1,2-b-Glucan)",,UNMAPPED
b-Glucan from Oat,preferred_term,CHEBI:28793,b-Glucan from Oat,CHEBI:28793,MAPPED
B-glucan from yeast,preferred_term,UNMAPPED_0235,B-glucan from yeast,,UNMAPPED
b-lactate,synonym,CHEBI:24996,Lactate,CHEBI:24996,MAPPED
b-Mannan borohydrate reduced carob seed,preferred_term,cas:9036-88-8,b-Mannan borohydrate reduced carob seed,cas:9036-88-8,MAPPED
Bacillomycin,preferred_term,UNMAPPED_0799,Bacillomycin,,UNMAPPED
Bacitracin,preferred_term,CHEBI:28669,Bacitracin,CHEBI:28669,MAPPED
BaCl2,preferred_term,CHEBI:63317,BaCl2,CHEBI:63317,MAPPED
BaCl2 x 2 H2O,preferred_term,CHEBI:86153,BaCl2 x 2 H2O,CHEBI:86153,MAPPED
BaCl2.2H2O,synonym,CHEBI:86153,BaCl2 x 2 H2O,CHEBI:86153,MAPPED
BaCl2·2H2O,synonym,CHEBI:86153,BaCl2 x 2 H2O,CHEBI:86153,MAPPED
BaCl2・2H2O,synonym,CHEBI:86153,BaCl2 x 2 H2O,CHEBI:86153,MAPPED
Bacteriochlorophyll A,preferred_term,CHEBI:30033,Bacteriochlorophyll A,CHEBI:30033,MAPPED
Bacteriochlorophyll Alpha,synonym,CHEBI:30033,Bacteriochlorophyll A,CHEBI:30033,MAPPED
Bacteriocin Isk 1,preferred_term,kgmicrobe.compound:bacteriocin_isk_1,Bacteriocin Isk 1,kgmicrobe.compound:bacteriocin_isk_1,MAPPED
bacteriocin ISK-1,synonym,kgmicrobe.compound:bacteriocin_isk_1,Bacteriocin Isk 1,kgmicrobe.compound:bacteriocin_isk_1,MAPPED
bacteriocin ISK-I,synonym,kgmicrobe.compound:bacteriocin_isk_1,Bacteriocin Isk 1,kgmicrobe.compound:bacteriocin_isk_1,MAPPED
Bacteriological Agar,synonym,CHEBI:2509,Agar,CHEBI:2509,MAPPED
Bacteriological peptone,synonym,MICRO:0000178,Bacto peptone,MICRO:0000178,MAPPED
Bacto beef extract,synonym,FOODON:03302088,Beef extract,FOODON:03302088,MAPPED
Bacto Beef Extract (Difco),synonym,FOODON:03302088,Beef extract,FOODON:03302088,MAPPED
Bacto Bitone,preferred_term,UNMAPPED_0330,Bacto Bitone,,UNMAPPED
Bacto brain heart infusion,preferred_term,MICRO:0000193,Bacto brain heart infusion,MICRO:0000193,MAPPED
Bacto Casitone (Difco),synonym,MICRO:0000606,Casitone,MICRO:0000606,MAPPED
Bacto Heart Infusion Broth,preferred_term,UNMAPPED_0332,Bacto Heart Infusion Broth,,UNMAPPED
Bacto m TGE broth,preferred_term,UNMAPPED_0333,Bacto m TGE broth,,UNMAPPED
Bacto Malt Extract (Difco),synonym,FOODON:03301056,Malt extract,FOODON:03301056,MAPPED
Bacto Middlebrook 7H10 agar,preferred_term,UNMAPPED_0115,Bacto Middlebrook 7H10 agar,,UNMAPPED
Bacto Panton,preferred_term,UNMAPPED_0334,Bacto Panton,,UNMAPPED
Bacto Peptone,synonym,MICRO:0000178,Bacto peptone,MICRO:0000178,MAPPED
Bacto peptone,preferred_term,MICRO:0000178,Bacto peptone,MICRO:0000178,MAPPED
Bacto peptone (BD--Difco),synonym,MICRO:0000178,Bacto peptone,MICRO:0000178,MAPPED
Bacto peptone (BD-Difco),synonym,MICRO:0000178,Bacto peptone,MICRO:0000178,MAPPED
Bacto Peptone (Difco),synonym,MICRO:0000178,Bacto peptone,MICRO:0000178,MAPPED
Bacto Proteose Peptone No. 3 (Difco),synonym,MICRO:0000180,Proteose Peptone,MICRO:0000180,MAPPED
Bacto Proteose Peptone No.3 (Difco),synonym,MICRO:0000180,Proteose Peptone,MICRO:0000180,MAPPED
Bacto Soytone,synonym,FOODON:03315720,Soy peptone,FOODON:03315720,MAPPED
Bacto Soytone,preferred_term,CHEBI:8150,Bacto Soytone,FOODON:03315720,REJECTED
Bacto Tryptic Soy Agar,preferred_term,MICRO:0000114,Bacto Tryptic Soy Agar,MICRO:0000114,MAPPED
Bacto Tryptic Soy Agar (Difco),synonym,MICRO:0000114,Bacto Tryptic Soy Agar,MICRO:0000114,MAPPED
Bacto Tryptic Soy Agar (Difco),preferred_term,MICRO:0000114,Bacto Tryptic Soy Agar (Difco),MICRO:0000114,REJECTED
Bacto Tryptic Soy Broth,preferred_term,MICRO:0000113,Bacto Tryptic Soy Broth,MICRO:0000113,MAPPED
Bacto Tryptic Soy Broth (Difco),synonym,MICRO:0000113,Bacto Tryptic Soy Broth,MICRO:0000113,MAPPED
Bacto Tryptic Soy Broth (Difco),preferred_term,MICRO:0000113,Bacto Tryptic Soy Broth (Difco),MICRO:0000113,REJECTED
Bacto Tryptone,synonym,MICRO:0000182,Bacto-tryptone,MICRO:0000182,MAPPED
Bacto Tryptone,synonym,MICRO:0000182,Tryptone,MICRO:0000182,MAPPED
Bacto tryptone,synonym,MICRO:0000182,Tryptone,MICRO:0000182,MAPPED
Bacto Tryptone (DIfco),synonym,MICRO:0000182,Tryptone,MICRO:0000182,MAPPED
Bacto Tryptone (Difco),synonym,MICRO:0000182,Tryptone,MICRO:0000182,MAPPED
Bacto Yeast  Extract (Difco),synonym,FOODON:03315426,Yeast extract,FOODON:03315426,MAPPED
Bacto yeast extract,synonym,FOODON:03315426,Yeast extract,FOODON:03315426,MAPPED
Bacto Yeast Extract (Difco),synonym,FOODON:03315426,Yeast extract,FOODON:03315426,MAPPED
Bacto-Peptone (BD),synonym,MICRO:0000178,Bacto peptone,MICRO:0000178,MAPPED
Bacto-tryptone,preferred_term,MICRO:0000182,Bacto-tryptone,MICRO:0000182,MAPPED
bacto-tryptone,synonym,MICRO:0000182,Bacto-tryptone,MICRO:0000182,MAPPED
Bacto-yeast extract,synonym,FOODON:03315426,Yeast extract,FOODON:03315426,MAPPED
Bafilomycin,preferred_term,kgmicrobe.compound:bafilomycin,Bafilomycin,kgmicrobe.compound:bafilomycin,MAPPED
Bafilomycin B1,preferred_term,CHEBI:199416,Bafilomycin B1,CHEBI:199416,MAPPED
Baicalein,preferred_term,CHEBI:2979,Baicalein,CHEBI:2979,MAPPED
Baker's yeast,preferred_term,FOODON:03413797,Baker's yeast,FOODON:03413797,MAPPED
baking soda,synonym,CHEBI:32139,NaHCO3,CHEBI:32139,MAPPED
Balhimycin,preferred_term,CHEBI:47250,Balhimycin,CHEBI:47250,MAPPED
Bandamycin,preferred_term,kgmicrobe.compound:bandamycin,Bandamycin,kgmicrobe.compound:bandamycin,MAPPED
barium chloride,synonym,CHEBI:63317,BaCl2,CHEBI:63317,MAPPED
barium chloride dihydrate,synonym,CHEBI:86153,BaCl2 x 2 H2O,CHEBI:86153,MAPPED
barium chloride--water (1/2),synonym,CHEBI:86153,BaCl2 x 2 H2O,CHEBI:86153,MAPPED
barium dichloride,synonym,CHEBI:63317,BaCl2,CHEBI:63317,MAPPED
Barium dichloride dihydrate,synonym,CHEBI:86153,BaCl2 x 2 H2O,CHEBI:86153,MAPPED
Barley grains,preferred_term,UNMAPPED_0096,Barley grains,,UNMAPPED
Barley grains autoclaved,preferred_term,UNMAPPED_0104,Barley grains autoclaved,,UNMAPPED
Barley grains(add after dH2O),synonym,UNMAPPED_0096,Barley grains,,UNMAPPED
Basal mineral NaCl medium,preferred_term,UNMAPPED_0336,Basal mineral NaCl medium,,UNMAPPED
Basic Blue 9,synonym,CHEBI:6872,Methylene blue,CHEBI:6872,MAPPED
Basic Green 4,synonym,CHEBI:72449,Malachite green,CHEBI:72449,MAPPED
Bathocuproine disulfonic acid disodium salt,preferred_term,cas:52698-84-7,Bathocuproine disulfonic acid disodium salt,CHEBI:63934,MAPPED
Bathocuproinedisulfonic acid disodium salt,synonym,cas:52698-84-7,Bathocuproine disulfonic acid disodium salt,CHEBI:63934,MAPPED
Bathophenanthrolinedisulfonic acid disodium salt hydrate,preferred_term,CHEBI:78157,Bathophenanthrolinedisulfonic acid disodium salt hydrate,CHEBI:78157,MAPPED
BC Lignin Sorghum,preferred_term,UNMAPPED_0169,BC Lignin Sorghum,,UNMAPPED
BCYE agar,preferred_term,UNMAPPED_0113,BCYE agar,,UNMAPPED
Bedaquiline,preferred_term,CHEBI:72292,Bedaquiline,CHEBI:72292,MAPPED
Beef,preferred_term,NCIT:C71932,Beef,NCIT:C71932,MAPPED
Beef brain powder,preferred_term,kgmicrobe.ingredient:beef_brain_powder,Beef brain powder,FOODON:02020911,MAPPED
Beef Extract,synonym,FOODON:03302088,Beef extract,FOODON:03302088,MAPPED
Beef extract,preferred_term,FOODON:03302088,Beef extract,FOODON:03302088,MAPPED
beef extract,synonym,FOODON:03302088,Beef extract,FOODON:03302088,MAPPED
Beef extract (BBL),synonym,FOODON:03302088,Beef extract,FOODON:03302088,MAPPED
Beef extract (BD-Difco),synonym,FOODON:03302088,Beef extract,FOODON:03302088,MAPPED
Beef extract(Sigma B-4888),synonym,FOODON:03302088,Beef extract,FOODON:03302088,MAPPED
Beef heart,preferred_term,FOODON:00004410,Beef heart,FOODON:00004410,MAPPED
Beef Heart Infusion,preferred_term,kgmicrobe.ingredient:beef_heart_infusion,Beef Heart Infusion,FOODON:00004410,MAPPED
Beflavin,synonym,CHEBI:17015,Riboflavin,CHEBI:17015,MAPPED
Beflavine,synonym,CHEBI:17015,Riboflavin,CHEBI:17015,MAPPED
Beijerinck's Solution,preferred_term,UNMAPPED_0085,Beijerinck's Solution,,UNMAPPED
Benzalkonium Chloride,preferred_term,CHEBI:3020,Benzalkonium Chloride,CHEBI:3020,MAPPED
Benzbromarone,preferred_term,CHEBI:3023,Benzbromarone,CHEBI:3023,MAPPED
Benzene,preferred_term,CHEBI:16716,Benzene,CHEBI:16716,MAPPED
"benzene-1,2,3-triol",synonym,CHEBI:16164,Pyrogallol,CHEBI:16164,MAPPED
"benzene-1,2-diol",synonym,CHEBI:18135,Pyrocatechol,CHEBI:18135,MAPPED
"Benzene-1,4-diol",synonym,CHEBI:17594,Hydroquinone,CHEBI:17594,MAPPED
Benzeneacrylic acid,synonym,CHEBI:35697,trans-Cinnamic acid,CHEBI:35697,MAPPED
benzenediamine,synonym,CHEBI:51402,Phenylenediamine,CHEBI:51402,MAPPED
Benzenol,synonym,CHEBI:15882,Phenol,CHEBI:15882,MAPPED
Benzethonium chloride,preferred_term,CHEBI:31264,Benzethonium chloride,CHEBI:31264,MAPPED
benzimidazolyl cobamide,preferred_term,UNMAPPED_0178,benzimidazolyl cobamide,,UNMAPPED
"benzo[j,k]acenaphthylene",synonym,CHEBI:33083,Fluoranthene,CHEBI:33083,MAPPED
benzo[jk]fluorene,synonym,CHEBI:33083,Fluoranthene,CHEBI:33083,MAPPED
Benzoate,preferred_term,CHEBI:16150,Benzoate,CHEBI:16150,MAPPED
benzoic acid,preferred_term,CHEBI:30746,benzoic acid,CHEBI:30746,MAPPED
"Benzoic acid, sodium salt",synonym,CHEBI:113455,Na-benzoate,CHEBI:113455,MAPPED
Benzoin,preferred_term,CHEBI:17682,Benzoin,CHEBI:17682,MAPPED
Benzyl Alcohol,preferred_term,CHEBI:17987,Benzyl Alcohol,CHEBI:17987,MAPPED
Benzyl cyanide,synonym,CHEBI:25979,Benzylcyanide,CHEBI:25979,MAPPED
Benzyl isothiocyanate,preferred_term,CHEBI:17484,Benzyl isothiocyanate,CHEBI:17484,MAPPED
Benzylcyanide,preferred_term,CHEBI:25979,Benzylcyanide,CHEBI:25979,MAPPED
Benzylhydrazine Hydrochloride,preferred_term,cas:3287-99-8,Benzylhydrazine Hydrochloride,cas:3287-99-8,MAPPED
Berberine,preferred_term,CHEBI:16118,Berberine,CHEBI:16118,MAPPED
Bergapten,preferred_term,CHEBI:18293,Bergapten,CHEBI:18293,MAPPED
Bergenin,preferred_term,CHEBI:69499,Bergenin,CHEBI:69499,MAPPED
Bernsteinsaeure,synonym,CHEBI:15741,Succinic acid,CHEBI:15741,MAPPED
beryllium sulfate tetrahydrate,preferred_term,CHEBI:53502,beryllium sulfate tetrahydrate,CHEBI:53502,MAPPED
beryllium sulfate--water (1/4),synonym,CHEBI:53502,beryllium sulfate tetrahydrate,CHEBI:53502,MAPPED
Bet,synonym,CHEBI:17750,Betaine x H2O,CHEBI:17750,MAPPED
beta lactose,synonym,CHEBI:17716,Lactose,CHEBI:17716,MAPPED
Beta Lipomycin,synonym,mesh:C000601869,beta-Lipomycin,mesh:C000601869,MAPPED
"beta,beta'-diamino-beta,beta'-dicarboxydiethyl disulfide",synonym,CHEBI:16283,L-Cystine,CHEBI:16283,MAPPED
"beta,beta'-dithiodialanine",synonym,CHEBI:16283,L-Cystine,CHEBI:16283,MAPPED
"beta-1,4-Poly-D-glucosamine",synonym,CHEBI:16261,Chitosan,CHEBI:16261,MAPPED
beta-3-indolylalanine,synonym,CHEBI:27897,Tryptophan,CHEBI:27897,MAPPED
Beta-alanine,preferred_term,CHEBI:16958,Beta-alanine,CHEBI:16958,MAPPED
beta-aminoethylsulfonic acid,synonym,CHEBI:15891,Taurine,CHEBI:15891,MAPPED
Beta-Amyrin,preferred_term,CHEBI:10352,Beta-Amyrin,CHEBI:10352,MAPPED
beta-CD,synonym,CHEBI:495055,Cyclomaltoheptaose,CHEBI:495055,MAPPED
beta-cycloamylose,synonym,CHEBI:495055,Cyclomaltoheptaose,CHEBI:495055,MAPPED
beta-cyclodextrin,synonym,CHEBI:495055,Cyclomaltoheptaose,CHEBI:495055,MAPPED
beta-D-adenosine,synonym,CHEBI:16335,Adenosine,CHEBI:16335,MAPPED
beta-D-arabino-Hexulose,synonym,CHEBI:28757,Fructose,CHEBI:28757,MAPPED
beta-D-fructofuranosyl alpha-D-galactopyranosyl-(1->6)-alpha-D-galactopyranosyl-(1->6)-alpha-D-galactopyranosyl-(1->6)-alpha-D-glucopyranoside,synonym,CHEBI:28586,Verbascose,CHEBI:28586,MAPPED
beta-D-fructofuranosyl alpha-D-galactopyranosyl-(1->6)-alpha-D-galactopyranosyl-(1->6)-alpha-D-glucopyranoside,synonym,CHEBI:17164,Stachyose - 70%,CHEBI:17164,MAPPED
beta-D-fructofuranosyl alpha-D-galactopyranosyl-(1->6)-alpha-D-glucopyranoside,synonym,CHEBI:16634,Raffinose,CHEBI:16634,MAPPED
beta-D-fructofuranosyl alpha-D-glucopyranoside,synonym,CHEBI:17992,Sucrose,CHEBI:17992,MAPPED
beta-D-fructofuranosyl alpha-D-glucopyranoside,synonym,CHEBI:17992,D-Sucrose,CHEBI:17992,REJECTED
beta-D-fructofuranosyl-(2->1)-beta-D-fructofuranosyl alpha-D-glucopyranoside,synonym,CHEBI:16885,1-Kestose,CHEBI:16885,MAPPED
beta-D-Fructose,synonym,CHEBI:28757,Fructose,CHEBI:28757,MAPPED
beta-D-Fruf-(2<->1)-alpha-D-Glcp,synonym,CHEBI:17992,Sucrose,CHEBI:17992,MAPPED
Beta-D-fucose,preferred_term,CHEBI:27442,Beta-D-fucose,CHEBI:27442,MAPPED
beta-D-Gal-(1->4)-D-Glc,synonym,CHEBI:17716,Lactose,CHEBI:17716,MAPPED
Beta-D-galacto-pyranosyl-D-arabinose,preferred_term,UNMAPPED_0800,Beta-D-galacto-pyranosyl-D-arabinose,,UNMAPPED
beta-D-galactopyranosyl-(1->3)-2-acetamido-2-deoxy-beta-D-glucopyranosyl-(1->3)-beta-D-galactopyranosyl-(1->4)-D-glucopyranose,synonym,cas:14116-68-8,Lacto-N-tetraose,CHEBI:30248,MAPPED
beta-D-galactopyranosyl-(1->4)-2-acetamido-2-deoxy-beta-D-glucopyranosyl-(1->3)-beta-D-galactopyranosyl-(1->4)-D-glucopyranose,synonym,CHEBI:60239,Lacto-N-neotetraose,CHEBI:60239,MAPPED
beta-D-galactopyranosyl-(1->4)-alpha-D-glucopyranose,synonym,CHEBI:36219,alpha-Lactose,CHEBI:36219,MAPPED
beta-D-galactopyranosyl-(1->4)-beta-D-glucopyranose,synonym,CHEBI:36218,Beta-Lactose,CHEBI:36218,MAPPED
beta-D-galactopyranosyl-(1->4)-D-glucopyranose,synonym,CHEBI:17716,Lactose,CHEBI:17716,MAPPED
Beta-D-galactoside,preferred_term,CHEBI:28034,Beta-D-galactoside,CHEBI:28034,MAPPED
beta-D-Galp-(1->4)-beta-D-Glcp,synonym,CHEBI:17716,Lactose,CHEBI:17716,MAPPED
beta-D-Galp-(1->4)-D-Glcp,synonym,CHEBI:17716,Lactose,CHEBI:17716,MAPPED
beta-D-glucopyranosyl-(1->3)-D-glucopyranose,synonym,CHEBI:18411,Laminaribiose,CHEBI:18411,MAPPED
beta-D-glucopyranosyl-(1->4)-beta-D-glucoopyranosyl-(1->4)-beta-D-glucoopyranosyl-(1->4)-D-glucoopyranose,synonym,CHEBI:62974,Cellotetraose,CHEBI:62974,MAPPED
beta-D-glucopyranosyl-(1->4)-beta-D-glucopyranosyl-(1->4)-beta-D-glucopyranosyl-(1->4)-beta-D-glucopyranosyl-(1->4)-beta-D-glucopyranosyl-(1->4)-beta-D-glucopyranose,synonym,CHEBI:49533,Cellohexaose,CHEBI:49533,MAPPED
beta-D-glucopyranosyl-(1->4)-beta-D-glucopyranosyl-(1->4)-beta-D-glucopyranosyl-(1->4)-beta-D-glucopyranosyl-(1->4)-D-glucopyranose,synonym,CHEBI:62976,Cellopentaose,CHEBI:62976,MAPPED
beta-D-glucopyranosyl-(1->4)-beta-D-glucopyranosyl-(1->4)-D-glucopyranose,synonym,CHEBI:3528,Cellotriose,CHEBI:3528,MAPPED
beta-D-glucopyranosyl-(1->4)-beta-D-glucopyranosyl-(1->4)-D-glucose,synonym,CHEBI:3528,Cellotriose,CHEBI:3528,MAPPED
beta-D-glucopyranosyl-(1->4)-D-glucopyranose,synonym,CHEBI:17057,Cellobiose,CHEBI:17057,MAPPED
beta-D-glucopyranosyl-(1->6)-D-glucopyranose,synonym,CHEBI:28066,Gentibiose,CHEBI:28066,MAPPED
beta-D-glucopyranuronamide,synonym,cas:3789-97-7,Glucuronamide,CHEBI:32323,MAPPED
Beta-d-glucose,preferred_term,CHEBI:15903,Beta-d-glucose,CHEBI:15903,MAPPED
Beta-D-glucuronic Acid,preferred_term,CHEBI:28860,Beta-D-glucuronic Acid,CHEBI:28860,MAPPED
beta-D-mannopyranosyl-(1->4)-D-mannopyranose,synonym,CHEBI:25164,Mannobiose,CHEBI:25164,MAPPED
beta-D-mannopyranosyl-(1->4)-D-mannose,synonym,CHEBI:25164,Mannobiose,CHEBI:25164,MAPPED
