identifier,preferred_term,mapping_status,ontology_id,ontology_source,mapping_quality,occurrences,parent_ingredient,variant_type
CHEBI:16540,2-Hydroxypyridine,MAPPED,CHEBI:16540,CHEBI,EXACT_MATCH,0,,
cas:1040352-40-6,2-Keto-D-gluconic acid hemicalcium salt hydrate,MAPPED,cas:1040352-40-6,CAS,FALLBACK_REGISTRY,0,,
cas:3470-37-9,2-Keto-D-gluconic acid hemicalcium salt monohydrate,MAPPED,cas:3470-37-9,CAS,FALLBACK_REGISTRY,0,,
CHEBI:201738,2-Mercaptopyridine N-oxide sodium salt,MAPPED,CHEBI:201738,CHEBI,EXACT_MATCH,0,,
CHEBI:77761,2-Piperidinone,MAPPED,CHEBI:77761,CHEBI,EXACT_MATCH,0,,
mesh:C028805,2-Sulfobenzoic acid,MAPPED,mesh:C028805,MESH,EXACT_MATCH,0,,
CHEBI:31306,"2-bromo-2-nitro-1,3-propanediol",MAPPED,CHEBI:31306,CHEBI,EXACT_MATCH,0,,
CHEBI:15930,"2-chloro-4ethylamino-6-isopropylamino-1,3,5-triazine",MAPPED,CHEBI:15930,CHEBI,EXACT_MATCH,0,,
CHEBI:147155,2'-fucosyllactose,MAPPED,CHEBI:147155,CHEBI,EXACT_MATCH,0,,
CHEBI:30845,2-Furoic acid,MAPPED,CHEBI:30845,CHEBI,EXACT_MATCH,1,,
CHEBI:17905,2-Mercaptoethanesulfonate,MAPPED,CHEBI:17905,CHEBI,EXACT_MATCH,52,,
CHEBI:41218,2-Mercaptoethanol,MAPPED,CHEBI:41218,CHEBI,EXACT_MATCH,2,,
CHEBI:48945,2-methyl-1-butanol,MAPPED,CHEBI:48945,CHEBI,EXACT_MATCH,0,,
CHEBI:53620,2-methyl-4-isothizaolin-3-one,MAPPED,CHEBI:53620,CHEBI,EXACT_MATCH,0,,
CHEBI:28362,2-n-Heptyl-4-hydroxyquinoline N-oxide,MAPPED,CHEBI:28362,CHEBI,EXACT_MATCH,0,,
cas:2013-26-5,2-oxobutyric acid sodium salt,MAPPED,CHEBI:26714,CHEBI,NARROW_MATCH,0,,
CHEBI:89197,2-pentyl-furan,MAPPED,CHEBI:89197,CHEBI,EXACT_MATCH,0,,
CHEBI:77930,2-undecanol,MAPPED,CHEBI:77930,CHEBI,EXACT_MATCH,0,,
CHEBI:30351,"2,2'-Dipyridyl",MAPPED,CHEBI:30351,CHEBI,EXACT_MATCH,0,,
cas:10222-01-2,"2,2-dibromo-2-cyanoacetamide",MAPPED,cas:10222-01-2,CAS,FALLBACK_REGISTRY,0,,
CHEBI:131383,"2,2,4,4,6,8,8-Heptamethylnonane",MAPPED,CHEBI:131383,CHEBI,EXACT_MATCH,10,,
CHEBI:62064,"2,3-butanediol",MAPPED,CHEBI:62064,CHEBI,EXACT_MATCH,3,,
CHEBI:78019,"2,3,5-Triphenyltetrazolium chloride",MAPPED,CHEBI:78019,CHEBI,EXACT_MATCH,10,,
CHEBI:18026,"2,3-dihydroxybenzoic acid",MAPPED,CHEBI:18026,CHEBI,CAS_RN_LOOKUP,2,,
CHEBI:42017,"2,4-Dinitrophenol",MAPPED,CHEBI:42017,CHEBI,EXACT_MATCH,0,,
cas:6342-92-3,"2',5'-Dihydroxy-4-Methoxychalcone",MAPPED,cas:6342-92-3,CAS,FALLBACK_REGISTRY,0,,
CHEBI:28997,2'-Deoxyinosine,MAPPED,CHEBI:28997,CHEBI,CAS_RN_LOOKUP,4,,
CHEBI:16450,2'-Deoxyuridine,MAPPED,CHEBI:16450,CHEBI,CAS_RN_LOOKUP,4,,
CHEBI:91084,3-Aminopropionitrile Fumarate,MAPPED,CHEBI:91084,CHEBI,EXACT_MATCH,0,,
CHEBI:53678,3-Chloro-L-tyrosine,MAPPED,CHEBI:53678,CHEBI,EXACT_MATCH,0,,
CHEBI:132983,3-Hydroxydecanoic acid,MAPPED,CHEBI:132983,CHEBI,EXACT_MATCH,0,,
CHEBI:37035,3-Hydroxyhexanoic acid,MAPPED,CHEBI:37035,CHEBI,EXACT_MATCH,0,,
CHEBI:16510,3-Hydroxypropionate,MAPPED,CHEBI:16510,CHEBI,EXACT_MATCH,0,,
CHEBI:16530,3-Methyl-2-Oxobutanoic Acid,MAPPED,CHEBI:16530,CHEBI,EXACT_MATCH,0,,
CHEBI:189431,3-Methyl-2-oxobutanoic acid sodium salt,MAPPED,CHEBI:189431,CHEBI,EXACT_MATCH,0,,
CHEBI:18404,3-Methylcatechol,MAPPED,CHEBI:18404,CHEBI,EXACT_MATCH,0,,
CHEBI:68566,3-Methylglutaric acid,MAPPED,CHEBI:68566,CHEBI,EXACT_MATCH,0,,
cas:13224-94-7,3-O-Methyl-D-glucopyranose,MAPPED,cas:13224-94-7,CAS,FALLBACK_REGISTRY,0,,
CHEBI:73918,3-O-methyl-glucose,MAPPED,CHEBI:73918,CHEBI,EXACT_MATCH,0,,
CHEBI:28647,3-O-methylgallate,MAPPED,CHEBI:28647,CHEBI,EXACT_MATCH,0,,
cas:636-73-7,3-Pyridinesulfonic acid,MAPPED,cas:636-73-7,CAS,FALLBACK_REGISTRY,0,,
CHEBI:166501,3-acetylpyridine,MAPPED,CHEBI:166501,CHEBI,EXACT_MATCH,0,,
CHEBI:30761,3-aminobenzoate,MAPPED,CHEBI:30761,CHEBI,EXACT_MATCH,0,,
CHEBI:37081,3-aminobutyric acid,MAPPED,CHEBI:37081,CHEBI,EXACT_MATCH,0,,
cas:41312-47-4,3'-fucosyllactose,MAPPED,CHEBI:90065,CHEBI,NARROW_MATCH,0,,
CHEBI:30764,3-Hydroxybenzoic acid,MAPPED,CHEBI:30764,CHEBI,EXACT_MATCH,4,,
CHEBI:20067,3-hydroxybutyric acid,MAPPED,CHEBI:20067,CHEBI,EXACT_MATCH,0,,
CHEBI:16411,3-Indolyl acetic acid,MAPPED,CHEBI:16411,CHEBI,EXACT_MATCH,3,,
CHEBI:15837,3-methyl-1-butanol,MAPPED,CHEBI:15837,CHEBI,EXACT_MATCH,0,,
CHEBI:16019,3-methyl-2-butenol,MAPPED,CHEBI:16019,CHEBI,EXACT_MATCH,0,,
CHEBI:35932,3-methyl-2-oxopentanoic acid,MAPPED,CHEBI:35932,CHEBI,EXACT_MATCH,0,,
CHEBI:62898,3-methyl-3-butenol,MAPPED,CHEBI:62898,CHEBI,EXACT_MATCH,0,,
CHEBI:80946,3-octanone,MAPPED,CHEBI:80946,CHEBI,EXACT_MATCH,0,,
cas:128596-80-5,3'-sialyllactose sodium salt,MAPPED,CHEBI:26714,CHEBI,NARROW_MATCH,0,,
cas:14919-49-4,"3,4'-Dihydroxyflavone",MAPPED,mesh:C559991,MESH,NARROW_MATCH,0,,
CHEBI:232299,"3,4'-Dimethoxyflavone",MAPPED,CHEBI:232299,CHEBI,EXACT_MATCH,0,,
CHEBI:53648,"3,5-Dinitrosalicylic acid",MAPPED,CHEBI:53648,CHEBI,EXACT_MATCH,0,,
cas:71592-46-6,"3',6-Dihydroxyflavone",MAPPED,CHEBI:107657,CHEBI,NARROW_MATCH,0,,
CHEBI:44115,3-(N-morpholino)propanesulfonic acid,MAPPED,CHEBI:44115,CHEBI,CAS_RN_LOOKUP,52,,
CHEBI:86582,4-Acetoxy-3-methoxycinnamic acid,MAPPED,CHEBI:86582,CHEBI,EXACT_MATCH,0,,
CHEBI:28235,4-Anisaldehyde,MAPPED,CHEBI:28235,CHEBI,EXACT_MATCH,0,,
CHEBI:65083,4-Deoxypyridoxine,MAPPED,CHEBI:65083,CHEBI,EXACT_MATCH,0,,
CHEBI:28032,4-Hydroxyacetophenone,MAPPED,CHEBI:28032,CHEBI,EXACT_MATCH,0,,
CHEBI:17597,4-Hydroxybenzaldehyde,MAPPED,CHEBI:17597,CHEBI,EXACT_MATCH,0,,
cas:184901-84-6,4-Hydroxymandelic acid monohydrate,MAPPED,CHEBI:16388,CHEBI,NARROW_MATCH,0,,
CHEBI:165411,4-Hydroxynonanoic acid,MAPPED,CHEBI:165411,CHEBI,EXACT_MATCH,0,,
CHEBI:142593,4-Hydroxynonenal,MAPPED,CHEBI:142593,CHEBI,EXACT_MATCH,0,,
CHEBI:32980,4-Hydroxyphenylpropionic acid,MAPPED,CHEBI:32980,CHEBI,EXACT_MATCH,0,,
cas:4143-74-2,4'-Methoxyflavone,MAPPED,CHEBI:114194,CHEBI,NARROW_MATCH,0,,
cas:4502-00-5,4-Methyl-2-oxopentanoic acid sodium salt,MAPPED,CHEBI:48430,CHEBI,NARROW_MATCH,0,,
CHEBI:48430,4-Methyl-2-oxovaleric acid,MAPPED,CHEBI:48430,CHEBI,EXACT_MATCH,0,,
CHEBI:40035,4-Methylimidazole,MAPPED,CHEBI:40035,CHEBI,EXACT_MATCH,0,,
CHEBI:17405,4-Pyridoxic acid,MAPPED,CHEBI:17405,CHEBI,EXACT_MATCH,0,,
CHEBI:31128,4-acetoxyphenol,MAPPED,CHEBI:31128,CHEBI,EXACT_MATCH,0,,
CHEBI:17836,4-Aminobenzoate,MAPPED,CHEBI:17836,CHEBI,EXACT_MATCH,132,,
CHEBI:228211,4-azido-L-phenylalanine,MAPPED,CHEBI:228211,CHEBI,EXACT_MATCH,0,,
CHEBI:44718,4-benzoyl-L-phenylalanine,MAPPED,CHEBI:44718,CHEBI,EXACT_MATCH,0,,
CHEBI:30763,4-Hydroxybenzoic acid,MAPPED,CHEBI:30763,CHEBI,EXACT_MATCH,2,,
CHEBI:30830,4-hydroxybutyric acid,MAPPED,CHEBI:30830,CHEBI,EXACT_MATCH,0,,
CHEBI:34423,4-hydroxychalcone,MAPPED,CHEBI:34423,CHEBI,EXACT_MATCH,0,,
CHEBI:18101,4-Hydroxyphenyl acetic acid,MAPPED,CHEBI:18101,CHEBI,EXACT_MATCH,3,,
CHEBI:355715,4-nitrophenyl beta-D-galactopyranoside,MAPPED,CHEBI:355715,CHEBI,EXACT_MATCH,0,,
CHEBI:1883,4-vinylphenol,MAPPED,CHEBI:1883,CHEBI,EXACT_MATCH,0,,
CHEBI:15728,4-Guanidinobutyric acid,MAPPED,CHEBI:15728,CHEBI,CAS_RN_LOOKUP,4,,
cas:21010-06-0,5-(2-thienyl)-pentanoic acid,MAPPED,cas:21010-06-0,CAS,FALLBACK_REGISTRY,0,,
CHEBI:17549,5-Aminolevulinic acid,MAPPED,CHEBI:17549,CHEBI,EXACT_MATCH,0,,
CHEBI:2038,5-Azacytidine,MAPPED,CHEBI:2038,CHEBI,EXACT_MATCH,0,,
CHEBI:17509,5'-Deoxy-5'-(methylthio)adenosine,MAPPED,CHEBI:17509,CHEBI,EXACT_MATCH,0,,
CHEBI:80627,5'-Deoxy-5-fluorocytidine,MAPPED,CHEBI:80627,CHEBI,EXACT_MATCH,0,,
CHEBI:80624,"5-Fluorodihydropyrimidine-2,4-dione",MAPPED,CHEBI:80624,CHEBI,EXACT_MATCH,0,,
cas:207291-81-4,5-Fluoroorotic acid hydrate,MAPPED,CHEBI:74498,CHEBI,NARROW_MATCH,0,,
CHEBI:195418,5-Hydroxydodecanoate,MAPPED,CHEBI:195418,CHEBI,EXACT_MATCH,0,,
CHEBI:412516,5-Hydroxymethylfurfural,MAPPED,CHEBI:412516,CHEBI,EXACT_MATCH,0,,
CHEBI:180039,5-Hydroxyoctanoate,MAPPED,CHEBI:180039,CHEBI,EXACT_MATCH,0,,
cas:91446-96-7,5-Keto-D-Gluconic Acid potassium salt,MAPPED,CHEBI:26218,CHEBI,NARROW_MATCH,0,,
CHEBI:15887,5-Aminovaleric acid,MAPPED,CHEBI:15887,CHEBI,EXACT_MATCH,3,,
CHEBI:46345,5-fluorouracil,MAPPED,CHEBI:46345,CHEBI,EXACT_MATCH,0,,
mesh:C014480,"5,6-dihydro-5-azathymidine",MAPPED,mesh:C014480,MESH,EXACT_MATCH,0,,
cas:1162-82-9,"5,7,4'-Trimethoxyisoflavone",MAPPED,cas:1162-82-9,CAS,FALLBACK_REGISTRY,0,,
CHEBI:45996,5-methyluridine,MAPPED,CHEBI:45996,CHEBI,CAS_RN_LOOKUP,10,,
