placeholder_curie	category	label	source_columns	occurrences
kgmicrobe.trait:acetoin	biolink:PhenotypicQuality	acetoin	BacDive_Metabolite_production|BacDive_Metabolite_utilization	1908
kgmicrobe.trait:obligate_aerobe	biolink:PhenotypicQuality	obligate aerobe	BacDive_Oxygen_tolerance	1876
kgmicrobe.trait:gelatinase	biolink:PhenotypicQuality	gelatinase	BacDive_Enzyme_activity	1821
kgmicrobe.trait:facultative_anaerobe	biolink:PhenotypicQuality	facultative anaerobe	BacDive_Oxygen_tolerance	1808
kgmicrobe.trait:plants	biolink:PhenotypicQuality	#Plants	BacDive_Isolation_category_2	1785
kgmicrobe.trait:alpha_galactosidase	biolink:PhenotypicQuality	alpha-galactosidase	BacDive_Enzyme_activity	1724
kgmicrobe.trait:gelatin	biolink:PhenotypicQuality	gelatin	BacDive_Metabolite_production|BacDive_Metabolite_utilization	1699
kgmicrobe.trait:condition	biolink:PhenotypicQuality	#Condition	BacDive_Isolation_category_1	1668
kgmicrobe.trait:d_mannitol	biolink:PhenotypicQuality	D-mannitol	BacDive_Metabolite_production|BacDive_Metabolite_utilization	1659
kgmicrobe.trait:citrate	biolink:PhenotypicQuality	citrate	BacDive_Metabolite_production|BacDive_Metabolite_utilization	1654
kgmicrobe.trait:marine	biolink:PhenotypicQuality	#Marine	BacDive_Isolation_category_3	1554
kgmicrobe.trait:25	biolink:PhenotypicQuality	25	BacDive_Cell_length|BacDive_Salt_concentration|BacDive_Temperature_for_growth	1547
kgmicrobe.trait:d_galactose	biolink:PhenotypicQuality	D-galactose	BacDive_Metabolite_utilization	1489
kgmicrobe.trait:10	biolink:PhenotypicQuality	10	BacDive_Cell_length|BacDive_Colony_size|BacDive_Salt_concentration|BacDive_Temperature_for_growth|BacDive_pH_for_growth	1465
kgmicrobe.pathway:nitrate_reduction	biolink:BiologicalProcess	nitrate_reduction	faprotax:type_of_metabolism	1450
kgmicrobe.trait:cystine_arylamidase	biolink:PhenotypicQuality	cystine arylamidase	BacDive_Enzyme_activity	1420
kgmicrobe.trait:urease	biolink:PhenotypicQuality	urease	BacDive_Enzyme_activity	1356
kgmicrobe.trait:galactose	biolink:PhenotypicQuality	galactose	BacDive_Metabolite_utilization	1352
kgmicrobe.trait:acetate	biolink:PhenotypicQuality	acetate	BacDive_Metabolite_production|BacDive_Metabolite_utilization	1342
