placeholder_curie	category	label	source_columns	occurrences
kgmicrobe.trait:azelaate	biolink:PhenotypicQuality	azelaate	BacDive_Metabolite_utilization	13
kgmicrobe.trait:brain	biolink:PhenotypicQuality	#Brain	BacDive_Isolation_category_3	13
kgmicrobe.trait:chlortetracyclin	biolink:PhenotypicQuality	chlortetracyclin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	13
kgmicrobe.trait:d_glucosamine	biolink:PhenotypicQuality	D-glucosamine	BacDive_Metabolite_utilization	13
kgmicrobe.trait:ferric_citrate	biolink:PhenotypicQuality	ferric citrate	BacDive_Metabolite_production|BacDive_Metabolite_utilization	13
kgmicrobe.trait:glycine_proline	biolink:PhenotypicQuality	glycine-proline	BacDive_Metabolite_utilization	13
kgmicrobe.trait:helical_shaped	biolink:PhenotypicQuality	helical-shaped	BacDive_Cell_shape	13
kgmicrobe.trait:joint	biolink:PhenotypicQuality	#Joint	BacDive_Isolation_category_3	13
kgmicrobe.trait:levofloxacin	biolink:PhenotypicQuality	levofloxacin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	13
kgmicrobe.trait:methyl_beta_d_xylopyranoside	biolink:PhenotypicQuality	methyl beta-D-xylopyranoside	BacDive_Metabolite_utilization	13
kgmicrobe.trait:oxaloacetate	biolink:PhenotypicQuality	oxaloacetate	BacDive_Metabolite_utilization	13
kgmicrobe.trait:periodontal_pocket	biolink:PhenotypicQuality	#Periodontal pocket	BacDive_Isolation_category_3	13
kgmicrobe.trait:phosphoamidase	biolink:PhenotypicQuality	phosphoamidase	BacDive_Enzyme_activity	13
kgmicrobe.trait:pyroglutamic_acid_arylamidase	biolink:PhenotypicQuality	pyroglutamic acid arylamidase	BacDive_Enzyme_activity	13
kgmicrobe.trait:saliva	biolink:PhenotypicQuality	#Saliva	BacDive_Isolation_category_3	13
kgmicrobe.trait:subpolar	biolink:PhenotypicQuality	subpolar	BacDive_Flagellum_arrangement	13
kgmicrobe.trait:sulfamethoxydiazine	biolink:PhenotypicQuality	sulfamethoxydiazine	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	13
kgmicrobe.trait:temperate	biolink:PhenotypicQuality	#Temperate	BacDive_Isolation_category_2	13
kgmicrobe.compound:dimethylsulfide	biolink:ChemicalEntity	dimethylsulfide	bergey:substrates	12
kgmicrobe.trait:04_06	biolink:PhenotypicQuality	04-06	BacDive_Cell_length|BacDive_Salt_concentration|BacDive_pH_for_growth	12
kgmicrobe.trait:05_45	biolink:PhenotypicQuality	05-45	BacDive_Temperature_for_growth	12
kgmicrobe.trait:0_0_2	biolink:PhenotypicQuality	0-0.2	BacDive_Salt_concentration	12
kgmicrobe.trait:0_4_1	biolink:PhenotypicQuality	0.4-1	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size	12
kgmicrobe.trait:0_5_12	biolink:PhenotypicQuality	0.5-12	BacDive_Salt_concentration	12
kgmicrobe.trait:0_5_7_0	biolink:PhenotypicQuality	0.5-7.0	BacDive_Salt_concentration	12
kgmicrobe.trait:15_0_45_0	biolink:PhenotypicQuality	15.0-45.0	BacDive_Temperature_for_growth	12
kgmicrobe.trait:15_36	biolink:PhenotypicQuality	15-36	BacDive_Temperature_for_growth	12
kgmicrobe.trait:1_3_1_6	biolink:PhenotypicQuality	1.3-1.6	BacDive_Cell_length|BacDive_Cell_width	12
kgmicrobe.trait:21_days	biolink:PhenotypicQuality	21 days	BacDive_Incubation_period	12
kgmicrobe.trait:23	biolink:PhenotypicQuality	23	BacDive_Salt_concentration|BacDive_Temperature_for_growth	12
kgmicrobe.trait:28_45	biolink:PhenotypicQuality	28-45	BacDive_Temperature_for_growth	12
kgmicrobe.trait:2_5_4	biolink:PhenotypicQuality	2.5-4	BacDive_Cell_length|BacDive_Colony_size	12
kgmicrobe.trait:4_11	biolink:PhenotypicQuality	4-11	BacDive_Cell_length|BacDive_pH_for_growth	12
kgmicrobe.trait:4_5_8	biolink:PhenotypicQuality	4.5-8	BacDive_pH_for_growth	12
kgmicrobe.trait:4_5_9_5	biolink:PhenotypicQuality	4.5-9.5	BacDive_pH_for_growth	12
kgmicrobe.trait:6_0	biolink:PhenotypicQuality	<6.0	BacDive_Salt_concentration|BacDive_pH_for_growth	12
kgmicrobe.trait:6_0_10_5	biolink:PhenotypicQuality	6.0-10.5	BacDive_pH_for_growth	12
kgmicrobe.trait:8_5	biolink:PhenotypicQuality	8.5	BacDive_Cell_length|BacDive_Salt_concentration|BacDive_pH_for_growth	12
kgmicrobe.trait:9_0	biolink:PhenotypicQuality	9.0	BacDive_Salt_concentration|BacDive_pH_for_growth	12
kgmicrobe.trait:beta_galactopyranosidase	biolink:PhenotypicQuality	beta-galactopyranosidase	BacDive_Enzyme_activity	12
kgmicrobe.trait:egg	biolink:PhenotypicQuality	#Egg	BacDive_Isolation_category_3	12
kgmicrobe.trait:ferric_iron	biolink:PhenotypicQuality	ferric iron	BacDive_Metabolite_utilization	12
kgmicrobe.trait:indoor	biolink:PhenotypicQuality	#Indoor	BacDive_Isolation_category_3	12
kgmicrobe.trait:isobutyrate	biolink:PhenotypicQuality	isobutyrate	BacDive_Metabolite_production|BacDive_Metabolite_utilization	12
kgmicrobe.trait:l_cystine	biolink:PhenotypicQuality	L-cystine	BacDive_Metabolite_utilization	12
kgmicrobe.trait:machines_and_devices	biolink:PhenotypicQuality	#Machines and devices	BacDive_Isolation_category_3	12
kgmicrobe.trait:magnesium_2	biolink:PhenotypicQuality	magnesium(2+)	BacDive_Metabolite_utilization	12
kgmicrobe.trait:methane	biolink:PhenotypicQuality	methane	BacDive_Metabolite_production|BacDive_Metabolite_utilization	12
kgmicrobe.trait:monopolar	biolink:PhenotypicQuality	monopolar	BacDive_Flagellum_arrangement	12
kgmicrobe.trait:neomycin_sulfate	biolink:PhenotypicQuality	neomycin sulfate	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	12
kgmicrobe.trait:phenylalanine_deaminase	biolink:PhenotypicQuality	phenylalanine deaminase	BacDive_Enzyme_activity	12
kgmicrobe.trait:skimmed_milk	biolink:PhenotypicQuality	skimmed milk	BacDive_Metabolite_utilization	12
kgmicrobe.trait:trachea	biolink:PhenotypicQuality	#Trachea	BacDive_Isolation_category_3	12
kgmicrobe.trait:valine_aminopeptidase	biolink:PhenotypicQuality	valine aminopeptidase	BacDive_Enzyme_activity	12
kgmicrobe.compound:trypticase_glucose_yeast_extract	biolink:ChemicalEntity	trypticase-glucose-yeast extract	bergey:substrates	11
kgmicrobe.pathway:human_pathogens_nosocomia	biolink:BiologicalProcess	human_pathogens_nosocomia	faprotax:type_of_metabolism	11
kgmicrobe.pathway:nitrification	biolink:BiologicalProcess	nitrification	faprotax:type_of_metabolism	11
kgmicrobe.trait:03_06	biolink:PhenotypicQuality	03-06	BacDive_Cell_length|BacDive_Salt_concentration|BacDive_pH_for_growth	11
kgmicrobe.trait:04_33	biolink:PhenotypicQuality	04-33	BacDive_Temperature_for_growth	11
kgmicrobe.trait:04_41	biolink:PhenotypicQuality	04-41	BacDive_Temperature_for_growth	11
kgmicrobe.trait:0_4_1_0	biolink:PhenotypicQuality	0.4-1.0	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size	11
kgmicrobe.trait:0_5_0	biolink:PhenotypicQuality	0-5.0	BacDive_Salt_concentration	11
kgmicrobe.trait:10_43	biolink:PhenotypicQuality	10-43	BacDive_Temperature_for_growth	11
kgmicrobe.trait:10_44	biolink:PhenotypicQuality	10-44	BacDive_Temperature_for_growth	11
kgmicrobe.trait:15_55	biolink:PhenotypicQuality	15-55	BacDive_Temperature_for_growth	11
kgmicrobe.trait:16_40	biolink:PhenotypicQuality	16-40	BacDive_Temperature_for_growth	11
kgmicrobe.trait:1_2_3_0	biolink:PhenotypicQuality	1.2-3.0	BacDive_Cell_length|BacDive_Cell_width	11
kgmicrobe.trait:1_4_1_8	biolink:PhenotypicQuality	1.4-1.8	BacDive_Cell_length|BacDive_Cell_width	11
kgmicrobe.trait:1_5_4	biolink:PhenotypicQuality	1.5-4	BacDive_Cell_length|BacDive_Salt_concentration	11
kgmicrobe.trait:1_6_2_2	biolink:PhenotypicQuality	1.6-2.2	BacDive_Cell_length	11
kgmicrobe.trait:2_5_3_0	biolink:PhenotypicQuality	2.5-3.0	BacDive_Cell_length|BacDive_Salt_concentration	11
kgmicrobe.trait:2_5_4_0	biolink:PhenotypicQuality	2.5-4.0	BacDive_Cell_length|BacDive_Colony_size|BacDive_Salt_concentration	11
kgmicrobe.trait:33_37	biolink:PhenotypicQuality	33-37	BacDive_Temperature_for_growth	11
kgmicrobe.trait:35_60	biolink:PhenotypicQuality	35-60	BacDive_Temperature_for_growth	11
kgmicrobe.trait:36	biolink:PhenotypicQuality	36	BacDive_Temperature_for_growth	11
kgmicrobe.trait:37_55	biolink:PhenotypicQuality	37-55	BacDive_Temperature_for_growth	11
kgmicrobe.trait:4_32	biolink:PhenotypicQuality	4-32	BacDive_Temperature_for_growth	11
kgmicrobe.trait:4_5_7_5	biolink:PhenotypicQuality	4.5-7.5	BacDive_pH_for_growth	11
kgmicrobe.trait:4_nitrophenyl_alpha_d_glucopyranoside	biolink:PhenotypicQuality	4-nitrophenyl alpha-D-glucopyranoside	BacDive_Metabolite_utilization	11
kgmicrobe.trait:4_oxopentanoate	biolink:PhenotypicQuality	4-oxopentanoate	BacDive_Metabolite_utilization	11
kgmicrobe.trait:6_0_12_0	biolink:PhenotypicQuality	6.0-12.0	BacDive_Cell_length|BacDive_Salt_concentration|BacDive_Temperature_for_growth|BacDive_pH_for_growth	11
kgmicrobe.trait:6_25	biolink:PhenotypicQuality	6.25	BacDive_Cell_length|BacDive_Salt_concentration	11
kgmicrobe.trait:7_5_10	biolink:PhenotypicQuality	7.5-10	BacDive_Salt_concentration|BacDive_pH_for_growth	11
kgmicrobe.trait:aerotolerant	biolink:PhenotypicQuality	aerotolerant	BacDive_Oxygen_tolerance	11
kgmicrobe.trait:allantoin	biolink:PhenotypicQuality	allantoin	BacDive_Metabolite_utilization	11
kgmicrobe.trait:alpha_maltosidase	biolink:PhenotypicQuality	alpha-maltosidase	BacDive_Enzyme_activity	11
kgmicrobe.trait:arabinitol	biolink:PhenotypicQuality	arabinitol	BacDive_Metabolite_utilization	11
kgmicrobe.trait:aspirate	biolink:PhenotypicQuality	#Aspirate	BacDive_Isolation_category_3	11
kgmicrobe.trait:beta_cyclodextrin	biolink:PhenotypicQuality	beta-cyclodextrin	BacDive_Metabolite_utilization	11
kgmicrobe.trait:bone	biolink:PhenotypicQuality	#Bone	BacDive_Isolation_category_3	11
kgmicrobe.trait:domestic_waste	biolink:PhenotypicQuality	#Domestic waste	BacDive_Isolation_category_3	11
kgmicrobe.trait:dust_ash	biolink:PhenotypicQuality	#Dust (Ash)	BacDive_Isolation_category_3	11
kgmicrobe.trait:hexanoate	biolink:PhenotypicQuality	hexanoate	BacDive_Metabolite_production|BacDive_Metabolite_utilization	11
kgmicrobe.trait:isovalerate	biolink:PhenotypicQuality	isovalerate	BacDive_Metabolite_production|BacDive_Metabolite_utilization	11
kgmicrobe.trait:juice_natural	biolink:PhenotypicQuality	#Juice (natural)	BacDive_Isolation_category_3	11
kgmicrobe.trait:l_tryptophan	biolink:PhenotypicQuality	L-tryptophan	BacDive_Metabolite_production|BacDive_Metabolite_utilization	11
kgmicrobe.trait:l_xylose	biolink:PhenotypicQuality	L-xylose	BacDive_Metabolite_utilization	11
kgmicrobe.trait:methionine	biolink:PhenotypicQuality	methionine	BacDive_Metabolite_utilization	11
kgmicrobe.trait:midecamycin	biolink:PhenotypicQuality	midecamycin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	11
kgmicrobe.trait:outdoor_air	biolink:PhenotypicQuality	#Outdoor Air	BacDive_Isolation_category_3	11
kgmicrobe.trait:tripeptide_aminopeptidase	biolink:PhenotypicQuality	tripeptide aminopeptidase	BacDive_Enzyme_activity	11
kgmicrobe.trait:yeast	biolink:PhenotypicQuality	#Yeast	BacDive_Isolation_category_2	11
kgmicrobe.trait:02_08	biolink:PhenotypicQuality	02-08	BacDive_Cell_length|BacDive_Salt_concentration|BacDive_pH_for_growth	10
kgmicrobe.trait:04_07	biolink:PhenotypicQuality	04-07	BacDive_Cell_length|BacDive_Salt_concentration|BacDive_pH_for_growth	10
kgmicrobe.trait:04_28	biolink:PhenotypicQuality	04-28	BacDive_Temperature_for_growth	10
kgmicrobe.trait:0_2_0_8	biolink:PhenotypicQuality	0.2-0.8	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size	10
kgmicrobe.trait:0_37	biolink:PhenotypicQuality	0.37	BacDive_Cell_width|BacDive_Temperature_for_growth	10
kgmicrobe.trait:0_5_4_0	biolink:PhenotypicQuality	0.5-4.0	BacDive_Cell_length|BacDive_Colony_size|BacDive_Salt_concentration|BacDive_pH_for_growth	10
kgmicrobe.trait:0_5_7_5	biolink:PhenotypicQuality	0.5-7.5	BacDive_Salt_concentration	10
kgmicrobe.trait:0_8_1_6	biolink:PhenotypicQuality	0.8-1.6	BacDive_Cell_length|BacDive_Cell_width	10
kgmicrobe.trait:0_8_2	biolink:PhenotypicQuality	0.8-2	BacDive_Cell_length|BacDive_Cell_width	10
kgmicrobe.trait:0_9_1_6	biolink:PhenotypicQuality	0.9-1.6	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size	10
kgmicrobe.trait:14	biolink:PhenotypicQuality	14	BacDive_Cell_length|BacDive_Salt_concentration|BacDive_Temperature_for_growth	10
kgmicrobe.trait:15_0_50_0	biolink:PhenotypicQuality	15.0-50.0	BacDive_Temperature_for_growth	10
kgmicrobe.trait:17	biolink:PhenotypicQuality	17	BacDive_Salt_concentration|BacDive_Temperature_for_growth	10
kgmicrobe.trait:17_37	biolink:PhenotypicQuality	17-37	BacDive_Temperature_for_growth	10
kgmicrobe.trait:18_40	biolink:PhenotypicQuality	18-40	BacDive_Temperature_for_growth	10
kgmicrobe.trait:1_4_2_2	biolink:PhenotypicQuality	1.4-2.2	BacDive_Cell_length	10
kgmicrobe.trait:1_5_2_1	biolink:PhenotypicQuality	1.5-2.1	BacDive_Cell_length|BacDive_Cell_width	10
kgmicrobe.trait:1_5_2_2	biolink:PhenotypicQuality	1.5-2.2	BacDive_Cell_length|BacDive_Colony_size	10
kgmicrobe.trait:1_5_days	biolink:PhenotypicQuality	1.5 days	BacDive_Incubation_period	10
kgmicrobe.trait:20_60	biolink:PhenotypicQuality	20-60	BacDive_Temperature_for_growth	10
kgmicrobe.trait:28_42	biolink:PhenotypicQuality	28-42	BacDive_Temperature_for_growth	10
kgmicrobe.trait:2_0_10_0	biolink:PhenotypicQuality	2.0-10.0	BacDive_Cell_length|BacDive_Salt_concentration|BacDive_pH_for_growth	10
kgmicrobe.trait:2_5_3	biolink:PhenotypicQuality	2.5-3	BacDive_Cell_length|BacDive_Salt_concentration	10
kgmicrobe.trait:30_60	biolink:PhenotypicQuality	30-60	BacDive_Salt_concentration|BacDive_Temperature_for_growth	10
kgmicrobe.trait:37_0	biolink:PhenotypicQuality	37.0	BacDive_Temperature_for_growth	10
kgmicrobe.trait:3_10	biolink:PhenotypicQuality	3-10	BacDive_Cell_length|BacDive_Colony_size|BacDive_pH_for_growth	10
kgmicrobe.trait:45_65	biolink:PhenotypicQuality	45-65	BacDive_Temperature_for_growth	10
kgmicrobe.trait:4_0	biolink:PhenotypicQuality	<4.0	BacDive_Colony_size|BacDive_Salt_concentration|BacDive_Temperature_for_growth	10
kgmicrobe.trait:4_0_37_0	biolink:PhenotypicQuality	4.0-37.0	BacDive_Temperature_for_growth	10
kgmicrobe.trait:4_41	biolink:PhenotypicQuality	4-41	BacDive_Temperature_for_growth	10
kgmicrobe.trait:4_5_9	biolink:PhenotypicQuality	4.5-9	BacDive_pH_for_growth	10
kgmicrobe.trait:4_7	biolink:PhenotypicQuality	4-7	BacDive_Cell_length|BacDive_Salt_concentration|BacDive_Temperature_for_growth|BacDive_pH_for_growth	10
kgmicrobe.trait:6_0_7_5	biolink:PhenotypicQuality	6.0-7.5	BacDive_pH_for_growth	10
kgmicrobe.trait:8_10	biolink:PhenotypicQuality	8-10	BacDive_Salt_concentration|BacDive_pH_for_growth	10
kgmicrobe.trait:anisomycin	biolink:PhenotypicQuality	(-)-anisomycin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	10
kgmicrobe.trait:dinoflagellate	biolink:PhenotypicQuality	#Dinoflagellate	BacDive_Isolation_category_3	10
kgmicrobe.trait:fructose_6_phosphate_phosphoketolase	biolink:PhenotypicQuality	fructose-6-phosphate phosphoketolase	BacDive_Enzyme_activity	10
kgmicrobe.trait:industrial_waste	biolink:PhenotypicQuality	#Industrial waste	BacDive_Isolation_category_3	10
kgmicrobe.trait:mammary_gland	biolink:PhenotypicQuality	#Mammary gland	BacDive_Isolation_category_3	10
kgmicrobe.trait:plant_infections	biolink:PhenotypicQuality	#Plant infections	BacDive_Isolation_category_2	10
kgmicrobe.trait:propanol	biolink:PhenotypicQuality	propanol	BacDive_Metabolite_utilization	10
kgmicrobe.trait:solid_plant_waste	biolink:PhenotypicQuality	#Solid plant waste	BacDive_Isolation_category_3	10
kgmicrobe.trait:sulfamerazine	biolink:PhenotypicQuality	sulfamerazine	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	10
kgmicrobe.trait:teicoplanin	biolink:PhenotypicQuality	teicoplanin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	10
kgmicrobe.trait:vascular_system	biolink:PhenotypicQuality	#Vascular system	BacDive_Isolation_category_3	10
kgmicrobe.trait:xanthine	biolink:PhenotypicQuality	xanthine	BacDive_Metabolite_utilization	10
kgmicrobe.pathway:dissimilatory_arsenite_oxidation	biolink:BiologicalProcess	dissimilatory_arsenite_oxidation	faprotax:type_of_metabolism	9
kgmicrobe.trait:04_36	biolink:PhenotypicQuality	04-36	BacDive_Temperature_for_growth	9
kgmicrobe.trait:04_38	biolink:PhenotypicQuality	04-38	BacDive_Temperature_for_growth	9
kgmicrobe.trait:05_06	biolink:PhenotypicQuality	05-06	BacDive_Cell_length|BacDive_Salt_concentration|BacDive_pH_for_growth	9
kgmicrobe.trait:0_0_3	biolink:PhenotypicQuality	0-0.3	BacDive_Salt_concentration	9
kgmicrobe.trait:0_1_0_4	biolink:PhenotypicQuality	0.1-0.4	BacDive_Cell_width|BacDive_Colony_size	9
kgmicrobe.trait:0_30	biolink:PhenotypicQuality	0-30	BacDive_Salt_concentration|BacDive_Temperature_for_growth	9
kgmicrobe.trait:0_4_0_9	biolink:PhenotypicQuality	0.4-0.9	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size	9
kgmicrobe.trait:0_5_11	biolink:PhenotypicQuality	0.5-11	BacDive_Salt_concentration	9
kgmicrobe.trait:0_5_6_5	biolink:PhenotypicQuality	0.5-6.5	BacDive_Salt_concentration	9
kgmicrobe.trait:0_5_9	biolink:PhenotypicQuality	0.5-9	BacDive_Salt_concentration	9
kgmicrobe.trait:0_6_1_1	biolink:PhenotypicQuality	0.6-1.1	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size	9
kgmicrobe.trait:0_7_1_3	biolink:PhenotypicQuality	0.7-1.3	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size	9
kgmicrobe.trait:0_8_2_5	biolink:PhenotypicQuality	0.8-2.5	BacDive_Cell_length	9
kgmicrobe.trait:0_9_1_4	biolink:PhenotypicQuality	0.9-1.4	BacDive_Cell_length|BacDive_Cell_width	9
kgmicrobe.trait:10_39	biolink:PhenotypicQuality	10-39	BacDive_Temperature_for_growth	9
kgmicrobe.trait:10_55	biolink:PhenotypicQuality	10-55	BacDive_Salt_concentration|BacDive_Temperature_for_growth	9
kgmicrobe.trait:15_0	biolink:PhenotypicQuality	15.0	BacDive_Salt_concentration|BacDive_Temperature_for_growth	9
kgmicrobe.trait:15_28	biolink:PhenotypicQuality	15-28	BacDive_Salt_concentration|BacDive_Temperature_for_growth	9
kgmicrobe.trait:16_45	biolink:PhenotypicQuality	16-45	BacDive_Temperature_for_growth	9
kgmicrobe.trait:1_0_1_4	biolink:PhenotypicQuality	1.0-1.4	BacDive_Cell_length|BacDive_Cell_width	9
kgmicrobe.trait:1_0_1_8	biolink:PhenotypicQuality	1.0-1.8	BacDive_Cell_length|BacDive_Colony_size	9
kgmicrobe.trait:1_1_1_2	biolink:PhenotypicQuality	1.1-1.2	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size	9
kgmicrobe.trait:1_1_1_7	biolink:PhenotypicQuality	1.1-1.7	BacDive_Cell_length	9
kgmicrobe.trait:1_1_1_8	biolink:PhenotypicQuality	1.1-1.8	BacDive_Cell_length|BacDive_Colony_size	9
kgmicrobe.trait:1_1_2_0	biolink:PhenotypicQuality	1.1-2.0	BacDive_Cell_length	9
kgmicrobe.trait:1_1_4	biolink:PhenotypicQuality	1-1.4	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size	9
kgmicrobe.trait:1_1_6	biolink:PhenotypicQuality	1-1.6	BacDive_Cell_length|BacDive_Colony_size|BacDive_Salt_concentration	9
kgmicrobe.trait:1_3_1_8	biolink:PhenotypicQuality	1.3-1.8	BacDive_Cell_length|BacDive_Cell_width	9
kgmicrobe.trait:1_3_2	biolink:PhenotypicQuality	1-3.2	BacDive_Cell_length	9
kgmicrobe.trait:1_5_1_8	biolink:PhenotypicQuality	1.5-1.8	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size	9
kgmicrobe.trait:1_5_4_5	biolink:PhenotypicQuality	1.5-4.5	BacDive_Cell_length|BacDive_Salt_concentration	9
kgmicrobe.trait:1_5_5	biolink:PhenotypicQuality	1.5-5	BacDive_Cell_length|BacDive_Colony_size|BacDive_Salt_concentration	9
kgmicrobe.trait:1_8_2	biolink:PhenotypicQuality	1.8-2	BacDive_Cell_length|BacDive_Cell_width	9
kgmicrobe.trait:28_32	biolink:PhenotypicQuality	28-32	BacDive_Temperature_for_growth	9
kgmicrobe.trait:28_35	biolink:PhenotypicQuality	28-35	BacDive_Temperature_for_growth	9
kgmicrobe.trait:28_40	biolink:PhenotypicQuality	28-40	BacDive_Temperature_for_growth	9
kgmicrobe.trait:2_3_5	biolink:PhenotypicQuality	2-3.5	BacDive_Cell_length|BacDive_Colony_size|BacDive_Salt_concentration	9
kgmicrobe.trait:2_5_days	biolink:PhenotypicQuality	2.5 days	BacDive_Incubation_period	9
kgmicrobe.trait:2_aminobutyrate	biolink:PhenotypicQuality	2-aminobutyrate	BacDive_Metabolite_utilization	9
kgmicrobe.trait:30_0	biolink:PhenotypicQuality	30.0	BacDive_Temperature_for_growth	9
kgmicrobe.trait:3_8	biolink:PhenotypicQuality	3-8	BacDive_Cell_length|BacDive_Colony_size|BacDive_Salt_concentration|BacDive_pH_for_growth	9
kgmicrobe.trait:3_o_methyl_alpha_d_glucopyranoside	biolink:PhenotypicQuality	3-O-methyl alpha-D-glucopyranoside	BacDive_Metabolite_utilization	9
kgmicrobe.trait:40_65	biolink:PhenotypicQuality	40-65	BacDive_Temperature_for_growth	9
kgmicrobe.trait:45_55	biolink:PhenotypicQuality	45-55	BacDive_Temperature_for_growth	9
kgmicrobe.trait:4_8_5	biolink:PhenotypicQuality	4-8.5	BacDive_pH_for_growth	9
kgmicrobe.trait:5_45	biolink:PhenotypicQuality	5-45	BacDive_Salt_concentration|BacDive_Temperature_for_growth	9
kgmicrobe.trait:amphitrichous	biolink:PhenotypicQuality	amphitrichous	BacDive_Flagellum_arrangement	9
kgmicrobe.trait:beef_extract	biolink:PhenotypicQuality	beef extract	BacDive_Metabolite_utilization	9
kgmicrobe.trait:beta_gentiobiose	biolink:PhenotypicQuality	beta-gentiobiose	BacDive_Metabolite_utilization	9
kgmicrobe.trait:beta_lactose	biolink:PhenotypicQuality	beta-lactose	BacDive_Metabolite_utilization	9
kgmicrobe.trait:bronchial_wash	biolink:PhenotypicQuality	#Bronchial wash	BacDive_Isolation_category_3	9
kgmicrobe.trait:coral_reef	biolink:PhenotypicQuality	#Coral reef	BacDive_Isolation_category_3	9
kgmicrobe.trait:d_sorbose	biolink:PhenotypicQuality	D-sorbose	BacDive_Metabolite_utilization	9
kgmicrobe.trait:hand	biolink:PhenotypicQuality	#Hand	BacDive_Isolation_category_3	9
kgmicrobe.trait:plant_sap_flux	biolink:PhenotypicQuality	#Plant sap (Flux)	BacDive_Isolation_category_3	9
kgmicrobe.trait:plantation	biolink:PhenotypicQuality	#Plantation	BacDive_Isolation_category_3	9
kgmicrobe.trait:sodium_pyruvate	biolink:PhenotypicQuality	sodium pyruvate	BacDive_Metabolite_utilization	9
kgmicrobe.trait:subtropical	biolink:PhenotypicQuality	#Subtropical	BacDive_Isolation_category_3	9
kgmicrobe.trait:thymidine	biolink:PhenotypicQuality	thymidine	BacDive_Metabolite_utilization	9
kgmicrobe.trait:triphenyltetrazolium_chloride	biolink:PhenotypicQuality	triphenyltetrazolium chloride	BacDive_Metabolite_utilization	9
kgmicrobe.compound:2_propanol_co2	biolink:ChemicalEntity	2-propanol+CO2	bergey:substrates	8
kgmicrobe.compound:glucose_yeast_extract	biolink:ChemicalEntity	glucose + yeast extract	bergey:substrates	8
kgmicrobe.pathway:aerobic_ammonia_oxidation	biolink:BiologicalProcess	aerobic_ammonia_oxidation	faprotax:type_of_metabolism	8
kgmicrobe.pathway:arsenite_oxidation_detoxification	biolink:BiologicalProcess	arsenite_oxidation_detoxification	faprotax:type_of_metabolism	8
kgmicrobe.trait:02_10	biolink:PhenotypicQuality	02-10	BacDive_Cell_length|BacDive_Salt_concentration	8
kgmicrobe.trait:03_08	biolink:PhenotypicQuality	03-08	BacDive_Cell_length|BacDive_Salt_concentration|BacDive_pH_for_growth	8
kgmicrobe.trait:05_15	biolink:PhenotypicQuality	05-15	BacDive_Salt_concentration	8
kgmicrobe.trait:06_12	biolink:PhenotypicQuality	06-12	BacDive_pH_for_growth	8
kgmicrobe.trait:08_10	biolink:PhenotypicQuality	08-10	BacDive_Salt_concentration|BacDive_pH_for_growth	8
kgmicrobe.trait:0_0_1	biolink:PhenotypicQuality	0-0.1	BacDive_Salt_concentration	8
kgmicrobe.trait:0_0_10_0	biolink:PhenotypicQuality	0.0-10.0	BacDive_Salt_concentration	8
kgmicrobe.trait:0_10_0	biolink:PhenotypicQuality	0-10.0	BacDive_Salt_concentration	8
kgmicrobe.trait:0_16	biolink:PhenotypicQuality	0-16	BacDive_Salt_concentration	8
kgmicrobe.trait:0_34	biolink:PhenotypicQuality	0-34	BacDive_Cell_width|BacDive_Temperature_for_growth	8
kgmicrobe.trait:0_5_3_5	biolink:PhenotypicQuality	0.5-3.5	BacDive_Cell_length|BacDive_Colony_size|BacDive_Salt_concentration	8
kgmicrobe.trait:0_6_0	biolink:PhenotypicQuality	0-6.0	BacDive_Salt_concentration	8
kgmicrobe.trait:0_6_1_8	biolink:PhenotypicQuality	0.6-1.8	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size	8
kgmicrobe.trait:0_6_5	biolink:PhenotypicQuality	0-6.5	BacDive_Salt_concentration	8
kgmicrobe.trait:0_7_1_5	biolink:PhenotypicQuality	0.7-1.5	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size	8
kgmicrobe.trait:0_8_1_7	biolink:PhenotypicQuality	0.8-1.7	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size	8
kgmicrobe.trait:0_9_1_8	biolink:PhenotypicQuality	0.9-1.8	BacDive_Cell_length|BacDive_Cell_width	8
