label	occurrences	source_columns	already_in_mim
monomethyl succinate	8	BacDive_Metabolite_utilization	no
O-nitrophenyl-beta-D-galactopyranosid	8	BacDive_Metabolite_production|BacDive_Metabolite_utilization	no
phenol	8	BacDive_Antibiotic_resistance|BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
potassium 2-dehydro-D-gluconate	8	BacDive_Metabolite_utilization	no
pyrazinamide	8	BacDive_Metabolite_utilization	yes
tributyrin	8	BacDive_Metabolite_utilization	no
2-butanol+CO2	7	bergey:substrates	no
4-aminobutyrate	7	BacDive_Metabolite_utilization	no
4-nitrophenyl beta-D-xylopyranoside	7	BacDive_Metabolite_utilization	no
5-aminovaleric acid	7	BacDive_Metabolite_utilization	yes
ammonium sulfate	7	BacDive_Metabolite_utilization	yes
arsenate	7	BacDive_Metabolite_utilization	yes
beta-d-glucose	7	BacDive_Metabolite_utilization	no
biotin	7	BacDive_Metabolite_utilization	yes
carrageenan	7	BacDive_Metabolite_utilization	no
chitosan	7	BacDive_Metabolite_utilization	yes
dimethyl sulfoxide	7	BacDive_Metabolite_utilization	yes
disodium malate	7	BacDive_Metabolite_utilization	no
dl-alanine	7	BacDive_Metabolite_utilization	no
DL-lactate	7	BacDive_Metabolite_production	no
glucose 1-phosphate	7	BacDive_Metabolite_utilization	no
glycyl-L-proline	7	BacDive_Metabolite_utilization	no
isocitrate	7	BacDive_Metabolite_utilization	no
isoleucine	7	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
L-methionine	7	BacDive_Metabolite_utilization	yes
moxifloxacin	7	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	yes
trithionate	7	BacDive_Metabolite_utilization	no
uridine	7	BacDive_Metabolite_utilization	yes
3-methylglucose	6	BacDive_Metabolite_utilization	no
beta-D-glucuronic acid	6	BacDive_Metabolite_utilization	no
capreomycin	6	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_production	no
elastin	6	BacDive_Metabolite_utilization	yes
ertapenem	6	BacDive_Antibiotic_sensitivity	no
esculin hydrolysate	6	BacDive_Metabolite_utilization	no
gellan gum	6	BacDive_Metabolite_utilization	yes
glycolate	6	BacDive_Metabolite_utilization	no
L-alanylglycine	6	BacDive_Metabolite_utilization	no
L-isoleucine	6	BacDive_Metabolite_utilization	yes
L-proline-4-nitroanilide	6	BacDive_Metabolite_utilization	no
methicillin	6	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
potassium nitrate	6	BacDive_Metabolite_utilization	no
roxithromycin	6	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
4-aminobenzoate	5	BacDive_Metabolite_utilization	yes
5-oxoproline	5	BacDive_Metabolite_utilization	no
acetone	5	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
arabinogalactan	5	BacDive_Metabolite_utilization	no
ascorbate	5	BacDive_Metabolite_utilization	no
bis-4-nitrophenyl-phosphorylcholine	5	BacDive_Metabolite_utilization	no
casitone	5	BacDive_Metabolite_utilization	yes
cefuroxime sodium	5	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
chondroitin sulfate	5	BacDive_Metabolite_utilization	no
corn oil	5	BacDive_Metabolite_utilization	no
gentisate	5	BacDive_Metabolite_utilization	no
glycerol 3-phosphate	5	BacDive_Metabolite_utilization	no
glyoxylate	5	BacDive_Metabolite_utilization	no
guanine	5	BacDive_Metabolite_utilization	yes
indole-3-acetate	5	BacDive_Metabolite_production	no
L-tartrate	5	BacDive_Metabolite_utilization	yes
meat extract	5	BacDive_Metabolite_utilization	yes
methyl alpha-D-mannoside	5	BacDive_Metabolite_utilization	no
N-acetylgalactosamine	5	BacDive_Metabolite_utilization	no
(2)-D-lactose	4	BacDive_Metabolite_utilization	no
2-deoxythymidine-5'-4-nitrophenyl phosphate	4	BacDive_Metabolite_utilization	no
2-dimethylsuccinic acid	4	BacDive_Metabolite_utilization	no
3-aminobutyrate	4	BacDive_Metabolite_utilization	no
acetylene	4	BacDive_Metabolite_utilization	no
ammonium nitrate	4	BacDive_Metabolite_utilization	yes
amylose	4	BacDive_Metabolite_utilization	no
bis-4-nitrophenyl-phenyl phosphonate	4	BacDive_Metabolite_utilization	no
carnitine	4	BacDive_Metabolite_utilization	no
cefprozil	4	BacDive_Antibiotic_sensitivity	no
collagen	4	BacDive_Metabolite_utilization	no
cyclodextrin	4	BacDive_Antibiotic_resistance|BacDive_Metabolite_utilization	no
enoxacin	4	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
fluorescein	4	BacDive_Metabolite_production	no
gamma-cyclodextrin	4	BacDive_Metabolite_utilization	no
glucuronate	4	BacDive_Metabolite_utilization	no
gramicidin s	4	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
L-fructose	4	BacDive_Metabolite_utilization	no
lactulose	4	BacDive_Metabolite_utilization	yes
lomefloxacin	4	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
lysostaphin	4	BacDive_Antibiotic_sensitivity	no
macrolide antibiotic	4	BacDive_Antibiotic_sensitivity	no
manganese	4	BacDive_Metabolite_utilization	no
methylamine	4	BacDive_Metabolite_utilization	yes
nicotinate	4	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
oxolinate	4	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
Potassium 2-ketogluconate	4	BacDive_Metabolite_utilization	no
protocatechuate	4	BacDive_Metabolite_utilization	no
quinate	4	BacDive_Metabolite_utilization	no
salinomycin	4	BacDive_Antibiotic_resistance	no
sebacic acid	4	BacDive_Metabolite_utilization	yes
siderophore	4	BacDive_Metabolite_production	yes
sorbose	4	BacDive_Metabolite_utilization	no
tazobactam	4	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
ticarcillin	4	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
urocanic acid	4	BacDive_Metabolite_utilization	no
yeast extract (0.01 %	4	BacDive_Metabolite_utilization	no
cyclopentanol+CO2	3	bergey:substrates	no
glucose + acetate	3	bergey:substrates	no
H2+methanol	3	bergey:substrates	no
PYGS	3	bergey:substrates	no
sucrose + yeast extract	3	bergey:substrates	no
2-aminopentanoic acid	3	BacDive_Metabolite_utilization	no
2-deoxy-d-ribose	3	BacDive_Metabolite_utilization	yes
2-naphthyl dihydrogen phosphate	3	BacDive_Metabolite_utilization	no
4-nitrophenyl alpha-D-galactoside	3	BacDive_Metabolite_utilization	no
4-nitrophenyl N-acetyl-beta-D-glucosaminide	3	BacDive_Metabolite_utilization	no
aminoglycoside antibiotic	3	BacDive_Antibiotic_sensitivity	no
amp	3	BacDive_Metabolite_utilization	no
aphidicolin	3	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
bacteriochlorophyll a	3	BacDive_Metabolite_production	no
benzene	3	BacDive_Metabolite_utilization	no
beta-phenylethylamine	3	BacDive_Metabolite_production|BacDive_Metabolite_utilization	no
blasticidin S	3	BacDive_Metabolite_production	no
calcium(2+)	3	BacDive_Metabolite_utilization	no
casamino acids (0.01 %	3	BacDive_Metabolite_utilization	no
cefaclor	3	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	yes
cefamandole	3	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
D-galactonate	3	BacDive_Metabolite_utilization	no
D-lactic acid methyl ester	3	BacDive_Metabolite_utilization	no
desferrioxamine	3	BacDive_Antibiotic_sensitivity	no
dinitrogen oxide	3	BacDive_Metabolite_production|BacDive_Metabolite_utilization	no
disodium fumarate	3	BacDive_Metabolite_utilization	yes
DL-2-gamma-aminobutyrate	3	BacDive_Metabolite_utilization	no
egg yolk	3	BacDive_Metabolite_utilization	yes
enrofloxacin	3	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
ethambutol	3	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	yes
fermented rumen extract	3	BacDive_Metabolite_utilization	no
ferrihydrite	3	BacDive_Metabolite_utilization	yes
fucoidan	3	BacDive_Metabolite_utilization	no
glucomannan	3	BacDive_Metabolite_utilization	no
glutamyl-glutamic acid	3	BacDive_Metabolite_utilization	no
glycerate	3	BacDive_Metabolite_utilization	no
glycerol 1-phosphate	3	BacDive_Metabolite_utilization	no
iron	3	BacDive_Metabolite_utilization	yes
kasugamycin	3	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
L-galactonic acid gamma-lactone	3	BacDive_Metabolite_utilization	no
L-pyroglutamic acid	3	BacDive_Metabolite_utilization	yes
L-valine	3	BacDive_Metabolite_utilization	yes
maltodextrin	3	BacDive_Metabolite_utilization	yes
manganese dioxide	3	BacDive_Metabolite_utilization	yes
methyl (R)-lactate	3	BacDive_Metabolite_utilization	no
mezlocillin	3	BacDive_Antibiotic_sensitivity	no
natamycin	3	BacDive_Antibiotic_resistance|BacDive_Metabolite_production	no
paromomycin	3	BacDive_Metabolite_production	no
polypeptone	3	BacDive_Metabolite_utilization	yes
pyocyanin	3	BacDive_Antibiotic_sensitivity|BacDive_Metabolite_production	yes
rifamycin	3	BacDive_Antibiotic_resistance|BacDive_Metabolite_production	no
sodium formate	3	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	yes
spiramycin	3	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_production	yes
sulfisoxazole	3	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
sulfonamide	3	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
tartrate	3	BacDive_Metabolite_utilization	no
uric acid	3	BacDive_Metabolite_utilization	yes
Vibriostatic agent O/129	3	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
1-propanol+CO2	2	bergey:substrates	no
BHI	2	bergey:substrates	no
mucin	2	bergey:substrates|literature:substrates	no
peptone + yeast extract	2	bergey:substrates|literature:substrates	no
peptones	2	bergey:substrates	no
PY-cellobiose	2	bergey:substrates	no
1-o-methyl alpha-galactopyranoside	2	BacDive_Metabolite_utilization	no
1% sodium chloride	2	BacDive_Metabolite_utilization	no
2-dichloroethane	2	BacDive_Metabolite_utilization	no
2-propandiol	2	BacDive_Metabolite_utilization	no
4-nitrophenyl 6-O-phosphono-beta-D-galactoside	2	BacDive_Metabolite_utilization	no
4-nitrophenyl beta-D-glucuronide	2	BacDive_Metabolite_utilization	no
5-didehydro-D-gluconate	2	BacDive_Metabolite_production	no
8-azaguanine	2	BacDive_Metabolite_production	no
aburamycin A	2	BacDive_Metabolite_production	yes
aconitate	2	BacDive_Metabolite_utilization	no
actinomycin d	2	BacDive_Antibiotic_sensitivity|BacDive_Metabolite_production	yes
actinomycin X	2	BacDive_Metabolite_production	no
amorphous fe(iii) oxyhydroxid	2	BacDive_Metabolite_utilization	yes
amylopectin	2	BacDive_Metabolite_utilization	no
aureothricin	2	BacDive_Metabolite_production	no
beta-D-galactoside	2	BacDive_Metabolite_utilization	no
beta-D-xylose	2	BacDive_Metabolite_utilization	no
bile acid	2	BacDive_Metabolite_utilization	no
biphenyl	2	BacDive_Antibiotic_resistance|BacDive_Metabolite_utilization	no
carbon monoxide	2	BacDive_Metabolite_utilization	no
cefaloridine	2	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
cefotetan	2	BacDive_Antibiotic_resistance	no
cinnamycin	2	BacDive_Metabolite_production	no
citraconate	2	BacDive_Metabolite_utilization	no
citrulline	2	BacDive_Metabolite_utilization	yes
colistin sulfate	2	BacDive_Antibiotic_resistance	no
D-glycerate	2	BacDive_Metabolite_utilization	no
D-methionine	2	BacDive_Metabolite_utilization	yes
D-valine	2	BacDive_Metabolite_utilization	no
dactimicin	2	BacDive_Metabolite_production	no
decane	2	BacDive_Metabolite_utilization	yes
dihydrostreptomycin	2	BacDive_Antibiotic_resistance|BacDive_Metabolite_production	no
dimethylamine	2	BacDive_Metabolite_utilization	no
dodecanoate	2	BacDive_Metabolite_utilization	no
doripenem	2	BacDive_Antibiotic_sensitivity	no
ferulate	2	BacDive_Metabolite_utilization	no
fleroxacin	2	BacDive_Antibiotic_resistance	no
folate	2	BacDive_Metabolite_utilization	yes
fungichromin	2	BacDive_Metabolite_production	no
gelatin hydrolyzed	2	BacDive_Metabolite_utilization	no
henicosane	2	BacDive_Metabolite_utilization	no
hopanoid	2	BacDive_Metabolite_production	no
hydroxyethylcellulose	2	BacDive_Metabolite_utilization	no
L-lyxose	2	BacDive_Metabolite_utilization	no
lichenin	2	BacDive_Metabolite_utilization	no
maleic acid	2	BacDive_Metabolite_utilization	yes
malonamide	2	BacDive_Metabolite_utilization	no
maltotriose	2	BacDive_Metabolite_utilization	no
N-acetyl-beta-D-mannosamine	2	BacDive_Metabolite_utilization	no
n-acetyl-D-galactosamine	2	BacDive_Metabolite_utilization	yes
oxalate	2	BacDive_Metabolite_utilization	no
paromomycin sulfate	2	BacDive_Antibiotic_sensitivity	no
phenylethylamine	2	BacDive_Metabolite_utilization	no
polychlorobiphenyl	2	BacDive_Antibiotic_resistance	no
propionamide	2	BacDive_Metabolite_utilization	no
puromycin	2	BacDive_Antibiotic_sensitivity	no
pyocyanine	2	BacDive_Metabolite_production	no
pyrite	2	BacDive_Metabolite_utilization	yes
(R)-amygdalin	2	BacDive_Metabolite_utilization	no
ramoplanin	2	BacDive_Antibiotic_sensitivity	yes
rifabutin	2	BacDive_Antibiotic_sensitivity	no
rifamycin S	2	BacDive_Metabolite_production	no
(S)-mandelic acid	2	BacDive_Metabolite_utilization	no
selenate	2	BacDive_Metabolite_utilization	no
selenite	2	BacDive_Metabolite_utilization	no
setamycin	2	BacDive_Metabolite_production	yes
sodium alginate	2	BacDive_Metabolite_utilization	yes
sodium azide	2	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	yes
sodium L-glutamate	2	BacDive_Metabolite_utilization	no
sodium lactate	2	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	yes
sodium succinate	2	BacDive_Metabolite_utilization	yes
soyton	2	BacDive_Metabolite_utilization	yes
spiramycin II	2	BacDive_Antibiotic_sensitivity	no
stachyose	2	BacDive_Metabolite_utilization	no
succinamate	2	BacDive_Metabolite_utilization	no
sulfamethizole	2	BacDive_Antibiotic_resistance	yes
tetrazolium	2	BacDive_Metabolite_utilization	no
thiamine	2	BacDive_Metabolite_utilization	yes
thiolutin	2	BacDive_Metabolite_production	no
toluene	2	BacDive_Metabolite_production	yes
trigonelline	2	BacDive_Metabolite_utilization	yes
trimethylamine	2	BacDive_Metabolite_utilization	yes
1-butanol+CO2	1	bergey:substrates	no
3-methylacetate	1	bergey:minor_end_products	no
5-trimethoxybenzoate	1	bergey:substrates	no
alpha-aminobutyrate	1	bergey:minor_end_products	no
aminovalerate	1	bergey:substrates	no
casitone + yeast extract + rumen fluid	1	literature:substrates	no
CMC + PY + horse serum	1	bergey:substrates	no
corn steep liquor + glucose + fumarate	1	literature:substrates	no
Fastidious Anaerobe Broth with meat granules	1	bergey:substrates	no
formate+3-methyl mercaptopropionate	1	bergey:substrates	no
formate+dimethylsulfide	1	bergey:substrates	no
formate+methanol	1	bergey:substrates	no
formate+tetramethylammonium	1	bergey:substrates	no
formate+trimethylamine	1	bergey:substrates	no
gallate + formate	1	bergey:substrates	no
glucose + cellobiose + starch + trypticase + yeast extract	1	literature:substrates	no
glucose + formate	1	bergey:substrates	no
glucose + lactate	1	bergey:substrates	no
glucose + maltose + cellobiose + starch + glycerol	1	literature:substrates	no
glucose peptone-yeast extract	1	bergey:substrates	no
glucose + xylose	1	bergey:substrates	no
GYPS	1	bergey:substrates	no
H2+3-methyl mercaptopropionate	1	bergey:substrates	no
H2+dimethylsulfide	1	bergey:substrates	no
H2+tetramethylammonium	1	bergey:substrates	no
H2+trimethylamine	1	bergey:substrates	no
hydroxyacetophenone	1	bergey:minor_end_products	no
iso-butanol	1	bergey:minor_end_products	no
isopropionate	1	bergey:major_end_products	no
methyamine	1	bergey:substrates	no
modified cooked meat medium	1	bergey:substrates	no
mono- and disaccharides	1	bergey:substrates	no
peptone + beef extract + yeast extract	1	literature:substrates	no
peptone-yeast extract-glucose	1	bergey:substrates	no
purines	1	bergey:substrates	no
PY-fructose	1	bergey:substrates	no
PY-glucose-rumen fluid	1	bergey:substrates	no
PY-maltose	1	bergey:substrates	no
PY-pectin	1	bergey:substrates	no
PYEG	1	bergey:substrates	no
PYG-0.02% Tween 80	1	bergey:substrates	no
PYG + rumen fluid	1	bergey:substrates	no
tartate	1	bergey:substrates	no
trimethyleneglycol	1	bergey:major_end_products	no
TYGVS + glucose	1	bergey:substrates	no
yeast extract + gluconate	1	bergey:substrates	no
yeast extract + glucose	1	bergey:substrates	no
yeast extract + peptone	1	bergey:substrates	no
yeast extract + sulfur	1	bergey:substrates	no
yeast + meat extract + H2	1	bergey:substrates	no
1-chlorobutane	1	BacDive_Metabolite_utilization	no
1-chloropropane	1	BacDive_Metabolite_utilization	no
1-methylphenanthrene	1	BacDive_Metabolite_utilization	no
2-aminobenzoate	1	BacDive_Metabolite_utilization	no
(2)-D-fructose	1	BacDive_Metabolite_utilization	yes
(2)-D-lyxose	1	BacDive_Metabolite_utilization	no
2-dichloropropane	1	BacDive_Metabolite_utilization	no
2-naphthyl tetradecanoate	1	BacDive_Metabolite_utilization	no
2-propanol	1	BacDive_Metabolite_utilization	yes
2-tetrachloroethane	1	BacDive_Metabolite_utilization	no
2-trichloroethane	1	BacDive_Metabolite_utilization	no
3-beta-d-glucan	1	BacDive_Metabolite_utilization	no
3-dehydro-D-gluconate	1	BacDive_Metabolite_utilization	no
3-hydroxy 2-butanone	1	BacDive_Metabolite_utilization	no
3-nitropropanoate	1	BacDive_Metabolite_utilization	no
3-phenylpropionate	1	BacDive_Metabolite_production	no
3-trehalosamine	1	BacDive_Metabolite_production	no
3-trichloropropane	1	BacDive_Metabolite_utilization	no
4-coumarate	1	BacDive_Metabolite_utilization	no
4-dihydroxy-biphenyl	1	BacDive_Metabolite_utilization	no
4-diol	1	BacDive_Metabolite_utilization	no
4-methylumbelliferone beta-d-glucuronide	1	BacDive_Metabolite_utilization	no
4-nitrophenyl-beta-D-galactoside	1	BacDive_Metabolite_utilization	no
4-nitrophenyl phosphate	1	BacDive_Metabolite_utilization	no
4h-pyran-4-one	1	BacDive_Metabolite_production	no
5-didehydro-D-gluconic acid	1	BacDive_Metabolite_production	no
5-fluorouracil	1	BacDive_Antibiotic_resistance	yes
6-deoxy-d-galactose	1	BacDive_Metabolite_utilization	no
abikoviromycin	1	BacDive_Metabolite_production	no
acetomycin	1	BacDive_Metabolite_production	no
achromoviromycin	1	BacDive_Metabolite_production	yes
achromycin	1	BacDive_Metabolite_production	no
acridine orange	1	BacDive_Antibiotic_sensitivity	yes
actinotiocin	1	BacDive_Metabolite_production	yes
adenosine 5'-monophosphate	1	BacDive_Metabolite_utilization	no
alazopeptin	1	BacDive_Metabolite_production	no
alpha-hydroxyglutarate-gamma-lactone	1	BacDive_Metabolite_utilization	no
alpha-L-rhamnose	1	BacDive_Metabolite_utilization	no
althiomycin	1	BacDive_Metabolite_production	no
amicoumacin B	1	BacDive_Metabolite_production	no
amino acid	1	BacDive_Metabolite_utilization	no
aminophenazone	1	BacDive_Metabolite_utilization	no
amorphous iron (iii) oxide	1	BacDive_Metabolite_utilization	yes
amphomycin	1	BacDive_Metabolite_production	no
amphotericin A	1	BacDive_Metabolite_production	yes
angolamycin	1	BacDive_Metabolite_production	yes
angustmycin	1	BacDive_Metabolite_production	yes
anthracene	1	BacDive_Metabolite_utilization	no
anthracycline antibiotic	1	BacDive_Metabolite_production	no
antimonate	1	BacDive_Metabolite_utilization	no
antimycin A3	1	BacDive_Metabolite_production	no
antipyrine	1	BacDive_Metabolite_utilization	yes
ardacin A	1	BacDive_Metabolite_production	yes
ardacin B	1	BacDive_Metabolite_production	yes
ardacin C	1	BacDive_Metabolite_production	yes
ascomycin	1	BacDive_Metabolite_production	no
astaxanthin	1	BacDive_Metabolite_production	no
astromicin	1	BacDive_Metabolite_production	no
avermectin	1	BacDive_Metabolite_production	no
avoparcin	1	BacDive_Metabolite_production	yes
azaserine	1	BacDive_Metabolite_production	no
azomycin	1	BacDive_Metabolite_production	no
azureomycin	1	BacDive_Metabolite_production	yes
bacillomycin	1	BacDive_Antibiotic_sensitivity	no
balhimycin	1	BacDive_Metabolite_production	no
bandamycin	1	BacDive_Metabolite_production	yes
barium chloride	1	BacDive_Metabolite_utilization	yes
benzoin	1	BacDive_Metabolite_utilization	no
benzyl alcohol	1	BacDive_Metabolite_utilization	no
beta-D-fucose	1	BacDive_Metabolite_utilization	no
beta-D-galacto-pyranosyl-D-arabinose	1	BacDive_Metabolite_utilization	no
beta-D-glucan	1	BacDive_Metabolite_utilization	no
bis(2-ethylhexyl)phthalate	1	BacDive_Metabolite_production	no
blasticidin A	1	BacDive_Metabolite_production	no
bleomycin	1	BacDive_Antibiotic_sensitivity	no
bluensomycin	1	BacDive_Metabolite_production	no
borrelidin	1	BacDive_Metabolite_production	no
bottromycin	1	BacDive_Metabolite_production	no
bryamycin	1	BacDive_Metabolite_production	no
butamine	1	BacDive_Metabolite_utilization	no
butan-1-amine	1	BacDive_Metabolite_utilization	no
butane-1	1	BacDive_Metabolite_utilization	no
camphomycin	1	BacDive_Metabolite_production	yes
carbomycin	1	BacDive_Metabolite_production	no
carminate	1	BacDive_Metabolite_utilization	no
carminomycin	1	BacDive_Metabolite_production	no
carotenoid	1	BacDive_Metabolite_production	no
caryomycin	1	BacDive_Metabolite_production	yes
catechol	1	BacDive_Metabolite_utilization	no
cefminox	1	BacDive_Antibiotic_sensitivity	no
cefotiam	1	BacDive_Antibiotic_sensitivity	no
cefpodoxime	1	BacDive_Antibiotic_resistance	no
celesticetin	1	BacDive_Metabolite_production	no
cellostatin	1	BacDive_Metabolite_production	yes
cellotetraose	1	BacDive_Metabolite_utilization	yes
cellotriose	1	BacDive_Metabolite_utilization	yes
Cetocycline	1	BacDive_Metabolite_production	yes
chaninin	1	BacDive_Metabolite_production	yes
chartreusin	1	BacDive_Metabolite_production	no
chloridazon	1	BacDive_Metabolite_utilization	no
chlororaphin	1	BacDive_Metabolite_production	yes
chlortetracycline	1	BacDive_Metabolite_production	no
choline	1	BacDive_Metabolite_utilization	yes
cinerubin R	1	BacDive_Metabolite_production	no
cinoxacin	1	BacDive_Antibiotic_sensitivity	no
citramalate	1	BacDive_Metabolite_utilization	no
cladomycin	1	BacDive_Metabolite_production	yes
clofazimine	1	BacDive_Antibiotic_resistance	yes
collinomycin	1	BacDive_Metabolite_production	yes
congocidin	1	BacDive_Metabolite_production	yes
coumarate	1	BacDive_Metabolite_utilization	no
crude oil	1	BacDive_Metabolite_utilization	no
crystalline cellulose	1	BacDive_Metabolite_utilization	no
curamycin A	1	BacDive_Metabolite_production	no
cycloviracin B1	1	BacDive_Metabolite_production	no
cycloviracin B2	1	BacDive_Metabolite_production	no
cystargin	1	BacDive_Metabolite_production	yes
cystine	1	BacDive_Metabolite_utilization	no
cytochrome	1	BacDive_Metabolite_production	no
cytosine	1	BacDive_Metabolite_utilization	yes
d-cycloserine	1	BacDive_Antibiotic_resistance	yes
(+)-D-glycogen	1	BacDive_Metabolite_utilization	no
D-histidine	1	BacDive_Metabolite_utilization	no
D-leucine	1	BacDive_Metabolite_utilization	yes
D-ornithine	1	BacDive_Metabolite_utilization	no
D-threonine	1	BacDive_Metabolite_utilization	no
daidzein	1	BacDive_Metabolite_production	yes
danomycin	1	BacDive_Metabolite_production	yes
daptomycin	1	BacDive_Antibiotic_resistance	yes
daunorubicin	1	BacDive_Antibiotic_resistance	no
decaplanin	1	BacDive_Metabolite_production	yes
decoyinine	1	BacDive_Metabolite_production	no
diacetyl	1	BacDive_Metabolite_production	no
dibenzofuran	1	BacDive_Metabolite_utilization	yes
digitonin	1	BacDive_Antibiotic_sensitivity	no
dimethyl disulfide	1	BacDive_Metabolite_production	no
dimethyl sulfide	1	BacDive_Metabolite_utilization	yes
diydrogen	1	BacDive_Metabolite_utilization	no
docosane	1	BacDive_Metabolite_utilization	no
dodecane	1	BacDive_Metabolite_utilization	yes
dopsisamine	1	BacDive_Metabolite_production	yes
dotriacontane	1	BacDive_Metabolite_utilization	no
doxorubicin	1	BacDive_Metabolite_production	no
durhamycin	1	BacDive_Metabolite_production	yes
dynemicin	1	BacDive_Metabolite_production	yes
erythromycin A	1	BacDive_Metabolite_production	no
erythromycin B	1	BacDive_Metabolite_production	no
erythrose	1	BacDive_Metabolite_utilization	no
etamycin	1	BacDive_Metabolite_production	yes
ethionamide	1	BacDive_Antibiotic_resistance	yes
Ethylenediamine-N	1	BacDive_Metabolite_production	no
eurocidin	1	BacDive_Metabolite_production	yes
ferric oxide	1	BacDive_Metabolite_utilization	no
ferrous ion	1	BacDive_Metabolite_utilization	no
ferrous sulfate	1	BacDive_Metabolite_utilization	yes
fibrin	1	BacDive_Metabolite_utilization	no
fidaxomicin	1	BacDive_Metabolite_production	no
filipin	1	BacDive_Metabolite_production	no
flavin adenine dinucleotide	1	BacDive_Metabolite_production	yes
flavofungin	1	BacDive_Metabolite_production	yes
fluorene	1	BacDive_Metabolite_utilization	no
formamicin	1	BacDive_Metabolite_production	no
formamide	1	BacDive_Metabolite_utilization	yes
fortimicin B	1	BacDive_Metabolite_production	no
framycetin	1	BacDive_Antibiotic_sensitivity	no
furaxone	1	BacDive_Antibiotic_resistance	no
galactomannan	1	BacDive_Metabolite_utilization	no
gardimycin	1	BacDive_Metabolite_production	yes
gentamicin C2b	1	BacDive_Metabolite_production	no
glutarate	1	BacDive_Metabolite_utilization	no
glutathione	1	BacDive_Metabolite_utilization	yes
glycine 1%	1	BacDive_Metabolite_utilization	no
glycol	1	BacDive_Metabolite_utilization	yes
glycyl-L-bromosuccinic glutamic acid	1	BacDive_Metabolite_utilization	no
glycylglycine	1	BacDive_Metabolite_utilization	yes
glycylglycylglycine	1	BacDive_Metabolite_utilization	no
granaticin	1	BacDive_Metabolite_production	no
griseolutein A	1	BacDive_Metabolite_production	yes
griseolutein B	1	BacDive_Metabolite_production	yes
halomicin	1	BacDive_Metabolite_production	yes
hexadecane	1	BacDive_Metabolite_utilization	yes
hexadecanoate	1	BacDive_Metabolite_utilization	no
hexane	1	BacDive_Metabolite_utilization	no
hitachimycin	1	BacDive_Metabolite_production	yes
hydantoin	1	BacDive_Metabolite_utilization	yes
hydrogen	1	BacDive_Metabolite_production	yes
hydroxystreptomycin	1	BacDive_Metabolite_production	no
hygromycin A	1	BacDive_Metabolite_production	no
icosane	1	BacDive_Metabolite_utilization	no
indigo carmine	1	BacDive_Metabolite_utilization	yes
indolmycin	1	BacDive_Metabolite_production	no
indoxyl acetate	1	BacDive_Metabolite_utilization	no
iodide	1	BacDive_Metabolite_utilization	no
iron trichloride	1	BacDive_Metabolite_utilization	yes
isepamicin	1	BacDive_Antibiotic_sensitivity	no
isocaproate	1	BacDive_Metabolite_production	no
isoorientin	1	BacDive_Metabolite_utilization	no
isophthalate	1	BacDive_Metabolite_utilization	no
isovitexin	1	BacDive_Metabolite_utilization	no
keratin	1	BacDive_Metabolite_utilization	no
kijanimicin	1	BacDive_Metabolite_production	yes
L-galactonate	1	BacDive_Metabolite_utilization	no
L-glutamate-gamma-3-carboxy-4-nitroanilide	1	BacDive_Metabolite_utilization	no
L-histidine 2-naphthylamide	1	BacDive_Metabolite_utilization	no
L-inositol	1	BacDive_Metabolite_utilization	no
L-leucylglycine 2-naphthylamide	1	BacDive_Metabolite_utilization	no
(+)-L-lyxitol	1	BacDive_Metabolite_utilization	no
L-norleucine	1	BacDive_Metabolite_utilization	no
