label	occurrences	source_columns	already_in_mim
vancomycin	251	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_production	no
tween 20	232	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
tween 40	223	BacDive_Metabolite_utilization	yes
ciprofloxacin	218	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
ethanol	218	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
alpha-cyclodextrin	216	BacDive_Metabolite_utilization	no
sorbitol	210	BacDive_Metabolite_utilization	yes
acetoacetate	206	BacDive_Metabolite_utilization	no
propionate	205	BacDive_Metabolite_production|BacDive_Metabolite_utilization	no
penicillin	201	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	yes
D-fucose	200	BacDive_Metabolite_utilization	no
Amikacin	192	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
D-tagatose	185	BacDive_Metabolite_utilization	no
proline	175	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
histidine	169	BacDive_Metabolite_utilization	yes
bromosuccinate	165	BacDive_Metabolite_utilization	no
2-oxopentanoate	164	BacDive_Metabolite_utilization	no
esculin ferric citrate	164	BacDive_Metabolite_production|BacDive_Metabolite_utilization	no
D-lyxose	159	BacDive_Metabolite_utilization	yes
glycine	156	BacDive_Metabolite_utilization	yes
L-glutamate	156	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
2-dehydro-D-gluconate	152	BacDive_Metabolite_production|BacDive_Metabolite_utilization	no
2-hydroxybutyrate	150	BacDive_Metabolite_utilization	no
2-oxobutanoate	146	BacDive_Metabolite_utilization	no
L-alanine	146	BacDive_Metabolite_utilization	yes
tryptophan	145	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
D-gluconate	143	BacDive_Metabolite_production|BacDive_Metabolite_utilization	no
L-arabitol	139	BacDive_Metabolite_utilization	yes
bacitracin	138	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	yes
dna	137	BacDive_Metabolite_utilization	yes
D-galacturonic acid	135	BacDive_Metabolite_utilization	yes
amoxicillin	133	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	yes
malonate	131	BacDive_Metabolite_utilization	no
leucine	129	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
alpha-lactose	126	BacDive_Metabolite_utilization	yes
(S)-lactate	123	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
carboxymethylcellulose	120	BacDive_Metabolite_utilization	yes
ceftriaxone	118	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
PYG	114	bergey:substrates	no
D-fructose 6-phosphate	112	BacDive_Metabolite_utilization	yes
cefazolin	108	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
sulfamethoxazole	106	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	yes
cephalothin	105	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
aztreonam	104	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_utilization	yes
beta-hydroxybutyrate	104	BacDive_Metabolite_production|BacDive_Metabolite_utilization	no
clindamycin	104	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
oleandomycin	104	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
fumarate	103	BacDive_Metabolite_production|BacDive_Metabolite_utilization	no
L-proline	103	BacDive_Metabolite_utilization	yes
norfloxacin	103	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	yes
4-hydroxybenzoate	102	BacDive_Metabolite_utilization	yes
acetic acid	102	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
dinitrogen	102	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
H2 + CO2	100	bergey:substrates|literature:substrates	no
methyl pyruvate	98	BacDive_Metabolite_utilization	no
tween 60	98	BacDive_Metabolite_utilization	yes
3-butanediol	94	BacDive_Metabolite_utilization	no
4-hydroxy-L-proline	94	BacDive_Metabolite_utilization	no
cefotaxime	92	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
ceftazidime	91	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
D-glucuronate	89	BacDive_Metabolite_utilization	no
trimethoprim	88	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	yes
glucuronamide	87	BacDive_Metabolite_utilization	yes
L-arginine	87	BacDive_Metabolite_utilization	yes
L-fucose	87	BacDive_Metabolite_utilization	yes
serine	87	BacDive_Metabolite_utilization	no
D-trehalose	86	BacDive_Metabolite_utilization	yes
inositol	86	BacDive_Metabolite_utilization	yes
butyrate	84	BacDive_Metabolite_production|BacDive_Metabolite_utilization	no
#Milk	83	BacDive_Isolation_category_3|BacDive_Metabolite_utilization	no
ammonium	81	BacDive_Metabolite_production|BacDive_Metabolite_utilization	no
tobramycin	80	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_production	no
D-alanine	77	BacDive_Metabolite_utilization	yes
